breach_date,reported_date,filing_date,days_from_notification,accession,persons
2019-11-26,2020-03-02,2020-03-12,10,0001193125-20-071678,David Carey
2019-11-26,2020-03-02,2020-04-01,30,0001193125-20-093622,John J. Legere
2019-11-26,2020-03-02,2020-04-16,45,0001193125-20-109354,David Carey
2019-11-26,2020-03-02,2020-04-24,53,0001193125-20-119230,John Legere
2019-11-26,2020-03-02,2020-06-17,107,0001140361-20-014081,Braxton Carter
2020-04-02,2020-04-02,2020-04-16,14,0001193125-20-109354,David Carey
2020-04-02,2020-04-02,2020-04-24,22,0001193125-20-119230,John Legere
2020-04-02,2020-04-02,2020-06-17,76,0001140361-20-014081,Braxton Carter
2020-04-15,2020-04-15,2020-04-16,1,0001193125-20-109354,David Carey
2020-04-15,2020-04-15,2020-04-24,9,0001193125-20-119230,John Legere
2020-04-15,2020-04-15,2020-06-17,63,0001140361-20-014081,Braxton Carter
