key,value,source_file,source_field
ledger / PRC notification records (master_breach_dataset.xlsx) / N,"1,054",e_ledger.csv,"row 'PRC notification records (master_breach_dataset.xlsx)', N"
ledger / Gate 1: signed parent CIK / N,758,e_ledger.csv,"row 'Gate 1: signed parent CIK', N"
ledger / Stage 3: CIK+date firm-day events / N,524,e_ledger.csv,"row 'Stage 3: CIK+date firm-day events', N"
ledger / Gate 2 adjacency collapse / N,491,e_ledger.csv,"row 'Gate 2 adjacency collapse', N"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / N,489,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', N"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / treated,118,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', treated"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / control,371,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', control"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / treated parent CIKs,14,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', treated_parent_ciks"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / treated corporate families,13,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', treated_corporate_families"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / pre-rule treated,0,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', pre_rule_treated"
ledger / Stage 4/5 canonical events (CANONICAL_V4) / pre-rule control,7,e_ledger.csv,"row 'Stage 4/5 canonical events (CANONICAL_V4)', pre_rule_control"
ledger / CRSP data (has_crsp_data) / N,414,e_ledger.csv,"row 'CRSP data (has_crsp_data)', N"
ledger / CRSP data (has_crsp_data) / treated,111,e_ledger.csv,"row 'CRSP data (has_crsp_data)', treated"
ledger / CRSP data (has_crsp_data) / control,303,e_ledger.csv,"row 'CRSP data (has_crsp_data)', control"
ledger / CRSP data (has_crsp_data) / treated parent CIKs,13,e_ledger.csv,"row 'CRSP data (has_crsp_data)', treated_parent_ciks"
ledger / CRSP data (has_crsp_data) / treated corporate families,12,e_ledger.csv,"row 'CRSP data (has_crsp_data)', treated_corporate_families"
ledger / CRSP data (has_crsp_data) / pre-rule treated,0,e_ledger.csv,"row 'CRSP data (has_crsp_data)', pre_rule_treated"
ledger / CRSP data (has_crsp_data) / pre-rule control,7,e_ledger.csv,"row 'CRSP data (has_crsp_data)', pre_rule_control"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / N",412,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', N"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / treated",109,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', treated"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / control",303,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', control"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / treated parent CIKs",13,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', treated_parent_ciks"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / treated corporate families",12,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', treated_corporate_families"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / pre-rule treated",0,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', pre_rule_treated"
"ledger / Compustat covariates (size, leverage, ROA) = Query 2 scope / pre-rule control",7,e_ledger.csv,"row 'Compustat covariates (size, leverage, ROA) = Query 2 scope', pre_rule_control"
ledger / Fully observed outcome window (pre-specified censoring rule) / N,412,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', N"
ledger / Fully observed outcome window (pre-specified censoring rule) / treated,109,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', treated"
ledger / Fully observed outcome window (pre-specified censoring rule) / control,303,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', control"
ledger / Fully observed outcome window (pre-specified censoring rule) / treated parent CIKs,13,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', treated_parent_ciks"
ledger / Fully observed outcome window (pre-specified censoring rule) / treated corporate families,12,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', treated_corporate_families"
ledger / Fully observed outcome window (pre-specified censoring rule) / pre-rule treated,0,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', pre_rule_treated"
ledger / Fully observed outcome window (pre-specified censoring rule) / pre-rule control,7,e_ledger.csv,"row 'Fully observed outcome window (pre-specified censoring rule)', pre_rule_control"
