org_name,breach_date,fcc_form499,reason_classified,date_valid,termination_status,frn,start_date,end_date,end_reason_desc
A&A Services,2023-10-03,0,No Form 499 match found,False,,,,,
A.Y. McDonald Industries Inc.,2025-01-12,0,No Form 499 match found,False,,,,,
ABM Industries Incorporated,2018-01-08,0,No Form 499 match found,False,,,,,
"Activision Publishing, Inc.",2022-12-02,0,No Form 499 match found,False,,,,,
"Activision Publishing, Inc.",2012-08-01,0,No Form 499 match found,False,,,,,
"ADF International, Inc.",2017-03-10,0,No Form 499 match found,False,,,,,
Adobe Systems Incorporated,2013-09-11,0,No Form 499 match found,False,,,,,
Adobe Systems Incorporated,2019-10-19,0,No Form 499 match found,False,,,,,
Adobe Systems Incorporated,2013-09-17,0,No Form 499 match found,False,,,,,
"Advanced Mobile Notary, LLC",2025-02-23,0,No Form 499 match found,False,,,,,
"Aero Charter, Inc.",2020-12-06,0,No Form 499 match found,False,,,,,
AeroGrow International,2018-10-29,0,No Form 499 match found,False,,,,,
"AeroGrow International, Inc.",2019-03-04,0,No Form 499 match found,False,,,,,
"AGE Industries, Ltd.",2020-06-01,0,No Form 499 match found,False,,,,,
Aladdin Capital,2020-11-18,0,No Form 499 match found,False,,,,,
"Allied-Locke Industries, Inc.",2021-11-08,0,No Form 499 match found,False,,,,,
Alpha & Omega Semiconductor,2022-02-22,0,No Form 499 match found,False,,,,,
Altice USA,2024-02-29,0,No Form 499 match found,False,,,,,
Altice USA,2024-03-01,0,No Form 499 match found,False,,,,,
"Altice USA, Inc.",2019-11-04,0,No Form 499 match found,False,,,,,
"Altria Group, Inc.",2006-12-01,0,No Form 499 match found,False,,,,,
Amadas Industries,2022-04-05,0,No Form 499 match found,False,,,,,
"American Alarm & Communications, Inc.",2023-11-28,0,No Form 499 match found,False,,,,,
American Electric Power,2018-12-09,0,No Form 499 match found,False,,,,,
American Electric Power,2019-02-18,0,No Form 499 match found,False,,,,,
Ametros Financial Corporation,2018-08-01,0,No Form 499 match found,False,,,,,
Amgen Inc.,2023-08-16,0,No Form 499 match found,False,,,,,
Amgen Inc.,2021-04-21,0,No Form 499 match found,False,,,,,
Amphenol Canada Corporation,2021-08-16,0,No Form 499 match found,False,,,,,
Aon Corporation,2020-12-17,0,No Form 499 match found,False,,,,,
Aon Corporation PLC,2020-12-29,0,No Form 499 match found,False,,,,,
Aon PLC,2022-02-25,0,No Form 499 match found,False,,,,,
"API Financial Solutions, Inc.",2023-06-28,0,No Form 499 match found,False,,,,,
Apple Inc.,2019-02-02,0,No Form 499 match found,False,,,,,
Apple Inc.,2014-08-31,0,No Form 499 match found,False,,,,,
Apple Inc.,2020-11-01,0,No Form 499 match found,False,,,,,
Apple Inc.,2010-06-01,0,No Form 499 match found,False,,,,,
Apple Inc.,2015-07-01,0,No Form 499 match found,False,,,,,
Apple Inc.,2013-07-18,0,No Form 499 match found,False,,,,,
Apple Inc.,2015-09-18,0,No Form 499 match found,False,,,,,
Ariel Corporation,2024-06-20,0,No Form 499 match found,False,,,,,
Arx Capital LLC,2023-12-06,0,No Form 499 match found,False,,,,,
ASAP Semiconductor LLC,2021-03-20,0,No Form 499 match found,False,,,,,
ASIS International,2021-04-28,0,No Form 499 match found,False,,,,,
AT&T,2014-04-01,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2017-01-25,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2013-11-05,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2024-03-17,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2014-06-11,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2014-02-01,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2008-05-23,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2014-10-09,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2013-01-01,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2012-01-01,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T,2022-06-01,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T Inc,2024-04-09,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T Inc.,2024-03-17,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T Inc.,2024-03-26,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T Inc.,2024-04-10,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T Inc.,2024-04-14,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
AT&T Services,2017-02-01,0,No Form 499 match found,False,,,,,
AT&T Services Inc.,2014-04-01,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2014-04-09,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2022-08-30,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2014-08-11,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2017-01-01,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2014-06-05,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2017-01-25,0,No Form 499 match found,False,,,,,
"AT&T Services, Inc.",2023-03-01,0,No Form 499 match found,False,,,,,
"AT&T, Inc.",2019-01-01,1,Current Form 499 filer; no end_date,True,current,5937974.0,1997-01-01,,
ATT-Breach Notification,2014-08-05,0,No Form 499 match found,False,,,,,
ATT-Breach Notification,2014-10-16,0,No Form 499 match found,False,,,,,
ATT-SecurityBreach,2014-04-09,0,No Form 499 match found,False,,,,,
ATT-SecurityBreach2,2013-10-01,0,No Form 499 match found,False,,,,,
"Audacy, Inc",2019-08-04,0,No Form 499 match found,False,,,,,
"Automatic Data Processing, Inc.",2013-04-29,0,No Form 499 match found,False,,,,,
B Capital Group,2023-09-18,0,No Form 499 match found,False,,,,,
BBB Industries LLC,2017-03-09,0,No Form 499 match found,False,,,,,
"BBC Industries, Inc.",2020-08-18,0,No Form 499 match found,False,,,,,
"BDP International, Inc.",2021-02-16,0,No Form 499 match found,False,,,,,
"Block and Company, Inc.",2016-03-21,0,No Form 499 match found,False,,,,,
"Block and Company, Inc.",2016-02-09,0,No Form 499 match found,False,,,,,
"Block and Company, Inc.",2016-02-01,0,No Form 499 match found,False,,,,,
"Block Electric Company, Inc.",2021-12-08,0,No Form 499 match found,False,,,,,
Block Inc,2023-01-12,0,No Form 499 match found,False,,,,,
"Block, Inc.",2023-01-12,0,No Form 499 match found,False,,,,,
"Bonland Industries, Inc.",2021-05-23,0,No Form 499 match found,False,,,,,
