org_name,breach_date,matched,matched_field,legal_name,dba,trade_name,frn,start_date,end_date,end_reason_desc,replacement_id,nearest_candidates
A&A Services,2023-10-03,0,,,,,,,,,,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
A.Y. McDonald Industries Inc.,2025-01-12,0,,,,,,,,,,"McDonald County Tel. Co., Inc. (overlap=1); McDonald County Telephone Company (overlap=1); Miracle Industries, Inc. (overlap=1)"
ABM Industries Incorporated,2018-01-08,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Activision Publishing, Inc.",2022-12-02,0,,,,,,,,,,"Scope Advertising & Publishing, LLC. (overlap=1)"
"Activision Publishing, Inc.",2012-08-01,0,,,,,,,,,,"Scope Advertising & Publishing, LLC. (overlap=1)"
"ADF International, Inc.",2017-03-10,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Adobe Systems Incorporated,2013-09-11,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Adobe Systems Incorporated,2019-10-19,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Adobe Systems Incorporated,2013-09-17,0,,,,,,,,,,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Advanced Mobile Notary, LLC",2025-02-23,0,,,,,,,,,,"ADVANCED MOBILE SYSTEMS INC (overlap=2); Advanced Lightwave Communications, Inc. (overlap=1); Advanced Lightwave Communications, Inc. (overlap=1)"
"Aero Charter, Inc.",2020-12-06,0,,,,,,,,,,"Charter Payphones of Texas, LLC (overlap=1); Charter Payphones of Texas, LLC (overlap=1); Charter Fiberlink - Missouri, LLC (overlap=1)"
AeroGrow International,2018-10-29,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"AeroGrow International, Inc.",2019-03-04,0,,,,,,,,,,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"AGE Industries, Ltd.",2020-06-01,0,,,,,,,,,,"Brazos Cellular Communications, Ltd. (overlap=1); Macon Cellular Telephone System, Ltd. Partnership (overlap=1); Brown County MSA Cellular Ltd. Partnership (overlap=1)"
Aladdin Capital,2020-11-18,0,,,,,,,,,,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
"Allied-Locke Industries, Inc.",2021-11-08,0,,,,,,,,,,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
