org_name,normalized,candidates
A&A Services,A&A SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
A.Y. McDonald Industries Inc.,AY MCDONALD INDUSTRIES,"McDonald County Tel. Co., Inc. (overlap=1); McDonald County Telephone Company (overlap=1); Miracle Industries, Inc. (overlap=1)"
ABM Industries Incorporated,ABM INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Activision Publishing, Inc.",ACTIVISION PUBLISHING,"Scope Advertising & Publishing, LLC. (overlap=1)"
"Activision Publishing, Inc.",ACTIVISION PUBLISHING,"Scope Advertising & Publishing, LLC. (overlap=1)"
"ADF International, Inc.",ADF INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
Adobe Systems Incorporated,ADOBE SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Adobe Systems Incorporated,ADOBE SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
Adobe Systems Incorporated,ADOBE SYSTEMS,"Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1); Craw-Kan Communication Systems, Inc. (overlap=1)"
"Advanced Mobile Notary, LLC",ADVANCED MOBILE NOTARY,"ADVANCED MOBILE SYSTEMS INC (overlap=2); Advanced Lightwave Communications, Inc. (overlap=1); Advanced Lightwave Communications, Inc. (overlap=1)"
"Aero Charter, Inc.",AERO CHARTER,"Charter Payphones of Texas, LLC (overlap=1); Charter Payphones of Texas, LLC (overlap=1); Charter Fiberlink - Missouri, LLC (overlap=1)"
AeroGrow International,AEROGROW INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"AeroGrow International, Inc.",AEROGROW INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"AGE Industries, Ltd.",AGE INDUSTRIES LTD,"Brazos Cellular Communications, Ltd. (overlap=1); Macon Cellular Telephone System, Ltd. Partnership (overlap=1); Brown County MSA Cellular Ltd. Partnership (overlap=1)"
Aladdin Capital,ALADDIN CAPITAL,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
"Allied-Locke Industries, Inc.",ALLIEDLOCKE INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
Alpha & Omega Semiconductor,ALPHA & OMEGA SEMICONDUCTOR,"Alpha and Omega Telecom Group, Inc. (overlap=2); Alpha and Omega Telecom Group, Inc. (overlap=2); Alpha and Omega Telecom Group, Inc. (overlap=2)"
Altice USA,ALTICE,Altice Wireless (overlap=1); Altice Wireless (overlap=1)
Altice USA,ALTICE,Altice Wireless (overlap=1); Altice Wireless (overlap=1)
"Altice USA, Inc.",ALTICE,Altice Wireless (overlap=1); Altice Wireless (overlap=1)
"Altria Group, Inc.",ALTRIA GROUP,"Lakeland Communications Group, LLC (overlap=1); Communications Buying Group, Inc. (overlap=1); Communications Buying Group, Inc. (overlap=1)"
Amadas Industries,AMADAS INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"American Alarm & Communications, Inc.",AMERICAN ALARM & COMMUNICATIONS,"GE American Communications, Inc (overlap=2); Chautauqua & Erie Communications, Inc. (overlap=2); Chautauqua & Erie Communications, Inc. (overlap=2)"
American Electric Power,AMERICAN ELECTRIC POWER,Electric Power Board of Chattanooga (overlap=2); The Electric Power Board of the City of Scottsboro (overlap=2); Scottsboro Electric Power Board (overlap=2)
American Electric Power,AMERICAN ELECTRIC POWER,Electric Power Board of Chattanooga (overlap=2); The Electric Power Board of the City of Scottsboro (overlap=2); Scottsboro Electric Power Board (overlap=2)
Ametros Financial Corporation,AMETROS FINANCIAL,"Spectrotel Services, LLC Razgate Financial, LLC (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1); Minnesota Phone Company Financial Group, LLP (overlap=1)"
Amgen Inc.,AMGEN,None
Amgen Inc.,AMGEN,None
Amphenol Canada Corporation,AMPHENOL CANADA,Telesat Canada (overlap=1); Telesat Canada (overlap=1); LA Canada Wireless Association (overlap=1)
Aon Corporation,AON,"AON Systems, Inc. (overlap=1); AON Systems, Inc. (overlap=1); AON Fiber Group LLC (overlap=1)"
Aon Corporation PLC,AON CORPORATION PLC,National Railroad Passenger Corporation (Amtrak) (overlap=1); Little Miami Communications Corporation dba TDS Telecom (overlap=1); Muenster Telephone Corporation of Texas (overlap=1)
Aon PLC,AON PLC,"Advantage Group of FL Communications PLC (overlap=1); Discoverytel Communications, PLC. (overlap=1); Discoverytel Communications, PLC. (overlap=1)"
"API Financial Solutions, Inc.",API FINANCIAL SOLUTIONS,"GE Business Productivity Solutions, Inc. (overlap=1); Verizon Enterprise Solutions (overlap=1); Verizon Enterprise Solutions (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Apple Inc.,APPLE,"Apple Beeper Co. (overlap=1); Apple Beeper Co. (overlap=1); Apple Telecom, Inc. (overlap=1)"
Ariel Corporation,ARIEL,None
Arx Capital LLC,ARX CAPITAL,"Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1); GE Capital Communication Services (overlap=1)"
ASAP Semiconductor LLC,ASAP SEMICONDUCTOR,"ASAP Paging, Inc. (overlap=1); ASAP Paging, Inc. (overlap=1); ASAP Communications Corp (overlap=1)"
ASIS International,ASIS INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
AT&T Services,AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
AT&T Services Inc.,AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"AT&T Services, Inc.",AT&T SERVICES,"AT&T Internet Services (overlap=2); RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
ATT-Breach Notification,ATTBREACH NOTIFICATION,None
ATT-Breach Notification,ATTBREACH NOTIFICATION,None
ATT-SecurityBreach,ATTSECURITYBREACH,None
ATT-SecurityBreach2,ATTSECURITYBREACH2,None
"Audacy, Inc",AUDACY,None
"Automatic Data Processing, Inc.",AUTOMATIC DATA PROCESSING,"Data Express, Inc. (overlap=1); Automatic Telephone Systems (overlap=1); Automatic Telephone Systems (overlap=1)"
B Capital Group,B CAPITAL GROUP,"Lakeland Communications Group, LLC (overlap=1); Capital Telecommunications, Inc. (overlap=1); Capital Telecommunications, Inc. (overlap=1)"
BBB Industries LLC,BBB INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"BBC Industries, Inc.",BBC INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"BDP International, Inc.",BDP INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Block and Company, Inc.",BLOCK,"Block Line Systems, LLC (overlap=1)"
"Block and Company, Inc.",BLOCK,"Block Line Systems, LLC (overlap=1)"
"Block and Company, Inc.",BLOCK,"Block Line Systems, LLC (overlap=1)"
"Block Electric Company, Inc.",BLOCK ELECTRIC,Wilkes Telephone & Electric Company (overlap=1); Electric Lightwave LLC (overlap=1); Electric Lightwave LLC (overlap=1)
Block Inc,BLOCK,"Block Line Systems, LLC (overlap=1)"
"Block, Inc.",BLOCK,"Block Line Systems, LLC (overlap=1)"
"Bonland Industries, Inc.",BONLAND INDUSTRIES,"Miracle Industries, Inc. (overlap=1); Nexus Consolidated Industries, Inc. (overlap=1); Martin Industries (overlap=1)"
"Bray International, Inc.",BRAY INTERNATIONAL,"International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1); International Telecom, Inc. (overlap=1)"
"Brown Construction Services, Inc.",BROWN CONSTRUCTION SERVICES,"RC Services (overlap=1); Chester Long Distance Services, Inc. (overlap=1); Chester Long Distance Services, Inc. (overlap=1)"
"Brown Integrated Logistics, Inc.",BROWN INTEGRATED LOGISTICS,"Brown County MSA Cellular Ltd. Partnership (overlap=1); Integrated Systems Corporation (overlap=1); Integrated Telemanagement Services, Inc. (overlap=1)"
