org_name,cik,match_type,source
AT&T,732717.0,EXACT_UNAMBIGUOUS,SEC name: AT&T INC.
AT&T Inc,732717.0,EXACT_UNAMBIGUOUS,SEC name: AT&T INC.
AT&T Inc.,732717.0,EXACT_UNAMBIGUOUS,SEC name: AT&T INC.
"AT&T, Inc.",732717.0,EXACT_UNAMBIGUOUS,SEC name: AT&T INC.
"Activision Publishing, Inc.",1870564.0,EXACT_UNAMBIGUOUS,"SEC name: ACTIVISION PUBLISHING, INC."
AeroGrow International,,EXACT_AMBIGUOUS,"Multiple CIKs: [1272660, 1316644, 1334121]"
"AeroGrow International, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1272660, 1316644, 1334121]"
Aladdin Capital,1102487.0,EXACT_UNAMBIGUOUS,SEC name: ALADDIN CAPITAL LLC
Alpha & Omega Semiconductor,1387467.0,EXACT_UNAMBIGUOUS,SEC name: ALPHA & OMEGA SEMICONDUCTOR LTD
Altice USA,1702780.0,EXACT_UNAMBIGUOUS,"SEC name: ALTICE USA, INC."
"Altice USA, Inc.",1702780.0,EXACT_UNAMBIGUOUS,"SEC name: ALTICE USA, INC."
"Altria Group, Inc.",764180.0,EXACT_UNAMBIGUOUS,SEC name: ALTRIA GROUP INC
American Electric Power,,EXACT_AMBIGUOUS,"Multiple CIKs: [4904, 1218721]"
Amgen Inc.,318154.0,EXACT_UNAMBIGUOUS,SEC name: AMGEN INC
Aon Corporation PLC,,EXACT_AMBIGUOUS,"Multiple CIKs: [315293, 1808065]"
Aon PLC,,EXACT_AMBIGUOUS,"Multiple CIKs: [315293, 1808065]"
Apple Inc.,320193.0,EXACT_UNAMBIGUOUS,SEC name: APPLE COMPUTER INC
"Audacy, Inc",1067837.0,EXACT_UNAMBIGUOUS,"SEC name: AUDACY, INC."
"Automatic Data Processing, Inc.",8670.0,EXACT_UNAMBIGUOUS,SEC name: AUTOMATIC DATA PROCESSING INC
Block Inc,1512673.0,EXACT_UNAMBIGUOUS,"SEC name: BLOCK, INC."
"Block, Inc.",1512673.0,EXACT_UNAMBIGUOUS,"SEC name: BLOCK, INC."
"Brown, Lisle/Cummings, Inc.",14745.0,EXACT_UNAMBIGUOUS,"SEC name: BROWN, LISLE/CUMMINGS, INC."
CSX Transportation,88128.0,EXACT_UNAMBIGUOUS,SEC name: CSX TRANSPORTATION INC
"CSX Transportation, Inc.",88128.0,EXACT_UNAMBIGUOUS,SEC name: CSX TRANSPORTATION INC
"Cable One, Inc.",1632127.0,EXACT_UNAMBIGUOUS,"SEC name: CABLE ONE, INC."
"Caesars Entertainment, Inc.",,EXACT_AMBIGUOUS,"Multiple CIKs: [1070794, 1590895]"
