org_name,final_grade,n,cik,evidence
A&A Services,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
A.Y. McDonald Industries Inc.,EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
ABM Industries Incorporated,VERIFIED,4,771497.0,EDGAR name: ABM INDUSTRIES INC
"ADF International, Inc.",EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"AGE Industries, Ltd.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
"API Financial Solutions, Inc.",EXCLUDED-UNRESOLVED,1,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
ASAP Semiconductor LLC,EXCLUDED-UNRESOLVED,3,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
ASIS International,EXCLUDED-UNRESOLVED,2,,Gate1-confirmed exclusion (FISC precedent; incl. formal Impact Mobile Home Communities closure)
AT&T,VERIFIED-GATE1,13,732717.0,Gate1-A: active registrant; 5907 is pre-2005 AT&T Corp (ticker T -> CIK 732717)
AT&T Inc,VERIFIED-GATE1,1,732717.0,Gate1-A: active registrant; 5907 is pre-2005 AT&T Corp (ticker T -> CIK 732717)
AT&T Inc.,VERIFIED-GATE1,10,732717.0,Gate1-A: active registrant; 5907 is pre-2005 AT&T Corp (ticker T -> CIK 732717)
AT&T Services,VERIFIED-REASONING,1,732717.0,SEC EDGAR: AT&T Services operating subsidiary | EDGAR-confirmed
AT&T Services Inc.,VERIFIED-REASONING,1,732717.0,SEC EDGAR: AT&T Services variant | EDGAR-confirmed
"AT&T Services, Inc.",VERIFIED-REASONING,7,732717.0,SEC EDGAR: AT&T Services is operating subsidiary of AT&T Inc. | EDGAR-confirmed
"AT&T, Inc.",VERIFIED-GATE1,1,732717.0,Gate1-A: active registrant; 5907 is pre-2005 AT&T Corp (ticker T -> CIK 732717)
