suspect_cik,org_name,n_records,resolved_cik,grade,still_maps_to_suspect,evidence
713676,Ametros Financial Corporation,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,"API Financial Solutions, Inc.",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,Centerstone Insurance and Financial Services,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,"Corebridge Financial, Inc.",1,1889539.0,VERIFIED,False,"EDGAR name: COREBRIDGE FINANCIAL, INC."
713676,"CSI Financial Services, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,"Financial Business and Consumer Solutions, Inc.",15,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,Financial Institution Service Corporation,9,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,"Financial Risk Mitigation, Inc.",2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,First American Financial Corporation,2,,AMBIGUOUS,False,"Candidates: 36047 (CORELOGIC, INC.) | 1472787 (FIRST AMERICAN FINANCIAL CORP, FAF) || legacy ticker:"
713676,"Freedom Financial Network, LLC",1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,Huntington Hospitality Financial Services Corp,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,"IMA Financial Group, Inc.",3,1673769.0,VERIFIED,False,"EDGAR name: IMA FINANCIAL GROUP, INC."
713676,InterActive Financial Marketing Group,1,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,LCS Financial Services,2,,EXCLUDED-UNRESOLVED,False,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
713676,LPL Financial LLC,1,,AMBIGUOUS,False,Candidates: 80386 (LINSCO PRIVATE LEDGER CORP              ) | 1403438 (LINSCO/PRIVATE LEDGER CORP.)
713676,"NCO Financial Systems, Inc.",1,1396897.0,VERIFIED,False,"EDGAR name: NCO FINANCIAL SYSTEMS, INC."
