sample_id,org_name,treated,breach_date,filing_date,days_after_breach,items,accession,local_file,departure_related (Y/N),role_if_departure,notes
1,CenturyLink,1,2013-12-27,2014-06-02,157,"5.02,5.03,5.07,9.01",0001193125-14-221590,01_18926_0001193125-14-221590_d734946d8k.htm,,,
2,Frontier Communications,1,2022-02-24,2022-06-24,120,5.02,0001140361-22-023997,02_20520_0001140361-22-023997_brhc10039037_8k.htm,,,
3,"Frontier Communications Parent, Inc.",1,2023-12-18,2024-05-20,154,"5.02,5.07,9.01",0001140361-24-026861,03_20520_0001140361-24-026861_ef20029460_8k.htm,,,
4,"Frontier Communications Parent, Inc.",1,2023-12-18,2024-02-05,49,"5.02,7.01,9.01",0000950157-24-000104,04_20520_0000950157-24-000104_form8-k.htm,,,
5,Nucor Corporation,0,2023-05-26,2023-08-08,74,"5.02,9.01",0001193125-23-206313,05_73309_0001193125-23-206313_d496129d8k.htm,,,
6,PACCAR,0,2018-01-22,2018-05-04,102,"5.02,5.03,5.07,9.01",0001193125-18-152947,06_75362_0001193125-18-152947_d555135d8k.htm,,,
7,PACCAR,0,2018-01-22,2018-02-16,25,"5.02,9.01",0001193125-18-048187,07_75362_0001193125-18-048187_d518625d8k.htm,,,
8,Parker-Hannifin Corporation,0,2022-03-11,2022-07-28,139,5.02,0001193125-22-204998,08_76334_0001193125-22-204998_d319781d8k.htm,,,
9,Pfizer Inc,0,2006-12-01,2007-05-23,173,5.02,0000078003-07-000122,09_78003_0000078003-07-000122_pf8k0518.htm,,,
10,Sprint Nextel,1,2012-08-01,2012-11-20,111,"5.02,8.01,9.01",0000101830-12-000110,10_101830_0000101830-12-000110_a8-k20121120.htm,,,
11,Sprint Corporation,1,2015-08-17,2015-10-15,59,5.02,0000101830-15-000030,11_101830_0000101830-15-000030_schwartzform8-k.htm,,,
12,Sprint Corporation,1,2018-03-02,2018-07-02,122,"5.02,9.01",0000101830-18-000029,12_101830_0000101830-18-000029_form8-k20180629.htm,,,
13,Apple Inc.,0,2015-07-01,2015-12-17,169,5.02,0001193125-15-406279,13_320193_0001193125-15-406279_d107635d8k.htm,,,
14,The Home Depot,0,2014-02-10,2014-02-28,18,"5.02,9.01",0000354950-14-000006,14_354950_0000354950-14-000006_hd_8kx02272014.htm,,,
15,Verizon,1,2008-06-27,2008-10-01,96,5.02,0001193125-08-204660,15_732712_0001193125-08-204660_d8k.htm,,,
16,Verizon Corporate Services Group Inc.,1,2014-01-20,2014-02-11,22,5.02,0001193125-14-045399,16_732712_0001193125-14-045399_d675217d8k.htm,,,
17,Verizon,1,2016-08-10,2016-09-01,22,"5.02,9.01",0001193125-16-699639,17_732712_0001193125-16-699639_d145813d8k.htm,,,
18,Verizon Communications Inc.,1,2023-09-21,2024-02-02,134,5.02,0001193125-24-022476,18_732712_0001193125-24-022476_d745812d8k.htm,,,
