org,cik,breach_date,treated,first_8k_after,gap_days
CenturyLink,18926,2013-12-27,1,2014-02-12,47.0
CenturyLink,18926,2017-01-30,1,2017-02-08,9.0
CenturyLink,18926,2017-02-28,1,2017-03-16,16.0
CenturyLink Communications,18926,2020-08-20,1,2020-08-27,7.0
Centurylink Communications,18926,2022-03-15,1,2022-03-28,13.0
Frontier Communications,20520,2022-02-24,1,2022-05-06,71.0
"Frontier Communications Parent, Inc.",20520,2023-12-18,1,2024-02-05,49.0
"Frontier Communications Parent, Inc.",20520,2024-04-13,1,2024-04-18,5.0
"Frontier Communications Parent, Inc.",20520,2024-06-10,1,2024-07-01,21.0
"Equifax, Inc.",33185,2014-01-31,0,2014-02-13,13.0
TALX Corporation,33185,2016-01-01,0,2016-02-10,40.0
TALX Corporation,33185,2016-04-18,0,2016-04-27,9.0
TALX Corporation,33185,2017-03-09,0,2017-04-26,48.0
"Gray Television, Inc.",43196,2016-02-16,0,2016-02-17,1.0
Gray Television,43196,2016-08-08,0,2016-09-07,30.0
"Gray Television, Inc.",43196,2021-09-01,0,2021-10-08,37.0
Hewlett-Packard Company,47217,2007-07-01,0,2007-07-23,22.0
Hewlett Packard Company,47217,2007-08-16,0,2007-09-21,36.0
Hewlett-Packard Company,47217,2008-12-04,0,2008-12-08,4.0
Hewlett-Packard Company,47217,2008-12-08,0,2009-01-20,43.0
Hewlett-Packard Company,47217,2010-02-09,0,2010-02-17,8.0
NCH Corporation,69960,2016-01-01,0,,
NCH Corporation,69960,2018-11-30,0,,
NCH Corporation,69960,2021-03-02,0,,
CSX Transportation,88128,2013-09-06,0,,
CSX Transportation,88128,2013-10-07,0,,
"CSX Transportation, Inc.",88128,2020-12-25,0,,
Sprint Nextel,101830,2009-02-01,1,2009-02-19,18.0
Sprint Nextel,101830,2012-08-01,1,2012-08-08,7.0
Sprint Corporation,101830,2015-08-17,1,2015-10-15,59.0
Sprint Corporation,101830,2017-05-01,1,2017-05-03,2.0
Sprint,101830,2017-05-07,1,2017-08-01,86.0
Sprint Corporation,101830,2018-03-02,1,2018-03-12,10.0
Sprint Corporation,101830,2019-03-14,1,2019-04-29,46.0
Sprint Corporation,101830,2019-05-09,1,2019-05-20,11.0
Sprint,101830,2019-06-02,1,2019-06-10,8.0
Sprint,101830,2019-06-08,1,2019-06-10,2.0
Sprint,101830,2019-06-22,1,2019-07-26,34.0
Sprint Corporation,101830,2019-08-13,1,2019-11-04,83.0
Apple Inc.,320193,2010-06-01,0,2010-07-20,49.0
Apple Inc.,320193,2013-07-18,0,2013-07-23,5.0
Apple Inc.,320193,2014-08-31,0,2014-10-20,50.0
Apple Inc.,320193,2015-07-01,0,2015-07-21,20.0
Apple Inc.,320193,2015-09-18,0,2015-10-02,14.0
Apple Inc.,320193,2019-02-02,0,2019-02-06,4.0
Apple Inc.,320193,2020-11-01,0,2021-01-05,65.0
Verizon,732712,2008-06-27,1,2008-07-22,25.0
Verizon Corporate Services Group Inc.,732712,2014-01-20,1,2014-01-21,1.0
Verizon,732712,2014-02-26,1,2014-03-07,9.0
Verizon,732712,2016-08-10,1,2016-09-01,22.0
Verizon,732712,2017-07-20,1,2017-07-27,7.0
Verizon Media,732712,2019-03-12,0,2019-04-08,27.0
Verizon,732712,2019-04-24,1,2019-05-08,14.0
Verizon,732712,2019-06-03,1,2019-06-18,15.0
Verizon,732712,2023-05-11,1,2023-05-16,5.0
Verizon Communications Inc.,732712,2023-09-21,1,2023-10-24,33.0
Verizon Communications Inc.,732712,2024-02-06,1,2024-03-06,29.0
AT&T,732717,2008-05-23,1,2008-07-23,61.0
AT&T,732717,2012-01-01,1,2012-01-13,12.0
AT&T,732717,2013-01-01,1,2013-01-17,16.0
AT&T,732717,2013-11-05,1,2013-11-13,8.0
AT&T,732717,2014-02-01,1,2014-03-10,37.0
AT&T,732717,2014-04-01,1,2014-04-22,21.0
"AT&T Services, Inc.",732717,2014-04-09,1,2014-04-22,13.0
"AT&T Services, Inc.",732717,2014-06-05,1,2014-06-10,5.0
AT&T,732717,2014-06-11,1,2014-06-27,16.0
