tic,gvkey,iid,cusip,dlrsni,dsci,epf,exchg,excntry,ibtic,isin,secstat,sedol,tpci,dldtei,curr_sp500_flag,cusip8,iid_n,conm
HON,1300,01,438516205,,COM USD1,,14,USA,ALD,US4385162056,A,BN7RHC5,0,,1.0,43851620,1,HONEYWELL INTERNATIONAL INC
HON.WI,1300,04,438516130,10.0,EX DISTRBUTION,,11,USA,,US4385161306,I,BF2L6C9,0,2018-10-29,0.0,43851613,4,HONEYWELL INTERNATIONAL INC
5351B,1602,02,031162936,11.0,SER B COM NPV,,1,USA,,,I,,0,1983-06-30,0.0,03116293,2,AMGEN INC
IHRTQ,3105,02,45174J103,10.0,CL A COM USD.001,,19,USA,CCMO,US45174J1034,I,BQVCFR8,0,2019-05-02,0.0,45174J10,2,IHEARTMEDIA INC
3671B,3105,03,12502P011,20.0,CL B COM USD.001,,1,USA,,,I,,0,2020-12-21,0.0,12502P01,3,IHEARTMEDIA INC
3672B,3105,04,12502P987,20.0,CL C COM USD.001,,1,USA,,,I,,0,2019-05-03,0.0,12502P98,4,IHEARTMEDIA INC
IHRTB,3105,11,45174J608,,CL B,,19,USA,,US45174J6082,A,BJV12L9,0,,0.0,45174J60,11,IHEARTMEDIA INC
4838B,3226,03,20099Q938,,CL B COM USD1,,1,USA,,,A,,0,,0.0,20099Q93,3,COMCAST CORP
DOV.WI,4058,03,260003124,10.0,EXDISTRIBUTION,,11,USA,,US2600031247,I,BG0WM56,0,2018-05-09,0.0,26000312,3,DOVER CORP
4741B,5597,02,427866306,,CL B COM USD1.,,1,USA,,US4278663061,A,B034HJ6,0,,0.0,42786630,2,HERSHEY CO
4910B,6669,02,526057203,20.0,CL B COM -OLD,,1,USA,,US5260572038,I,,0,2003-12-31,0.0,52605720,2,LENNAR CORP
NCHCB,7646,02,628850208,20.0,CL B CONV,,19,USA,,,I,,0,2002-02-13,0.0,62885020,2,NCH CORP
CSX3,9537,01,126410000,20.0,SUB,,0,USA,,,I,,0,2005-03-15,0.0,12641000,1,CSX TRANSPORTATION INC
SNEJF,9818,01,J76379106,,COM,,19,USA,,JP3435000009,A,B01DR28,0,,0.0,J7637910,1,SONY GROUP CORPORATION
5407B,10484,02,210795936,11.0,CL A COM USD.1 OLD,,1,USA,,,I,,0,1990-09-30,0.0,21079593,2,UNITED AIRLINES INC
UAL2,10484,05,910047000,,COM USD.01,,0,USA,,,A,,0,,0.0,91004700,5,UNITED AIRLINES INC
1832B,10984,07,852061993,20.0,COM USD.01 NVTG,,1,USA,,,I,,0,2007-12-30,0.0,85206199,7,SPRINT CORP
1834B,10984,08,852061985,20.0,SR 2 COM USD2.5,,1,USA,,,I,,0,2010-03-31,0.0,85206198,8,SPRINT CORP
5318B,11636,02,984121939,20.0,CL B COM USD1,,1,USA,,,I,,0,1996-12-31,0.0,98412193,2,XEROX HOLDINGS CORP
5440B,12485,02,12686C018,1.0,CL B COM USD.01,,1,USA,,,I,,0,2016-06-21,0.0,12686C01,2,OPTIMUM COMMUNICATIONS INC
7820B,12485,13,02199N932,,CL B COM,,1,USA,,,A,,0,,0.0,02199N93,13,OPTIMUM COMMUNICATIONS INC
CCL,13498,01,G2004J103,,COM USD.01,,11,USA,CCL,BMG2004J1036,A,BVV7RC7,0,,1.0,G2004J10,1,CARNIVAL CORP LTD
4905B,13498,02,143658938,20.0,CL B COM USD.01,,1,USA,,,I,,0,2009-12-01,0.0,14365893,2,CARNIVAL CORP LTD
CUKPF,13498,04,G19081101,20.0,SHS,,19,USA,,GB0031215220,I,B02S7P5,0,2026-05-07,0.0,G1908110,4,CARNIVAL CORP LTD
9755B,14489,03,24703L012,,CL A COM USD.01,,1,USA,,,A,,0,,0.0,24703L01,3,DELL TECHNOLOGIES INC
9876B,14489,04,24703L038,,CL C COM USD.01,,1,USA,,,A,,0,,0.0,24703L03,4,DELL TECHNOLOGIES INC
9767B,14489,05,24703L020,,CL B COM USD.01,,1,USA,,,A,,0,,0.0,24703L02,5,DELL TECHNOLOGIES INC
9881B,14489,06,24799R931,,CL D COM USD01,,1,USA,,,A,,0,,0.0,24799R93,6,DELL TECHNOLOGIES INC
7732B,14489,07,24799Q933,20.0,DEBT,,1,USA,,,I,,0,2018-12-28,0.0,24799Q93,7,DELL TECHNOLOGIES INC
8537B,15044,02,98138H200,,CL B COM USD.001,,1,USA,,US98138H2004,A,,0,,0.0,98138H20,2,WORKDAY INC
9644B,19071,02,13462K018,10.0,CL B COM USD.0001,,1,USA,,,I,,0,2017-08-10,0.0,13462K01,2,CAMPING WORLD HOLDINGS INC
9645B,19071,03,13462K026,10.0,CL C COM USD.0001,,1,USA,,,I,,0,2017-08-10,0.0,13462K02,3,CAMPING WORLD HOLDINGS INC
7273B,23071,02,38099O935,20.0,CL B COM,,1,USA,,,I,,0,2015-09-30,0.0,38099O93,2,GODADDY INC
NKCAF,23671,01,654902105,20.0,ORD NPV,,13,USA,,,I,,0,2006-08-09,0.0,65490210,1,NOKIA OYJ
NOKBF,23671,02,X61873133,,ORD A,,19,USA,,FI0009000681,A,B02G9J7,0,,0.0,X6187313,2,NOKIA OYJ
7034B,23812,02,75886F933,,CL A COM USD.001,,1,USA,,,A,,0,,0.0,75886F93,2,REGENERON PHARMACEUTICALS
1944B,25056,03,887317998,20.0,SR LMCN-V COM USD.01,,1,USA,,,I,,0,2007-08-14,0.0,88731799,3,TIME WARNER INC
3CIDI,25964,02,16115Q209,1.0,COM NEW,,13,USA,,US16115Q2093,I,2745967,0,2005-10-19,0.0,16115Q20,2,CHART INDUSTRIES INC
HPE.WI.1,26156,02,42824C117,10.0,WHEN ISSUED,,11,USA,,US42824C1172,I,BYXD7C4,0,2017-04-03,0.0,42824C11,2,HEWLETT PACKARD ENTERPRISE
HPE.WI,26156,03,42824C125,10.0,COM USD 0.01 WI,,11,USA,,US42824C1255,I,BD2BXV3,0,2017-09-01,0.0,42824C12,3,HEWLETT PACKARD ENTERPRISE
7353B,26367,02,85299J935,,CL B,,1,USA,,,A,,0,,0.0,85299J93,2,BLOCK INC
9680B,27364,02,90138F011,20.0,CL B,,1,USA,,,I,,0,2023-06-28,0.0,90138F01,2,TWILIO INC
