candidate_type,cik,org,breach_date,candidate,parent_cik,parent_name,cik_resolved_by,verdict,reason,accession,form,filing_date,matching_line,shared_tokens,document_url
gate_exclusion,1283699,"T-Mobile USA, Inc.",2009-09-03,,1283699,METROPCS COMMUNICATIONS INC,permno 91937 -> cusip8 -> gvkey -> cik via the local pulls,UNVERIFIED,"Exhibit 21 does not list 'T-Mobile USA, Inc.'",0001193125-10-044780,10-K,2010-03-01,,,https://www.sec.gov/Archives/edgar/data/1283699/000119312510044780/dex211.htm
gate_exclusion,1283699,"T-Mobile USA, Inc.",2009-10-05,,1283699,METROPCS COMMUNICATIONS INC,permno 91937 -> cusip8 -> gvkey -> cik via the local pulls,UNVERIFIED,"Exhibit 21 does not list 'T-Mobile USA, Inc.'",0001193125-10-044780,10-K,2010-03-01,,,https://www.sec.gov/Archives/edgar/data/1283699/000119312510044780/dex211.htm
gate_exclusion,1283699,T-Mobile,2009-10-08,,1283699,METROPCS COMMUNICATIONS INC,permno 91937 -> cusip8 -> gvkey -> cik via the local pulls,UNVERIFIED,Exhibit 21 does not list 'T-Mobile',0001193125-10-044780,10-K,2010-03-01,,,https://www.sec.gov/Archives/edgar/data/1283699/000119312510044780/dex211.htm
gate_exclusion,1283699,T-Mobile USA Inc.,2011-10-21,,1283699,METROPCS COMMUNICATIONS INC,permno 91937 -> cusip8 -> gvkey -> cik via the local pulls,UNVERIFIED,Exhibit 21 does not list 'T-Mobile USA Inc.',0001445305-12-000521,10-K,2012-02-29,,,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/ex211.htm
gate_exclusion,1283699,T-Mobile,2012-05-08,,1283699,METROPCS COMMUNICATIONS INC,permno 91937 -> cusip8 -> gvkey -> cik via the local pulls,UNVERIFIED,Exhibit 21 does not list 'T-Mobile',0001445305-12-000521,10-K,2012-02-29,,,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/ex211.htm
gate_exclusion,1283699,T-Mobile,2012-08-28,,1283699,METROPCS COMMUNICATIONS INC,permno 91937 -> cusip8 -> gvkey -> cik via the local pulls,UNVERIFIED,Exhibit 21 does not list 'T-Mobile',0001445305-12-000521,10-K,2012-02-29,,,https://www.sec.gov/Archives/edgar/data/1283699/000144530512000521/ex211.htm
gate_exclusion,1308161,Fox Entertainment Group,2009-04-09,,1308161,NEWS CORP,permno 90441 -> cusip8 -> gvkey -> cik via the local pulls,VERIFIED,named in Exhibit 21 (filename pattern (no EX-21 document type found)),0001193125-09-172310,10-K,2009-08-12,"FOX ENTERTAINMENT GROUP, INC.",FOX ENTERTAINMENT GROUP,https://www.sec.gov/Archives/edgar/data/1308161/000119312509172310/dex21.htm
gate_exclusion,1308161,Fox Entertainment Group Inc.,2009-04-15,,1308161,NEWS CORP,permno 90441 -> cusip8 -> gvkey -> cik via the local pulls,VERIFIED,named in Exhibit 21 (filename pattern (no EX-21 document type found)),0001193125-09-172310,10-K,2009-08-12,"FOX ENTERTAINMENT GROUP, INC.",FOX ENTERTAINMENT GROUP,https://www.sec.gov/Archives/edgar/data/1308161/000119312509172310/dex21.htm
b_successor_cik,14745,"Brown, Lisle/Cummings, Inc.",2018-04-15,"BROWN FORMAN CORP (gvkey 2435, cik 14693)",14693,"BROWN FORMAN CORP (gvkey 2435, cik 14693)",parsed from the Stage 2 candidate string,UNVERIFIED,no 8-K or 12g-3 by either party names the other in a passage carrying succession language,,,,,,
b_successor_cik,58696,Lennar Corporation,2023-07-20,"LENNAR CORP (gvkey 6669, cik 920760)",920760,"LENNAR CORP (gvkey 6669, cik 920760)",parsed from the Stage 2 candidate string,UNVERIFIED,no 8-K or 12g-3 by either party names the other in a passage carrying succession language,,,,,,
