kind,cik,org_name,breach_date,field,old_value,new_value,applied,evidence
breach_date,101830,Sprint Nextel,2012-08-01,breach_date,2012-08-01,2009-01-01,YES,"reported_date=2009-03-30 00:00:00; end_breach_date=2009-01-01 00:00:00; incident_details=""The New Hampshire Department of Justice reported a data breach involving Sprint Nextel on March 30, 2009. The breach occurred between December 2008 and January 2009, affecting 4 residents of New Hampshire. The compromised information includ"""
prior_breaches_1yr,101830,Sprint,2009-02-01,prior_breaches_1yr,0,1,YES,mechanical consequence of breach_date 2012-08-01 -> 2009-01-01
reported_date_excluded,1125259,Carnival Corporation & PLC,2019-04-01,reported_date,2020-03,(missing),YES,"upstream day NOT reported, imputed: Data/processed/FINAL_DISSERTATION_DATASET_DEDUPLICATED.csv: org_name='Carnival Corporation & PLC', breach_date=2019-04-01, reported_date='2020-03-01'; the same upstream row is still month-truncated at end_breach_date='2019-07', so the record carries month precision and the '-01' was supplied by the pipeline; incident_details=""The Maine Attorney General's Office reported a data breach involving Carnival Corporation & PLC, which occurred between April 11, 2019, and July 23, 2019, affecting approximately 372,500 individuals, """
final_cik,1283246,International Paper Company,2023-05-30,final_cik,1283246,51434,YES,assigned CIK 1283246 last filed 2013-02-01 and filed nothing within +/-2 years of the 2023-05-30 breach; CIK 51434 (INTERNATIONAL PAPER CO /NEW/) is the only other filer with the same normalised name and is active across the window (365 filings)
final_cik,58696,Lennar Corporation,2023-07-20,final_cik,58696,920760,YES,"CIK 920760: 35 10-K filing(s) in total, most recent 2026-01-28; 10-K within 400d after 2023-07-20: [('10-K', '0001628280-24-002371', '2024-01-26'), ('10-K/A', '0001628280-24-018177', '2024-04-25')]. CIK 58696: 7 10-K filing(s) in total, most recent 1999-03-01; 10-K within 400d after 2023-07-20: NONE."
stage3_a_subsidiary,72945,Northrop Grumman Systems Corporation,2016-04-18,final_cik,72945,1133421,YES,Stage 3 VERIFIED (a_subsidiary); accession 0001133421-16-000065; matching line/passage: 'Northrop Grumman Systems Corporation'
stage3_a_subsidiary,108772,Xerox Corporation,2023-12-10,final_cik,108772,1770450,YES,Stage 3 VERIFIED (a_subsidiary); accession 0001770450-24-000012; matching line/passage: 'Xerox Corporation'
stage3_a_subsidiary,353394,"Leidos, Inc.",2022-09-30,final_cik,353394,1336920,YES,"Stage 3 VERIFIED (a_subsidiary); accession 0001336920-23-000015; matching line/passage: 'Leidos, Inc.'"
stage3_b_successor_cik,813828,Paramount,2023-01-01,final_cik,813828,2041610,YES,Stage 3 VERIFIED (b_successor_cik); accession 0001193125-25-175046; matching line/passage: 'This Current Report on Form 8-K establishes Paramount Skydance Corporation as the successor issuer to Paramount pursuant'
stage3_b_successor_cik,813828,Paramount Global,2023-08-10,final_cik,813828,2041610,YES,Stage 3 VERIFIED (b_successor_cik); accession 0001193125-25-175046; matching line/passage: 'This Current Report on Form 8-K establishes Paramount Skydance Corporation as the successor issuer to Paramount pursuant'
stage3_b_successor_cik,912752,"Sinclair Broadcast Group, Inc.",2020-05-01,final_cik,912752,1971213,YES,"Stage 3 VERIFIED (b_successor_cik); accession 0001193125-23-158935; matching line/passage: '”) that, following the Share Exchange, New Sinclair became the successor issuer to SBG. More specifically, pursuant to E'"
stage3_b_successor_cik,912752,"Sinclair Broadcast Group, Inc.",2021-06-23,final_cik,912752,1971213,YES,"Stage 3 VERIFIED (b_successor_cik); accession 0001193125-23-158935; matching line/passage: '”) that, following the Share Exchange, New Sinclair became the successor issuer to SBG. More specifically, pursuant to E'"
stage3_b_successor_cik,912752,"Sinclair Broadcast Group, Inc.",2021-12-16,final_cik,912752,1971213,YES,"Stage 3 VERIFIED (b_successor_cik); accession 0001193125-23-158935; matching line/passage: '”) that, following the Share Exchange, New Sinclair became the successor issuer to SBG. More specifically, pursuant to E'"
stage3_b_successor_cik,926480,The Walt Disney Company,2008-07-29,final_cik,926480,1744489,YES,Stage 3 VERIFIED (b_successor_cik); accession 0000950157-19-000301; matching line/passage: 'This Current Report on Form 8-K is being filed for the purpose of establishing Disney as the successor issuer to Old Dis'
