final_cik,breach_date,org_name,treated,gvkey,variable,v3_value,v4_value,change,delta
4904,2018-12-09,American Electric Power,0,001440,firm_size_log,11.078,11.078,identical,0.0
4904,2018-12-09,American Electric Power,0,001440,leverage,0.7169,0.7169,identical,0.0
4904,2018-12-09,American Electric Power,0,001440,roa,0.0295,0.0295,identical,0.0
4904,2018-12-09,American Electric Power,0,001440,op_margin,0.3519,0.3519,identical,0.0
4904,2019-02-18,American Electric Power,0,001440,firm_size_log,11.139,11.139,identical,0.0
4904,2019-02-18,American Electric Power,0,001440,leverage,0.7214,0.7214,identical,0.0
4904,2019-02-18,American Electric Power,0,001440,roa,0.028,0.028,identical,0.0
4904,2019-02-18,American Electric Power,0,001440,op_margin,0.3103,0.3103,identical,0.0
8670,2013-04-29,"Automatic Data Processing, Inc.",0,001891,firm_size_log,10.3358,10.3358,identical,0.0
8670,2013-04-29,"Automatic Data Processing, Inc.",0,001891,leverage,0.8016,0.8016,identical,0.0
8670,2013-04-29,"Automatic Data Processing, Inc.",0,001891,roa,0.0451,0.0451,identical,0.0
8670,2013-04-29,"Automatic Data Processing, Inc.",0,001891,op_margin,0.214,0.214,identical,0.0
12927,2016-11-21,The Boeing Company,0,002285,firm_size_log,11.4554,11.4554,identical,0.0
12927,2016-11-21,The Boeing Company,0,002285,leverage,0.9322,0.9322,identical,0.0
12927,2016-11-21,The Boeing Company,0,002285,roa,0.0548,0.0548,identical,0.0
12927,2016-11-21,The Boeing Company,0,002285,op_margin,0.0917,0.0917,identical,0.0
14693,2020-07-28,Brown-Forman Corporation,0,002435,firm_size_log,,8.6597,gained,
14693,2020-07-28,Brown-Forman Corporation,0,002435,leverage,,0.6575,gained,
14693,2020-07-28,Brown-Forman Corporation,0,002435,roa,,0.1434,gained,
14693,2020-07-28,Brown-Forman Corporation,0,002435,op_margin,,0.3497,gained,
18926,2013-12-27,CenturyLink,1,002884,firm_size_log,10.8971,10.8971,identical,0.0
18926,2013-12-27,CenturyLink,1,002884,leverage,0.6429,0.6429,identical,0.0
18926,2013-12-27,CenturyLink,1,002884,roa,0.0144,0.0144,identical,0.0
18926,2013-12-27,CenturyLink,1,002884,op_margin,0.4166,0.4166,identical,0.0
18926,2017-01-30,CenturyLink,1,002884,firm_size_log,10.7583,10.7583,identical,0.0
18926,2017-01-30,CenturyLink,1,002884,leverage,0.715,0.715,identical,0.0
18926,2017-01-30,CenturyLink,1,002884,roa,0.0133,0.0133,identical,0.0
18926,2017-01-30,CenturyLink,1,002884,op_margin,0.3736,0.3736,identical,0.0
18926,2017-02-28,CenturyLink,1,002884,firm_size_log,10.7583,10.7583,identical,0.0
18926,2017-02-28,CenturyLink,1,002884,leverage,0.715,0.715,identical,0.0
18926,2017-02-28,CenturyLink,1,002884,roa,0.0133,0.0133,identical,0.0
18926,2017-02-28,CenturyLink,1,002884,op_margin,0.3736,0.3736,identical,0.0
18926,2020-08-20,CenturyLink Communications,1,002884,firm_size_log,11.0782,11.0782,identical,0.0
18926,2020-08-20,CenturyLink Communications,1,002884,leverage,0.7919,0.7919,identical,0.0
18926,2020-08-20,CenturyLink Communications,1,002884,roa,-0.0814,-0.0814,identical,0.0
18926,2020-08-20,CenturyLink Communications,1,002884,op_margin,0.3843,0.3843,identical,0.0
18926,2022-03-15,Centurylink Communications,1,002884,firm_size_log,10.9681,10.9681,identical,0.0
18926,2022-03-15,Centurylink Communications,1,002884,leverage,0.7958,0.7958,identical,0.0
18926,2022-03-15,Centurylink Communications,1,002884,roa,0.0351,0.0351,identical,0.0
18926,2022-03-15,Centurylink Communications,1,002884,op_margin,0.422,0.422,identical,0.0
20520,2022-02-24,Frontier Communications,1,135484,firm_size_log,9.71,9.71,identical,0.0
20520,2022-02-24,Frontier Communications,1,135484,leverage,0.7209,0.7209,identical,0.0
20520,2022-02-24,Frontier Communications,1,135484,roa,0.3006,0.3006,identical,0.0
20520,2022-02-24,Frontier Communications,1,135484,op_margin,0.3708,0.3708,identical,0.0
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,135484,firm_size_log,9.8322,9.8322,identical,0.0
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,135484,leverage,0.7243,0.7243,identical,0.0
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,135484,roa,0.0237,0.0237,identical,0.0
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,135484,op_margin,0.3218,0.3218,identical,0.0
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,135484,firm_size_log,9.9376,9.9376,identical,0.0
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,135484,leverage,0.7449,0.7449,identical,0.0
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,135484,roa,0.0014,0.0014,identical,0.0
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,135484,op_margin,0.3443,0.3443,identical,0.0
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,135484,firm_size_log,9.9376,9.9376,identical,0.0
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,135484,leverage,0.7449,0.7449,identical,0.0
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,135484,roa,0.0014,0.0014,identical,0.0
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,135484,op_margin,0.3443,0.3443,identical,0.0
23632,2023-05-29,Consolidated Edison Company of New York LLC,0,105999,firm_size_log,,10.9586,gained,
23632,2023-05-29,Consolidated Edison Company of New York LLC,0,105999,leverage,,0.7062,gained,
23632,2023-05-29,Consolidated Edison Company of New York LLC,0,105999,roa,,0.0242,gained,
23632,2023-05-29,Consolidated Edison Company of New York LLC,0,105999,op_margin,,0.2949,gained,
27904,2017-09-01,"Delta Air Lines, Inc.",0,003851,firm_size_log,10.8447,10.8447,identical,0.0
27904,2017-09-01,"Delta Air Lines, Inc.",0,003851,leverage,0.7603,0.7603,identical,0.0
27904,2017-09-01,"Delta Air Lines, Inc.",0,003851,roa,0.0853,0.0853,identical,0.0
27904,2017-09-01,"Delta Air Lines, Inc.",0,003851,op_margin,0.2234,0.2234,identical,0.0
27904,2017-09-26,"Delta Air Lines, Inc.",0,003851,firm_size_log,10.8447,10.8447,identical,0.0
27904,2017-09-26,"Delta Air Lines, Inc.",0,003851,leverage,0.7603,0.7603,identical,0.0
27904,2017-09-26,"Delta Air Lines, Inc.",0,003851,roa,0.0853,0.0853,identical,0.0
27904,2017-09-26,"Delta Air Lines, Inc.",0,003851,op_margin,0.2234,0.2234,identical,0.0
27996,2019-08-13,Deluxe Corporation,0,003863,firm_size_log,,7.7429,gained,
27996,2019-08-13,Deluxe Corporation,0,003863,leverage,,0.6029,gained,
27996,2019-08-13,Deluxe Corporation,0,003863,roa,,0.0649,gained,
27996,2019-08-13,Deluxe Corporation,0,003863,op_margin,,0.2474,gained,
33185,2014-01-31,"Equifax, Inc.",0,004423,firm_size_log,8.4207,8.4207,identical,0.0
33185,2014-01-31,"Equifax, Inc.",0,004423,leverage,0.4843,0.4843,identical,0.0
33185,2014-01-31,"Equifax, Inc.",0,004423,roa,0.0775,0.0775,identical,0.0
33185,2014-01-31,"Equifax, Inc.",0,004423,op_margin,0.3516,0.3516,identical,0.0
33185,2016-01-01,TALX Corporation,0,004423,firm_size_log,8.4138,8.4138,identical,0.0
33185,2016-01-01,TALX Corporation,0,004423,leverage,0.4787,0.4787,identical,0.0
33185,2016-01-01,TALX Corporation,0,004423,roa,0.0952,0.0952,identical,0.0
33185,2016-01-01,TALX Corporation,0,004423,op_margin,0.344,0.344,identical,0.0
33185,2016-04-18,TALX Corporation,0,004423,firm_size_log,8.4138,8.4138,identical,0.0
33185,2016-04-18,TALX Corporation,0,004423,leverage,0.4787,0.4787,identical,0.0
33185,2016-04-18,TALX Corporation,0,004423,roa,0.0952,0.0952,identical,0.0
33185,2016-04-18,TALX Corporation,0,004423,op_margin,0.344,0.344,identical,0.0
33185,2017-03-09,TALX Corporation,0,004423,firm_size_log,8.8045,8.8045,identical,0.0
33185,2017-03-09,TALX Corporation,0,004423,leverage,0.5916,0.5916,identical,0.0
33185,2017-03-09,TALX Corporation,0,004423,roa,0.0733,0.0733,identical,0.0
33185,2017-03-09,TALX Corporation,0,004423,op_margin,0.3558,0.3558,identical,0.0
40704,2022-11-18,"General Mills, Inc.",0,005071,firm_size_log,10.3446,10.3446,identical,0.0
40704,2022-11-18,"General Mills, Inc.",0,005071,leverage,0.653,0.653,identical,0.0
40704,2022-11-18,"General Mills, Inc.",0,005071,roa,0.0871,0.0871,identical,0.0
40704,2022-11-18,"General Mills, Inc.",0,005071,op_margin,0.2054,0.2054,identical,0.0
43196,2016-02-16,"Gray Television, Inc.",0,005284,firm_size_log,7.67,7.67,identical,0.0
43196,2016-02-16,"Gray Television, Inc.",0,005284,leverage,0.7997,0.7997,identical,0.0
43196,2016-02-16,"Gray Television, Inc.",0,005284,roa,0.0183,0.0183,identical,0.0
43196,2016-02-16,"Gray Television, Inc.",0,005284,op_margin,0.3267,0.3267,identical,0.0
43196,2016-08-08,Gray Television,0,005284,firm_size_log,7.67,7.67,identical,0.0
43196,2016-08-08,Gray Television,0,005284,leverage,0.7997,0.7997,identical,0.0
43196,2016-08-08,Gray Television,0,005284,roa,0.0183,0.0183,identical,0.0
43196,2016-08-08,Gray Television,0,005284,op_margin,0.3267,0.3267,identical,0.0
43196,2021-09-01,"Gray Television, Inc.",0,005284,firm_size_log,8.9415,8.9415,identical,0.0
43196,2021-09-01,"Gray Television, Inc.",0,005284,leverage,0.6856,0.6856,identical,0.0
43196,2021-09-01,"Gray Television, Inc.",0,005284,roa,0.0536,0.0536,identical,0.0
43196,2021-09-01,"Gray Television, Inc.",0,005284,op_margin,0.3881,0.3881,identical,0.0
47111,2023-09-03,The Hershey Company,0,005597,firm_size_log,9.301,9.301,identical,0.0
47111,2023-09-03,The Hershey Company,0,005597,leverage,0.6986,0.6986,identical,0.0
47111,2023-09-03,The Hershey Company,0,005597,roa,0.1502,0.1502,identical,0.0
47111,2023-09-03,The Hershey Company,0,005597,op_margin,0.2553,0.2553,identical,0.0
47217,2007-07-01,Hewlett-Packard Company,0,005606,firm_size_log,11.3142,11.3142,identical,0.0
47217,2007-07-01,Hewlett-Packard Company,0,005606,leverage,0.5347,0.5347,identical,0.0
47217,2007-07-01,Hewlett-Packard Company,0,005606,roa,0.0756,0.0756,identical,0.0
47217,2007-07-01,Hewlett-Packard Company,0,005606,op_margin,0.099,0.099,identical,0.0
47217,2007-08-16,Hewlett Packard Company,0,005606,firm_size_log,11.3142,11.3142,identical,0.0
47217,2007-08-16,Hewlett Packard Company,0,005606,leverage,0.5347,0.5347,identical,0.0
47217,2007-08-16,Hewlett Packard Company,0,005606,roa,0.0756,0.0756,identical,0.0
47217,2007-08-16,Hewlett Packard Company,0,005606,op_margin,0.099,0.099,identical,0.0
47217,2008-12-04,Hewlett-Packard Company,0,005606,firm_size_log,11.6381,11.6381,identical,0.0
47217,2008-12-04,Hewlett-Packard Company,0,005606,leverage,0.6564,0.6564,identical,0.0
47217,2008-12-04,Hewlett-Packard Company,0,005606,roa,0.0735,0.0735,identical,0.0
47217,2008-12-04,Hewlett-Packard Company,0,005606,op_margin,0.1199,0.1199,identical,0.0
47217,2008-12-08,Hewlett-Packard Company,0,005606,firm_size_log,11.6381,11.6381,identical,0.0
47217,2008-12-08,Hewlett-Packard Company,0,005606,leverage,0.6564,0.6564,identical,0.0
47217,2008-12-08,Hewlett-Packard Company,0,005606,roa,0.0735,0.0735,identical,0.0
47217,2008-12-08,Hewlett-Packard Company,0,005606,op_margin,0.1199,0.1199,identical,0.0
47217,2010-02-09,Hewlett-Packard Company,0,005606,firm_size_log,11.6509,11.6509,identical,0.0
47217,2010-02-09,Hewlett-Packard Company,0,005606,leverage,0.6471,0.6471,identical,0.0
47217,2010-02-09,Hewlett-Packard Company,0,005606,roa,0.0667,0.0667,identical,0.0
47217,2010-02-09,Hewlett-Packard Company,0,005606,op_margin,0.1379,0.1379,identical,0.0
51143,2007-02-23,IBM,0,006066,firm_size_log,11.5448,11.5448,identical,0.0
51143,2007-02-23,IBM,0,006066,leverage,0.7239,0.7239,identical,0.0
51143,2007-02-23,IBM,0,006066,roa,0.0919,0.0919,identical,0.0
51143,2007-02-23,IBM,0,006066,op_margin,0.1926,0.1926,identical,0.0
51143,2011-04-14,IBM,0,006066,firm_size_log,11.6391,11.6391,identical,0.0
51143,2011-04-14,IBM,0,006066,leverage,0.7958,0.7958,identical,0.0
51143,2011-04-14,IBM,0,006066,roa,0.1307,0.1307,identical,0.0
51143,2011-04-14,IBM,0,006066,op_margin,0.2361,0.2361,identical,0.0
920760,2023-07-20,Lennar Corporation,0,006669,firm_size_log,,10.5449,gained,
920760,2023-07-20,Lennar Corporation,0,006669,leverage,,0.3618,gained,
920760,2023-07-20,Lennar Corporation,0,006669,roa,,0.1215,gained,
920760,2023-07-20,Lennar Corporation,0,006669,op_margin,,0.2042,gained,
62709,2013-06-01,"Marsh & McLennan Companies, Inc.",0,007065,firm_size_log,,9.6982,gained,
62709,2013-06-01,"Marsh & McLennan Companies, Inc.",0,007065,leverage,,0.5944,gained,
62709,2013-06-01,"Marsh & McLennan Companies, Inc.",0,007065,roa,,0.0722,gained,
62709,2013-06-01,"Marsh & McLennan Companies, Inc.",0,007065,op_margin,,0.1863,gained,
68505,2009-01-01,"Motorola, Inc.",0,007585,firm_size_log,,10.2353,gained,
68505,2009-01-01,"Motorola, Inc.",0,007585,leverage,,0.6589,gained,
68505,2009-01-01,"Motorola, Inc.",0,007585,roa,,-0.1523,gained,
68505,2009-01-01,"Motorola, Inc.",0,007585,op_margin,,0.0233,gained,
68505,2009-02-17,"Motorola, Inc.",0,007585,firm_size_log,,10.2353,gained,
68505,2009-02-17,"Motorola, Inc.",0,007585,leverage,,0.6589,gained,
68505,2009-02-17,"Motorola, Inc.",0,007585,roa,,-0.1523,gained,
68505,2009-02-17,"Motorola, Inc.",0,007585,op_margin,,0.0233,gained,
1133421,2016-04-18,Northrop Grumman Systems Corporation,0,007985,firm_size_log,,10.1045,gained,
