final_cik,breach_date,org_name,treated,gvkey,matched_ticker,firm_size_log,firm_size_log_tic,firm_size_log_v3,leverage,leverage_tic,leverage_v3,roa,roa_tic,roa_v3,op_margin,op_margin_tic,op_margin_v3
4904,2018-12-09,American Electric Power,0,001440,AEP,11.078,11.078,11.078,0.7169,0.7169,0.7169,0.0295,0.0295,0.0295,0.3519,0.3519,0.3519
4904,2019-02-18,American Electric Power,0,001440,AEP,11.139,11.139,11.139,0.7214,0.7214,0.7214,0.028,0.028,0.028,0.3103,0.3103,0.3103
8670,2013-04-29,"Automatic Data Processing, Inc.",0,001891,ADP,10.3358,10.3358,10.3358,0.8016,0.8016,0.8016,0.0451,0.0451,0.0451,0.214,0.214,0.214
12927,2016-11-21,The Boeing Company,0,002285,BA,11.4554,11.4554,11.4554,0.9322,0.9322,0.9322,0.0548,0.0548,0.0548,0.0917,0.0917,0.0917
14693,2020-07-28,Brown-Forman Corporation,0,002435,,8.6597,,,0.6575,,,0.1434,,,0.3497,,
14745,2018-04-15,"Brown, Lisle/Cummings, Inc.",0,,,,,,,,,,,,,,
18926,2013-12-27,CenturyLink,1,002884,CTL,10.8971,,10.8971,0.6429,,0.6429,0.0144,,0.0144,0.4166,,0.4166
18926,2017-01-30,CenturyLink,1,002884,CTL,10.7583,,10.7583,0.715,,0.715,0.0133,,0.0133,0.3736,,0.3736
18926,2017-02-28,CenturyLink,1,002884,CTL,10.7583,,10.7583,0.715,,0.715,0.0133,,0.0133,0.3736,,0.3736
18926,2020-08-20,CenturyLink Communications,1,002884,CTL,11.0782,,11.0782,0.7919,,0.7919,-0.0814,,-0.0814,0.3843,,0.3843
18926,2022-03-15,Centurylink Communications,1,002884,LUMN,10.9681,10.9681,10.9681,0.7958,0.7958,0.7958,0.0351,0.0351,0.0351,0.422,0.422,0.422
20520,2022-02-24,Frontier Communications,1,135484,FYBR,9.71,9.71,9.71,0.7209,0.7209,0.7209,0.3006,0.3006,0.3006,0.3708,0.3708,0.3708
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,135484,FYBR,9.8322,9.8322,9.8322,0.7243,0.7243,0.7243,0.0237,0.0237,0.0237,0.3218,0.3218,0.3218
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,135484,FYBR,9.9376,9.9376,9.9376,0.7449,0.7449,0.7449,0.0014,0.0014,0.0014,0.3443,0.3443,0.3443
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,135484,FYBR,9.9376,9.9376,9.9376,0.7449,0.7449,0.7449,0.0014,0.0014,0.0014,0.3443,0.3443,0.3443
