phase,cik,breach_date,accession,status,path
documents,4904,2018-12-09,0000004904-19-000042,already_on_disk,Data\edgar\item5_02_text\4904\0000004904-19-000042_a09-20198xkitem502dire.htm
documents,4904,2018-12-09,0000004904-17-000017,already_on_disk,Data\edgar\item5_02_text\4904\0000004904-17-000017_a8kdepartureofcertainexecoff.htm
documents,4904,2019-02-18,0000004904-19-000042,already_on_disk,Data\edgar\item5_02_text\4904\0000004904-19-000042_a09-20198xkitem502dire.htm
documents,4904,2019-02-18,0000004904-17-000017,already_on_disk,Data\edgar\item5_02_text\4904\0000004904-17-000017_a8kdepartureofcertainexecoff.htm
documents,8670,2013-04-29,0000950142-13-001766,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-13-001766_eh1301002_8k.htm
documents,8670,2013-04-29,0000950142-12-002159,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-12-002159_eh1201199_8k.htm
documents,8670,2013-04-29,0001171843-12-003874,already_on_disk,Data\edgar\item5_02_text\8670\0001171843-12-003874_document.htm
documents,8670,2013-04-29,0000950142-11-002022,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-11-002022_eh1100889_8k.htm
documents,8670,2013-04-29,0000950142-11-002020,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-11-002020_eh1100888_8k.htm
documents,8670,2013-04-29,0000950142-11-001898,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-11-001898_eh1100824_8k.htm
documents,8670,2013-04-29,0000008670-11-000024,already_on_disk,Data\edgar\item5_02_text\8670\0000008670-11-000024_form8k.htm
documents,8670,2013-04-29,0000950142-11-001656,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-11-001656_eh1100701_form8k.htm
documents,8670,2013-04-29,0000950142-11-001591,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-11-001591_eh1100673_form8k.htm
documents,8670,2013-04-29,0000008670-11-000020,already_on_disk,Data\edgar\item5_02_text\8670\0000008670-11-000020_form8k.htm
documents,8670,2013-04-29,0000950142-11-001005,already_on_disk,Data\edgar\item5_02_text\8670\0000950142-11-001005_eh1100392_form8k.htm
documents,12927,2016-11-21,0000012927-17-000040,already_on_disk,Data\edgar\item5_02_text\12927\0000012927-17-000040_a201706jun258-kdocument.htm
documents,12927,2016-11-21,0000012927-16-000165,already_on_disk,Data\edgar\item5_02_text\12927\0000012927-16-000165_a201611nov218-k.htm
documents,12927,2016-11-21,0000012927-16-000147,already_on_disk,Data\edgar\item5_02_text\12927\0000012927-16-000147_a201610octxx8-kdocument.htm
documents,12927,2016-11-21,0000012927-16-000105,already_on_disk,Data\edgar\item5_02_text\12927\0000012927-16-000105_a201602feb188-k.htm
documents,12927,2016-11-21,0000012927-15-000083,already_on_disk,Data\edgar\item5_02_text\12927\0000012927-15-000083_a201512dec148-kdocument.htm
