final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
4904,2018-12-09,American Electric Power,final_cik,4904.0,21.0,ok,2016-12-09,2019-10-23,,,
4904,2019-02-18,American Electric Power,final_cik,4904.0,19.0,ok,2017-02-18,2019-10-23,,,
8670,2013-04-29,"Automatic Data Processing, Inc.",final_cik,8670.0,29.0,ok,2011-04-30,2013-12-01,,,
12927,2016-11-21,The Boeing Company,final_cik,12927.0,37.0,ok,2014-11-22,2017-08-08,,,
14693,2020-07-28,Brown-Forman Corporation,final_cik,14693.0,31.0,ok,2018-07-29,2021-09-28,,,
14745,2018-04-15,"Brown, Lisle/Cummings, Inc.",final_cik,14745.0,0.0,ok,2016-04-15,2018-12-12,,,
18926,2013-12-27,CenturyLink,final_cik,18926.0,46.0,ok,2011-12-28,2014-11-24,,,
18926,2017-01-30,CenturyLink,final_cik,18926.0,50.0,ok,2015-01-31,2017-08-19,,,
18926,2017-02-28,CenturyLink,final_cik,18926.0,50.0,ok,2015-03-01,2017-08-27,,,
18926,2020-08-20,CenturyLink Communications,final_cik,18926.0,63.0,ok,2018-08-21,2021-03-24,,,
18926,2022-03-15,Centurylink Communications,final_cik,18926.0,59.0,ok,2020-03-15,2022-10-18,,,
20520,2022-02-24,Frontier Communications,final_cik,20520.0,61.0,ok,2020-02-25,2022-10-31,,,
20520,2023-12-18,"Frontier Communications Parent, Inc.",final_cik,20520.0,37.0,ok,2021-12-18,2024-12-09,,,
20520,2024-04-13,"Frontier Communications Parent, Inc.",final_cik,20520.0,36.0,ok,2022-04-14,2024-12-03,,,
20520,2024-06-10,"Frontier Communications Parent, Inc.",final_cik,20520.0,32.0,ok,2022-06-11,2024-12-07,,,
23632,2023-05-29,Consolidated Edison Company of New York LLC,final_cik,23632.0,24.0,ok,2021-05-29,2024-01-31,,,
27904,2017-09-01,"Delta Air Lines, Inc.",final_cik,27904.0,76.0,ok,2015-09-02,2018-10-10,,,
27904,2017-09-26,"Delta Air Lines, Inc.",final_cik,27904.0,74.0,ok,2015-09-27,2018-10-10,,,
27996,2019-08-13,Deluxe Corporation,final_cik,27996.0,25.0,ok,2017-08-13,2020-03-01,,,
33185,2014-01-31,"Equifax, Inc.",final_cik,33185.0,29.0,ok,2012-02-01,2014-09-01,,,
33185,2016-01-01,TALX Corporation,final_cik,33185.0,39.0,ok,2014-01-01,2017-11-11,,,
33185,2016-04-18,TALX Corporation,final_cik,33185.0,37.0,ok,2014-04-19,2018-01-17,,,
33185,2017-03-09,TALX Corporation,final_cik,33185.0,29.0,ok,2015-03-10,2017-11-15,,,
37743,2023-01-25,Fluke Corporation,final_cik,37743.0,0.0,ok,2021-01-25,2025-03-30,,,
40704,2022-11-18,"General Mills, Inc.",final_cik,40704.0,31.0,ok,2020-11-18,2023-07-11,,,
43196,2016-02-16,"Gray Television, Inc.",final_cik,43196.0,50.0,ok,2014-02-16,2017-02-27,,,
43196,2016-08-08,Gray Television,final_cik,43196.0,42.0,ok,2014-08-09,2017-02-27,,,
