final_cik,breach_date,org_name,treated,orig_cik,link_basis,outcome_cik,outcome_rule,n_8k_final,n_8k_orig,n_8k_pred,predecessor_cik,predecessor_name,predecessor_term,predecessor_resolution,differs_from_final,win_lo,win_hi,unresolved_reason
4904,2018-12-09,American Electric Power,0,4904,direct,4904.0,final_cik,21,,,,,,,0,2016-12-09,2019-10-23,
4904,2019-02-18,American Electric Power,0,4904,direct,4904.0,final_cik,19,,,,,,,0,2017-02-18,2019-10-23,
8670,2013-04-29,"Automatic Data Processing, Inc.",0,8670,direct,8670.0,final_cik,29,,,,,,,0,2011-04-30,2013-12-01,
12927,2016-11-21,The Boeing Company,0,12927,direct,12927.0,final_cik,37,,,,,,,0,2014-11-22,2017-08-08,
14693,2020-07-28,Brown-Forman Corporation,0,14693,direct,14693.0,final_cik,31,,,,,,,0,2018-07-29,2021-09-28,
14745,2018-04-15,"Brown, Lisle/Cummings, Inc.",0,14745,direct,,none,0,,,,,,,0,2016-04-15,2018-12-12,"no candidate filed a Form 8-K in [2016-04-15, 2018-12-12] - fails the outcome-data requirement"
18926,2013-12-27,CenturyLink,1,18926,direct,18926.0,final_cik,46,,,,,,,0,2011-12-28,2014-11-24,
18926,2017-01-30,CenturyLink,1,18926,direct,18926.0,final_cik,50,,,,,,,0,2015-01-31,2017-08-19,
18926,2017-02-28,CenturyLink,1,18926,direct,18926.0,final_cik,50,,,,,,,0,2015-03-01,2017-08-27,
18926,2020-08-20,CenturyLink Communications,1,18926,direct,18926.0,final_cik,63,,,,,,,0,2018-08-21,2021-03-24,
18926,2022-03-15,Centurylink Communications,1,18926,direct,18926.0,final_cik,59,,,,,,,0,2020-03-15,2022-10-18,
20520,2022-02-24,Frontier Communications,1,20520,direct,20520.0,final_cik,61,,,,,,,0,2020-02-25,2022-10-31,
20520,2023-12-18,"Frontier Communications Parent, Inc.",1,20520,direct,20520.0,final_cik,37,,,,,,,0,2021-12-18,2024-12-09,
20520,2024-04-13,"Frontier Communications Parent, Inc.",1,20520,direct,20520.0,final_cik,36,,,,,,,0,2022-04-14,2024-12-03,
20520,2024-06-10,"Frontier Communications Parent, Inc.",1,20520,direct,20520.0,final_cik,32,,,,,,,0,2022-06-11,2024-12-07,
23632,2023-05-29,Consolidated Edison Company of New York LLC,0,23632,direct,23632.0,final_cik,24,,,,,,,0,2021-05-29,2024-01-31,
27904,2017-09-01,"Delta Air Lines, Inc.",0,27904,direct,27904.0,final_cik,76,,,,,,,0,2015-09-02,2018-10-10,
27904,2017-09-26,"Delta Air Lines, Inc.",0,27904,direct,27904.0,final_cik,74,,,,,,,0,2015-09-27,2018-10-10,
27996,2019-08-13,Deluxe Corporation,0,27996,direct,27996.0,final_cik,25,,,,,,,0,2017-08-13,2020-03-01,
33185,2014-01-31,"Equifax, Inc.",0,33185,direct,33185.0,final_cik,29,,,,,,,0,2012-02-01,2014-09-01,
33185,2016-01-01,TALX Corporation,0,33185,direct,33185.0,final_cik,39,,,,,,,0,2014-01-01,2017-11-11,
33185,2016-04-18,TALX Corporation,0,33185,direct,33185.0,final_cik,37,,,,,,,0,2014-04-19,2018-01-17,
33185,2017-03-09,TALX Corporation,0,33185,direct,33185.0,final_cik,29,,,,,,,0,2015-03-10,2017-11-15,
37743,2023-01-25,Fluke Corporation,0,37743,direct,,none,0,,,,,,,0,2021-01-25,2025-03-30,"no candidate filed a Form 8-K in [2021-01-25, 2025-03-30] - fails the outcome-data requirement"
40704,2022-11-18,"General Mills, Inc.",0,40704,direct,40704.0,final_cik,31,,,,,,,0,2020-11-18,2023-07-11,
43196,2016-02-16,"Gray Television, Inc.",0,43196,direct,43196.0,final_cik,50,,,,,,,0,2014-02-16,2017-02-27,
43196,2016-08-08,Gray Television,0,43196,direct,43196.0,final_cik,42,,,,,,,0,2014-08-09,2017-02-27,
43196,2021-09-01,"Gray Television, Inc.",0,43196,direct,43196.0,final_cik,46,,,,,,,0,2019-09-02,2022-08-20,
47111,2023-09-03,The Hershey Company,0,47111,direct,47111.0,final_cik,29,,,,,,,0,2021-09-03,2024-06-04,
47217,2007-07-01,Hewlett-Packard Company,0,47217,direct,47217.0,final_cik,43,,,,,,,0,2005-07-01,2008-02-12,
47217,2007-08-16,Hewlett Packard Company,0,47217,direct,47217.0,final_cik,40,,,,,,,0,2005-08-16,2008-02-12,
47217,2008-12-04,Hewlett-Packard Company,0,47217,direct,47217.0,final_cik,42,,,,,,,0,2006-12-05,2009-06-02,
47217,2008-12-08,Hewlett-Packard Company,0,47217,direct,47217.0,final_cik,41,,,,,,,0,2006-12-09,2009-06-06,
47217,2010-02-09,Hewlett-Packard Company,0,47217,direct,47217.0,final_cik,41,,,,,,,0,2008-02-10,2010-08-08,
51143,2007-02-23,IBM,0,51143,direct,51143.0,final_cik,81,,,,,,,0,2005-02-23,2007-10-23,
51143,2011-04-14,IBM,0,51143,direct,51143.0,final_cik,39,,,,,,,0,2009-04-14,2011-10-11,
920760,2023-07-20,Lennar Corporation,0,58696,cik_correction,920760.0,final_cik,26,0.0,,,,,,0,2021-07-20,2024-04-07,
62709,2013-06-01,"Marsh & McLennan Companies, Inc.",0,62709,direct,62709.0,final_cik,30,,,,,,,0,2011-06-02,2014-05-25,
68505,2009-01-01,"Motorola, Inc.",0,68505,direct,68505.0,final_cik,54,,,,,,,0,2007-01-02,2009-08-05,
68505,2009-02-17,"Motorola, Inc.",0,68505,direct,68505.0,final_cik,50,,,,,,,0,2007-02-18,2009-08-16,
69960,2016-01-01,NCH Corporation,0,69960,direct,,none,0,,,,,,,0,2014-01-01,2019-07-24,"no candidate filed a Form 8-K in [2014-01-01, 2019-07-24] - fails the outcome-data requirement"
69960,2018-11-30,NCH Corporation,0,69960,direct,,none,0,,,,,,,0,2016-11-30,2019-07-27,"no candidate filed a Form 8-K in [2016-11-30, 2019-07-27] - fails the outcome-data requirement"
69960,2021-03-02,NCH Corporation,0,69960,direct,,none,0,,,,,,,0,2019-03-03,2022-01-25,"no candidate filed a Form 8-K in [2019-03-03, 2022-01-25] - fails the outcome-data requirement"
1133421,2016-04-18,Northrop Grumman Systems Corporation,0,72945,exhibit21_parent,1133421.0,final_cik,41,0.0,,,,,,0,2014-04-19,2017-10-16,
73309,2023-05-26,Nucor Corporation,0,73309,direct,73309.0,final_cik,26,,,,,,,0,2021-05-26,2023-12-25,
73309,2025-05-03,Nucor Corporation,0,73309,direct,73309.0,final_cik,20,,,,,,,0,2023-05-04,2025-12-24,
73756,2024-01-01,"Oceaneering International, Inc.",0,73756,direct,73756.0,final_cik,39,,,,,,,0,2022-01-01,2024-08-28,
75362,2018-01-22,PACCAR,0,75362,direct,75362.0,final_cik,23,,,,,,,0,2016-01-23,2018-08-13,
76334,2022-03-11,Parker-Hannifin Corporation,0,76334,direct,76334.0,final_cik,31,,,,,,,0,2020-03-11,2022-11-08,
77476,2021-02-24,"PepsiCo, Inc.",0,77476,direct,77476.0,final_cik,56,,,,,,,0,2019-02-25,2023-04-05,
78003,2006-12-01,Pfizer Inc,0,78003,direct,78003.0,final_cik,52,,,,,,,0,2004-12-01,2008-02-20,
80172,2025-03-01,"National Presto Industries, Inc.",0,80172,direct,80172.0,final_cik,25,,,,,,,0,2023-03-02,2025-10-22,
88128,2013-09-06,CSX Transportation,0,88128,direct,,none,0,,,,,,,0,2011-09-07,2014-04-01,"no candidate filed a Form 8-K in [2011-09-07, 2014-04-01] - fails the outcome-data requirement"
88128,2013-10-07,CSX Transportation,0,88128,direct,,none,0,,,,,,,0,2011-10-08,2014-04-05,"no candidate filed a Form 8-K in [2011-10-08, 2014-04-05] - fails the outcome-data requirement"
88128,2020-12-25,"CSX Transportation, Inc.",0,88128,direct,,none,0,,,,,,,0,2018-12-26,2021-09-12,"no candidate filed a Form 8-K in [2018-12-26, 2021-09-12] - fails the outcome-data requirement"
90143,2022-06-10,Sierra Pacific Industries,0,90143,direct,,none,0,,,,,,,0,2020-06-10,2023-07-10,"no candidate filed a Form 8-K in [2020-06-10, 2023-07-10] - fails the outcome-data requirement"
91419,2010-04-05,The J.M. Smucker Company,0,91419,direct,91419.0,final_cik,33,,,,,,,0,2008-04-05,2010-10-26,
91440,2022-03-01,Snap-on Incorporated,0,91440,direct,91440.0,final_cik,16,,,,,,,0,2020-03-01,2022-10-04,
92380,2017-10-01,Southwest Airlines Co.,0,92380,direct,92380.0,final_cik,76,,,,,,,0,2015-10-02,2018-10-17,
92380,2018-03-01,Southwest Airlines Co.,0,92380,direct,92380.0,final_cik,64,,,,,,,0,2016-03-01,2018-10-17,
96021,2023-01-14,Sysco Corporation,0,96021,direct,96021.0,final_cik,39,,,,,,,0,2021-01-14,2023-11-12,
101830,2009-02-01,Sprint Nextel,1,101830,direct,101830.0,final_cik,64,,,,,,,0,2007-02-02,2009-12-09,
101830,2009-01-01,Sprint Nextel,1,101830,direct,101830.0,final_cik,56,,,,,,,0,2007-01-02,2009-09-26,
101830,2015-08-17,Sprint Corporation,1,101830,direct,101830.0,final_cik,117,,,,,,,0,2013-08-17,2020-10-06,
101830,2017-05-01,Sprint Corporation,1,101830,direct,101830.0,final_cik,43,,,,,,,0,2015-05-02,2018-03-19,
101830,2017-05-07,Sprint,1,101830,direct,101830.0,final_cik,42,,,,,,,0,2015-05-08,2018-03-19,
101830,2018-03-02,Sprint Corporation,1,101830,direct,101830.0,final_cik,42,,,,,,,0,2016-03-02,2018-09-26,
101830,2019-03-14,Sprint Corporation,1,101830,direct,101830.0,final_cik,38,,,,,,,0,2017-03-14,2019-11-05,
101830,2019-05-09,Sprint Corporation,1,101830,direct,101830.0,final_cik,37,,,,,,,0,2017-05-09,2019-11-05,
101830,2019-06-02,Sprint,1,101830,direct,101830.0,final_cik,37,,,,,,,0,2017-06-02,2020-01-07,
101830,2019-06-08,Sprint,1,101830,direct,101830.0,final_cik,37,,,,,,,0,2017-06-08,2019-12-05,
101830,2019-06-22,Sprint,1,101830,direct,101830.0,final_cik,37,,,,,,,0,2017-06-22,2020-01-07,
101830,2019-08-13,Sprint Corporation,1,101830,direct,101830.0,final_cik,43,,,,,,,0,2017-08-13,2020-09-27,
1770450,2023-12-10,Xerox Corporation,0,108772,exhibit21_parent,1770450.0,final_cik,40,37.0,,,,,,0,2021-12-10,2024-08-18,
277135,2017-08-23,"W.W. Grainger, Inc.",0,277135,direct,277135.0,final_cik,24,,,,,,,0,2015-08-24,2018-03-17,
277135,2017-09-26,W.W. Grainger Inc.,0,277135,direct,277135.0,final_cik,28,,,,,,,0,2015-09-27,2018-10-17,
315293,2020-12-17,Aon Corporation,0,315293,direct,315293.0,final_cik,46,,,,,,,0,2018-12-18,2021-11-17,
318154,2021-04-21,Amgen Inc.,0,318154,direct,318154.0,final_cik,36,,,,,,,0,2019-04-22,2021-12-19,
318154,2023-08-16,Amgen Inc.,0,318154,direct,318154.0,final_cik,40,,,,,,,0,2021-08-16,2025-03-24,
319687,2013-01-01,United Airlines,0,319687,direct,319687.0,final_cik,213,,,,,,,0,2011-01-02,2018-01-02,
320193,2010-06-01,Apple Inc.,0,320193,direct,320193.0,final_cik,19,,,,,,,0,2008-06-01,2010-12-06,
320193,2013-07-18,Apple Inc.,0,320193,direct,320193.0,final_cik,23,,,,,,,0,2011-07-19,2014-01-17,
320193,2014-08-31,Apple Inc.,0,320193,direct,320193.0,final_cik,27,,,,,,,0,2012-08-31,2015-02-27,
320193,2015-07-01,Apple Inc.,0,320193,direct,320193.0,final_cik,32,,,,,,,0,2013-07-01,2016-02-21,
320193,2015-09-18,Apple Inc.,0,320193,direct,320193.0,final_cik,32,,,,,,,0,2013-09-16,2016-03-16,
320193,2019-02-02,Apple Inc.,0,320193,direct,320193.0,final_cik,30,,,,,,,0,2017-02-02,2019-11-26,
320193,2020-11-01,Apple Inc.,0,320193,direct,320193.0,final_cik,24,,,,,,,0,2018-11-02,2021-04-30,
1336920,2022-09-30,"Leidos, Inc.",0,353394,exhibit21_parent,1336920.0,final_cik,36,0.0,,,,,,0,2020-09-30,2023-12-05,
354190,2017-06-01,Gallagher NAC,0,354190,direct,354190.0,final_cik,36,,,,,,,0,2015-06-02,2018-05-12,
354190,2017-06-18,Gallagher NAC,0,354190,direct,354190.0,final_cik,36,,,,,,,0,2015-06-19,2018-05-12,
354950,2014-02-10,The Home Depot,0,354950,direct,354950.0,final_cik,25,,,,,,,0,2012-02-11,2014-09-10,
708818,2023-03-29,"NextGen Healthcare, Inc.",0,708818,direct,708818.0,final_cik,27,,,,,,,0,2021-03-29,2023-10-25,
723254,2020-09-16,Cintas Corporation,0,723254,direct,723254.0,final_cik,19,,,,,,,0,2018-09-17,2021-08-17,
731766,2024-02-12,Change Healthcare Inc.,0,731766,direct,731766.0,final_cik,52,,,,,,,0,2022-02-12,2025-01-30,
732712,2008-06-27,Verizon,1,732712,direct,732712.0,final_cik,60,,,,,,,0,2006-06-28,2008-12-24,
732712,2014-01-20,Verizon Corporate Services Group Inc.,1,732712,direct,732712.0,final_cik,58,,,,,,,0,2012-01-21,2014-08-24,
732712,2014-02-26,Verizon,1,732712,direct,732712.0,final_cik,56,,,,,,,0,2012-02-27,2014-08-25,
732712,2016-08-10,Verizon,1,732712,direct,732712.0,final_cik,77,,,,,,,0,2014-08-11,2018-01-16,
732712,2017-07-20,Verizon,1,732712,direct,732712.0,final_cik,54,,,,,,,0,2015-07-21,2018-01-16,
732712,2019-03-12,Verizon Media,0,732712,direct,732712.0,final_cik,64,,,,,,,0,2017-03-12,2020-04-04,
732712,2019-04-24,Verizon,1,732712,direct,732712.0,final_cik,51,,,,,,,0,2017-04-24,2019-11-27,
732712,2019-06-03,Verizon,1,732712,direct,732712.0,final_cik,47,,,,,,,0,2017-06-03,2019-11-30,
732712,2023-05-11,Verizon,1,732712,direct,732712.0,final_cik,33,,,,,,,0,2021-05-11,2023-11-07,
732712,2023-09-21,Verizon Communications Inc.,1,732712,direct,732712.0,final_cik,37,,,,,,,0,2021-09-21,2024-08-03,
732712,2024-02-06,Verizon Communications Inc.,1,732712,direct,732712.0,final_cik,31,,,,,,,0,2022-02-06,2024-08-04,
732717,2008-05-23,AT&T,1,732717,direct,732717.0,final_cik,54,,,,,,,0,2006-05-24,2008-11-19,
732717,2012-01-01,AT&T,1,732717,direct,732717.0,final_cik,75,,,,,,,0,2010-01-01,2012-08-11,
732717,2013-01-01,AT&T,1,732717,direct,732717.0,final_cik,149,,,,,,,0,2011-01-02,2015-10-18,
732717,2013-11-05,AT&T,1,732717,direct,732717.0,final_cik,97,,,,,,,0,2011-11-06,2014-12-08,
732717,2014-02-01,AT&T,1,732717,direct,732717.0,final_cik,115,,,,,,,0,2012-02-02,2015-10-17,
732717,2014-04-01,AT&T,1,732717,direct,732717.0,final_cik,84,,,,,,,0,2012-04-01,2014-12-10,
732717,2014-04-09,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,84,,,,,,,0,2012-04-09,2014-12-02,
732717,2014-06-05,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,108,,,,,,,0,2012-06-05,2015-10-17,
732717,2014-06-11,AT&T,1,732717,direct,732717.0,final_cik,107,,,,,,,0,2012-06-11,2015-10-17,
732717,2014-08-05,ATT-Breach Notification,0,732717,direct,732717.0,final_cik,84,,,,,,,0,2012-08-05,2015-03-31,
732717,2014-08-11,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,84,,,,,,,0,2012-08-11,2015-03-30,
732717,2014-10-09,AT&T,1,732717,direct,732717.0,final_cik,83,,,,,,,0,2012-10-09,2015-04-07,
732717,2014-10-16,ATT-Breach Notification,0,732717,direct,732717.0,final_cik,88,,,,,,,0,2012-10-16,2015-06-17,
732717,2017-01-01,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,92,,,,,,,0,2015-01-02,2017-11-15,
732717,2017-01-25,AT&T,1,732717,direct,732717.0,final_cik,90,,,,,,,0,2015-01-26,2017-11-15,
732717,2017-02-01,AT&T Services,1,732717,direct,732717.0,final_cik,101,,,,,,,0,2015-02-02,2018-03-13,
732717,2018-08-17,Cricket Wireless LLC,1,732717,exhibit21_parent,732717.0,final_cik,91,,,,,,,0,2016-08-17,2019-02-13,
732717,2018-08-21,Cricket Wireless LLC,1,732717,exhibit21_parent,732717.0,final_cik,91,,,,,,,0,2016-08-21,2019-02-17,
732717,2019-01-01,"AT&T, Inc.",1,732717,direct,732717.0,final_cik,221,,,,,,,0,2017-01-01,2024-09-28,
732717,2022-06-01,AT&T,1,732717,direct,732717.0,final_cik,98,,,,,,,0,2020-06-01,2024-09-26,
732717,2022-08-30,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,77,,,,,,,0,2020-08-30,2023-08-23,
732717,2023-03-01,"AT&T Services, Inc.",1,732717,direct,732717.0,final_cik,62,,,,,,,0,2021-03-01,2023-08-28,
732717,2024-03-17,AT&T Inc.,1,732717,direct,732717.0,final_cik,44,,,,,,,0,2022-03-18,2024-10-06,
732717,2024-03-26,AT&T Inc.,1,732717,direct,732717.0,final_cik,43,,,,,,,0,2022-03-27,2024-10-06,
732717,2024-04-09,AT&T Inc,1,732717,direct,732717.0,final_cik,42,,,,,,,0,2022-04-10,2024-10-06,
732717,2024-04-14,AT&T Inc.,1,732717,direct,732717.0,final_cik,42,,,,,,,0,2022-04-11,2024-10-11,
764180,2006-12-01,"Altria Group, Inc.",0,764180,direct,764180.0,final_cik,43,,,,,,,0,2004-12-01,2007-07-09,
771497,2018-01-08,ABM Industries Incorporated,0,771497,direct,771497.0,final_cik,45,,,,,,,0,2016-01-09,2019-09-08,
773840,2021-02-16,Honeywell International Inc.,0,773840,direct,773840.0,final_cik,41,,,,,,,0,2019-02-17,2021-10-30,
773840,2023-05-27,"Honeywell International, Inc.",0,773840,direct,773840.0,final_cik,42,,,,,,,0,2021-05-27,2024-03-11,
773840,2023-06-03,Honeywell International Inc.,0,773840,direct,773840.0,final_cik,42,,,,,,,0,2021-06-03,2024-03-16,
789019,2017-07-05,Microsoft Corporation,0,789019,direct,789019.0,final_cik,34,,,,,,,0,2015-07-06,2018-04-15,
789019,2019-12-05,Microsoft Corporation,0,789019,direct,789019.0,final_cik,24,,,,,,,0,2017-12-05,2020-07-20,
789019,2022-03-01,Microsoft Corporation,0,789019,direct,789019.0,final_cik,31,,,,,,,0,2020-03-01,2022-09-18,
789019,2022-09-24,Microsoft Corporation,0,789019,direct,789019.0,final_cik,23,,,,,,,0,2020-09-24,2023-04-17,
789019,2023-05-28,"Nuance Communications, Inc.",0,789019,direct,789019.0,final_cik,27,,,,,,,0,2021-05-28,2024-03-13,
789570,2019-07-07,MGM Resorts International,0,789570,direct,789570.0,final_cik,52,,,,,,,0,2017-07-07,2020-03-02,
789570,2023-09-08,MGM Resorts International,0,789570,direct,789570.0,final_cik,36,,,,,,,0,2021-09-08,2024-04-02,
790070,2014-01-07,EMC Corporation,0,790070,direct,790070.0,final_cik,28,,,,,,,0,2012-01-08,2014-08-30,
796343,2013-09-11,Adobe Systems Incorporated,0,796343,direct,796343.0,final_cik,22,,,,,,,0,2011-09-12,2014-04-01,
796343,2013-09-17,Adobe Systems Incorporated,0,796343,direct,796343.0,final_cik,22,,,,,,,0,2011-09-18,2014-03-31,
796343,2019-10-19,Adobe Systems Incorporated,0,796343,direct,796343.0,final_cik,27,,,,,,,0,2017-10-19,2020-04-16,
798354,2008-12-02,"Fiserv, Inc.",0,798354,direct,798354.0,final_cik,37,,,,,,,0,2006-12-03,2009-06-10,
798354,2021-09-25,Fiserv,0,798354,direct,798354.0,final_cik,30,,,,,,,0,2019-09-26,2022-03-24,
