outcome_cik,final_cik,org_name,breach_date,treated,accession,filing_date,form,items,primary_doc,on_disk,win_lo,win_hi,submissions_cached
4904,4904,American Electric Power,2018-12-09,0,0000004904-19-000042,2019-09-18,8-K,5.02,a09-20198xkitem502dire.htm,1,2016-12-09,2019-10-23,1
4904,4904,American Electric Power,2018-12-09,0,0000004904-17-000017,2017-02-27,8-K,5.02,a8kdepartureofcertainexecoff.htm,1,2016-12-09,2019-10-23,1
4904,4904,American Electric Power,2019-02-18,0,0000004904-19-000042,2019-09-18,8-K,5.02,a09-20198xkitem502dire.htm,1,2017-02-18,2019-10-23,1
4904,4904,American Electric Power,2019-02-18,0,0000004904-17-000017,2017-02-27,8-K,5.02,a8kdepartureofcertainexecoff.htm,1,2017-02-18,2019-10-23,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0000950142-13-001766,2013-08-07,8-K,5.02,eh1301002_8k.htm,1,2011-04-30,2013-12-01,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0000950142-12-002159,2012-11-13,8-K,"5.02,9.01",eh1201199_8k.htm,1,2011-04-30,2013-12-01,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0001171843-12-003874,2012-11-01,8-K,"5.02,9.01",document.htm,1,2011-04-30,2013-12-01,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0000950142-11-002022,2011-12-15,8-K,5.02,eh1100889_8k.htm,1,2011-04-30,2013-12-01,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0000950142-11-002020,2011-12-14,8-K,"5.02,9.01",eh1100888_8k.htm,1,2011-04-30,2013-12-01,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0000950142-11-001898,2011-11-15,8-K,"5.02,9.01",eh1100824_8k.htm,1,2011-04-30,2013-12-01,1
8670,8670,"Automatic Data Processing, Inc.",2013-04-29,0,0000008670-11-000024,2011-11-09,8-K,"5.02,9.01",form8k.htm,1,2011-04-30,2013-12-01,1
