path,size,sha256
.gitattributes,1684,62e4f256699542aff865f8e34a6bb20aba31bb539ab91e6114311d37d16d9a31
Data/Articles/2010_Annual_Study_Data_Breach.pdf,2165483,25c27848a70b2ca1cbf16d87fbd276bbeeeb2e039a1aafe27f131682bd5d0245
Data/Articles/2011_US_CODB_FINAL_5.pdf,1554866,eca6d911bd12aecbce06ce2ab1f2fad75129e4f9b62197cf111c5e8f9bef2ec2
"Data/Articles/A Unified Theory of Underreaction, Momentum Trading, and Overreaction in Asset Markets.pdf",295654,c30a975b56a48b37fbd1729999e54c5f573de1b5e50e44db0ab4aae505045613
"Data/Articles/A cross-cultural analysis of transparency the interplay of law, privacy policies, and user perceptions.pdf",2565576,d65798a305a33a4cb3a41ee8fc9bdcf42815c5a51fd0eaf803c371ee0d1b01c5
Data/Articles/A measure of absorptive capacity Scale development and validation.pdf,590836,7d5af8933600f9adae409d83a762bb555312eab589c35876802db87be614668e
Data/Articles/Advancing cybersecurity and privacy with artificial intelligence current trends and future research directions.pdf,1387780,bbd0c6e4e4bc95a6b9a36cf000f8e39521ccc48261d0d84bcbeac99ec6803d19
"Data/Articles/Bridging the human factor gap Fortifying employees through training, culture, and behavioral intervention.pdf",928474,957ca11a8fe3691b9c8bfbd87205ddb45f466067fc46566062158c41397666fa
Data/Articles/Common risk factors in the returns on stocks and bonds.pdf,3486088,f9df2e67a523c3cd695c920bc95e5331517e0a8631c52fa2c4079c6baa5ffb1b
Data/Articles/Corporate Financing and Investment Decisions When Firms Have Informationthat Investors Do Not Have.pdf,631281,42393d559f0afc4c25336606e6e4b7ef970d9b3b52981e168fa76ea4dda00e2f
Data/Articles/Corporate communication and likelihood of data breaches.pdf,829808,f90eeebced4f460618737745d80745b623bdc42a1a899f3a9b0f20048ae0b923
Data/Articles/Corporate cybersecurity risk and data breaches A systematic review of empirical research.pdf,587862,017dc991ea5bdc5445983c769e64bd6f7e7f19e1bf3064e9bc48acf5525e5ed4
"Data/Articles/Corporate governance, chief executive officer compensation, and firm performance.pdf",199892,6312a18dc2d3d3b831931479a9516b3dd9add2c4ec6542cb743dd60bc38044f0
"Data/Articles/Crisis response and crisis timing strategies, two sides of the same coin.pdf",262171,0b6813e1a61abab195d4eaa3005f442155f91e5e12f0486e8b2e7055e7da243a
Data/Articles/Cybersecurity Intelligence Through Textual Data Analysis A Framework Using Machine Learning and Terrorism Datasets.pdf,4460074,44ac19f064edcada325e0a366c5f8c319458297ebe8981921a88699a4e09b9c8
Data/Articles/Cybersecurity Risks and Incidents Disclosure  A Literature Review.pdf,384853,5fd473181c9bb081634971d94e3ede7f113ec583cfb2feebc16cc5a0b1d99c2a
Data/Articles/Cybersecurity risk and corporate innovation.pdf,4451856,3405c0b5e63261894a307279d03e5e87c253681664bed095fb48503cb058ee6a
Data/Articles/Data Breach Announcements and Stock Market Reactions A Matter of Timing (1).pdf,1548269,9d2938f48c09a08f738fd8af2b7b4b577e0de08341401bfdc30a395760835340
Data/Articles/Data Breach Reporting Requirements effective March 13 2024.pdf,545006,314cfb6020728e26c930ec03b3bd2400868caf6799708a8cd59c75b60b314a93
Data/Articles/Data breach disclosures and stock price crash risk Evidence from data breach notification laws.pdf,1213353,1cb93446c8c06265d410948ffcf5daf3ffebce24ba79e8c919eed034b5c3d443
Data/Articles/Digital Battlegrounds The Power Dynamics and Governance of Contemporary Platforms.pdf,1004566,66fc64e832aca8f727447d030506575616887859b15fe10ee708e397eda681d4
"Data/Articles/Digital platform ecosystem governance of private companies Building blocks and a research agenda based on a multidisciplinary, systematic literature review.pdf",725850,ec3af91940ec79ee04d180eb915310d89e69bea3eaeb379e4a55e6bd5a6cd417
"Data/Articles/Disclosure, Liquidity, and the Cost of Capital.pdf",4172639,b7ed1305a59d8f4892f610f23cc132f33f5bb7fb422f65ca67a37a42707ae744
Data/Articles/Do Managers Withhold Bad News.pdf,263061,6c742ec45951b77aa6bbc259a87881c12e0fe5a49855525a3d7c110288cf8aa2
Data/Articles/Do security breaches matter The shareholder puzzle.pdf,2196504,71dd921dc2fcb975bc8f8f9b32071fc5d20b9121d77ad74395bd11a87c911839
Data/Articles/Does Information Asymmetry Affect Firm Disclosure Evidence from Mergers and Acquisitions of Financial Institutions.pdf,1008972,b27d57c2a50756fc5b01a134d5c5cda33f2de4ae7eaf8b91e487f7455b0f707d
Data/Articles/Dynamic Capabilities and Strategic Management.pdf,1157707,09c1b2a0c4ba1bff90da1b72c0b428fc2e19e2a47016a8ed77f11ecb9f565f7f
Data/Articles/Empirical evidence on disclosing cyber breaches in an 8-K report Initial exploratory evidence.pdf,1532648,6c57698171baee9d125759e6ab08150522740df7cd54db8e0009f4b5a30fff2c
Data/Articles/Equivalence Testing for Psychological Research a Tutorial.pdf,275351,aa0b8c4d0d064cc2365bab55450194bf84e6f674e0db8ef9804fc88c7e38adbf
Data/Articles/Estimating Standard Errors in Finance Panel Data Sets Comparing Approaches.pdf,554266,bb0d4a54b4ede34bcf073af65c1d398864860595747d2cbefa22881b93b267de
Data/Articles/Estimating the market impact of security breach announcements on firm values.pdf,289058,7e8f2f7010c445de4da6268d30e41863e55b7fea3aa1b369fdf4233583ad0a3f
Data/Articles/FCC Updates Data Breach Notification Rules.pdf,202613,597f4cde08f14d871f60b786792ed1795ddb387270f4bb2384f9beba001a6a30
Data/Articles/Governing digital platform ecosystems for social options.pdf,1864204,c23e6508c8ee72869dbd439f81401588bcf11dcbce37c73cab7ad4554279f35b
Data/Articles/Greedy Function Approximation A Gradient Boosting Machine.pdf,972654,a7b4b5cdf34b8e1f31173a938dbdde8471b8ccf7cc4bdab14827789a25cc636d
