org,cik,breach_date,reported_date,parent,ticker,parent_cik,permno,permno_in_extract,n_ret_12m,recoverable,basis
ABM Industries Incorporated,771497,2018-01-08,2019-03-12,ABM Industries Incorporated,ABM,771497.0,,False,0,N,self
"Activision Publishing, Inc.",1870564,2012-08-01,2012-08-09,"Activision Blizzard, Inc.",ATVI,,79678.0,True,252,Y,name knowledge: Activision Publishing is the operating sub
"Activision Publishing, Inc.",1870564,2022-12-02,2023-02-20,"Activision Blizzard, Inc.",ATVI,,79678.0,True,250,Y,name knowledge: Activision Publishing is the operating sub
AeroGrow International,1316644,2018-10-29,2019-04-04,"AeroGrow International, Inc.",AERO,1561861.0,,False,0,N,self
"AeroGrow International, Inc.",1316644,2019-03-04,2019-04-05,"AeroGrow International, Inc.",AERO,1561861.0,,False,0,N,self
Alpha & Omega Semiconductor,1387467,2022-02-22,2022-07-21,Alpha & Omega Semiconductor Ltd,AOSL,1387467.0,,False,0,N,self
Ariel Corporation,911167,2024-06-20,2024-12-03,,,,,False,0,N,Ariel Corp private
"Audacy, Inc",1067837,2019-08-04,2020-03-01,"Audacy, Inc.",AUD,,,False,0,N,self; formerly Entercom
Block Inc,1512673,2023-01-12,2023-09-22,"Block, Inc.",SQ,,15826.0,True,251,Y,"self; 2023 row only, 2016 Block and Company is unrelated"
"Block and Company, Inc.",1512673,2016-02-01,2016-03-31,"Block, Inc.",SQ,,15826.0,True,89,N,"self; 2023 row only, 2016 Block and Company is unrelated"
"Block and Company, Inc.",1512673,2016-02-09,2016-03-31,"Block, Inc.",SQ,,15826.0,True,89,N,"self; 2023 row only, 2016 Block and Company is unrelated"
"Block and Company, Inc.",1512673,2016-03-21,2016-05-13,"Block, Inc.",SQ,,15826.0,True,120,N,"self; 2023 row only, 2016 Block and Company is unrelated"
"Brown, Lisle/Cummings, Inc.",14745,2018-04-15,2018-06-15,,,,,False,0,N,unknown small entity
Brown-Forman Corporation,14693,2020-07-28,2021-04-01,Brown-Forman Corporation,BF-B,14693.0,,False,0,N,self; org string is the listed registrant
CSX Transportation,88128,2013-09-06,2013-10-03,CSX Corporation,CSX,277948.0,62148.0,True,250,Y,name knowledge: CSX Transportation is the rail operating sub
CSX Transportation,88128,2013-10-07,2013-10-07,CSX Corporation,CSX,277948.0,62148.0,True,249,Y,name knowledge: CSX Transportation is the rail operating sub
"CSX Transportation, Inc.",88128,2020-12-25,2021-03-16,CSX Corporation,CSX,277948.0,62148.0,True,252,Y,name knowledge: CSX Transportation is the rail operating sub
CWGS Group,1669779,2022-01-14,2022-11-03,"Camping World Holdings, Inc.",CWH,1669779.0,,False,0,N,name knowledge: CWGS is the LLC group under CWH
Capital Integration Systems LLC,1497060,2018-02-01,2018-06-25,,,,,False,0,N,CAIS private
Carnival Corporation & PLC,1125259,2019-04-01,2020-03,Carnival Corporation,CCL,815097.0,75154.0,True,251,Y,name knowledge: dual-listed company with Carnival plc
Carnival Corporation & PLC,1125259,2019-04-11,2020-03-02,Carnival Corporation,CCL,815097.0,75154.0,True,251,Y,name knowledge: dual-listed company with Carnival plc
Carnival Corporation & plc,1125259,2020-08-15,2020-10-20,Carnival Corporation,CCL,815097.0,75154.0,True,252,Y,name knowledge: dual-listed company with Carnival plc
Change Healthcare Inc.,731766,2024-02-12,2024-08-03,UnitedHealth Group Incorporated,UNH,731766.0,,False,0,N,name knowledge: Change Healthcare acquired by Optum 2022
"Chart Industries, Inc.",892553,2009-07-23,2009-08-10,"Chart Industries, Inc.",GTLS,892553.0,,False,0,N,self
Citrix Systems,877890,2016-11-15,2016-12-06,"Citrix Systems, Inc.",CTXS,,82686.0,True,252,Y,self
