candidate_type,cik,org,breach_date,crsp_permno,comnam_at_breach,candidate,confidence,shared_tokens,generic_only,reason
a_subsidiary,773840,Honeywell International Inc.,2021-02-16,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 2 CIKs match
a_subsidiary,773840,"Honeywell International, Inc.",2023-05-27,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 2 CIKs match
a_subsidiary,773840,Honeywell International Inc.,2023-06-03,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 2 CIKs match
b_successor_cik,813828,Paramount,2023-01-01,,,,no candidate,,False,"Stage 3b: v4 lost this event (the CIK has no Compustat gvkey, so the chain cannot start); nomination basis: ambiguous in cik-lookup-data.txt: 2 CIKs match"
b_successor_cik,813828,Paramount Global,2023-08-10,,,,no candidate,,False,"Stage 3b: v4 lost this event (the CIK has no Compustat gvkey, so the chain cannot start); nomination basis: the only same-name filer IS the event CIK (813828); no successor identified"
a_subsidiary,815097,Carnival Corporation,2020-12-25,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 4 CIKs match
a_subsidiary,815097,Carnival Corporation,2021-03-19,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 4 CIKs match
b_successor_cik,926480,The Walt Disney Company,2008-07-29,,,CIK 1744489,unverified,,False,"Stage 3b: v4 lost this event (the CIK has no Compustat gvkey, so the chain cannot start); nomination basis: company_tickers.json: unique current registrant titled 'The Walt Disney Company' (ambiguous in cik-lookup-data.txt: 3 CIKs match)"
a_subsidiary,1011006,Yahoo! Voices,2012-07-11,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: no exact name match in cik-lookup-data.txt
a_subsidiary,1011006,Yahoo! Inc.,2013-08-01,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 3 CIKs match
a_subsidiary,1011006,Yahoo,2014-12-01,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 3 CIKs match
a_subsidiary,1011006,Yahoo Inc.,2016-08-13,,,,no candidate,,False,Stage 3b: v4 lost this event (v3 permno absent from the CUSIP-filtered pull); nomination basis: ambiguous in cik-lookup-data.txt: 3 CIKs match
b_successor_cik,1288776,"Google, Inc.",2008-06-27,,,,no candidate,,False,"Stage 3b: v4 lost this event (the CIK has no Compustat gvkey, so the chain cannot start); nomination basis: ambiguous in cik-lookup-data.txt: 4 CIKs match"
