cik,org_1,date_1,org_2,date_2,days_apart,car_1,car_2,same_normalized_name
19617,"Morgan Industrial, Inc.",2022-10-22,"Morgan Industrial, Inc. dba Omega Morgan",2022-10-23,1,3.7451,2.2769,False
20520,"Frontier Communications Parent, Inc.",2024-04-13,"Frontier Communications Parent, Inc.",2024-04-14,1,3.5229,3.9861,True
20520,"Frontier Communications Parent, Inc.",2024-06-10,"Frontier Communications Parent, Inc.",2024-06-12,2,3.3666,8.1199,True
91440,"Snap-on, Inc.",2022-03-01,Snap-on Incorporated,2022-03-03,2,0.4276,1.1228,False
101829,TALX Corporation,2016-01-01,TALX Corporation,2016-01-04,3,,,True
313838,Sony Online Entertainment LLC,2011-04-16,Sony Online Entertainment,2011-04-17,1,,,True
713676,"IMA Financial Group, Inc.",2022-10-18,"IMA Financial Group, Inc.",2022-10-19,1,-2.1274,-3.2463,True
713676,"Corebridge Financial, Inc.",2023-05-29,Financial Institution Service Corporation,2023-05-30,1,1.5199,,False
732712,Verizon Communications Inc.,2024-02-06,Verizon Communications Inc.,2024-02-09,3,-8.9702,-2.1243,True
732717,AT&T Inc,2024-04-09,AT&T Inc.,2024-04-10,1,-0.3367,1.9726,True
879585,Gray Television,2016-08-08,Gray Television Inc,2016-08-10,2,-1.6406,3.6497,True
879585,Gray Television Inc,2016-08-10,"Gray Television, Inc.",2016-08-12,2,3.6497,2.6269,True
896878,Intuit Inc.,2015-12-07,Intuit,2015-12-08,1,5.5756,3.9536,True
896878,Intuit Inc,2016-02-29,Intuit Inc.,2016-03-01,1,0.882,-1.1849,True
896878,Intuit Inc.,2016-03-01,Intuit Inc,2016-03-03,2,-1.1849,-0.8039,True
896878,"Intuit, Inc.",2016-03-07,Intuit Inc,2016-03-08,1,-0.4628,-0.6379,True
896878,Intuit Inc,2016-03-08,Intuit,2016-03-09,1,-0.6379,-2.742,True
896878,Intuit Inc.,2016-03-22,"Intuit, Inc.",2016-03-23,1,-2.4031,-2.0225,True
896878,Intuit Inc,2016-03-29,Intuit Inc.,2016-04-01,3,-1.9936,-1.4841,True
896878,Intuit,2016-04-29,Intuit Inc.,2016-05-02,3,3.9436,4.7786,True
896878,Intuit,2017-01-27,Intuit Inc.,2017-01-30,3,2.9495,2.5857,True
896878,Intuit,2017-02-28,"Intuit, Inc.",2017-03-02,2,-5.068,-2.6336,True
896878,"Intuit, Inc.",2017-04-02,Intuit,2017-04-04,2,8.5286,8.2349,True
896878,Intuit Inc,2017-04-17,Intuit Inc.,2017-04-19,2,14.5257,13.945,True
896878,"Intuit, Inc.",2017-07-30,Intuit Inc.,2017-08-01,2,3.7955,2.2721,True
896878,"Intuit, Inc.",2019-01-29,Intuit Inc.,2019-01-30,1,12.7048,15.2307,True
896878,"Intuit, Inc.",2019-02-21,Intuit Inc.,2019-02-22,1,8.1468,7.3263,True
927628,"Pendrick Capital Partner Holdings, LLC",2021-04-12,"Eagle Capital Management, LLC",2021-04-13,1,17.2096,15.7938,False
1001082,"DISH Network, LLC",2023-02-22,DISH Network Corporation,2023-02-23,1,-40.6017,-39.3194,True
1060391,Republic Services,2013-08-10,Republic Services,2013-08-11,1,-3.5113,-3.0894,True
1060391,"Republic Services, Inc.",2019-02-01,"Republic Services, Inc",2019-02-02,1,-1.757,-1.757,True
1136893,"Fidelity National Information Services, Inc.",2023-05-27,"Fidelity National Information Services, Inc.",2023-05-29,2,3.9513,2.7225,True
1136893,"Fidelity National Information Services, Inc.",2023-05-29,"Fidelity National Information Services, Inc.",2023-05-31,2,2.7225,3.1221,True
1136893,"Fidelity National Information Services, Inc.",2023-09-08,GC Services,2023-09-11,3,-1.7322,-4.7437,False
1136893,A&A Services,2023-10-03,"Fidelity National Information Services, Inc.",2023-10-04,1,-4.5357,,False
1136893,"Fidelity National Information Services, Inc.",2023-10-04,"Fidelity National Information Services, Inc.",2023-10-06,2,,-4.1717,True
1283699,"T-Mobile USA, Inc.",2009-10-05,T-Mobile,2009-10-08,3,,,False
1283699,"T-Mobile USA, Inc.",2015-09-14,"T-Mobile USA, Inc.",2015-09-15,1,0.1446,-5.8577,True
1283699,"T-Mobile USA, Inc.",2021-08-17,T-Mobile USA,2021-08-18,1,,,True
1324404,Sierra Pacific Industries,2022-06-10,Sierra Pacific Industries,2022-06-11,1,5.8503,5.8503,True
1609711,GoDaddy.com LLC,2019-10-16,GoDaddy.com LLC,2019-10-19,3,1.025,-0.5365,True
1702780,Altice USA,2024-02-29,Altice USA,2024-03-01,1,-30.1227,-33.657,True
1755336,Time Warner Inc.,2017-07-20,"Home Box Office, Inc.",2017-07-23,3,,,False
1932393,"Healthcare Fiscal Management, Inc.",2020-04-12,"Healthcare Fiscal Management, Inc.",2020-04-13,1,,,True
