nk,org_name,norm_name,breach_date,cik,car_canon,fcc_canon,in_crsp,in_reg
AT T|2024-03-17,AT&T,AT T,2024-03-17,732717,2.4048,1.0,True,True
AT T|2024-03-17,AT&T Inc.,AT T,2024-03-17,732717,2.4048,1.0,True,True
BLOCK|2023-01-12,Block Inc,BLOCK,2023-01-12,1512673,5.7309,0.0,True,False
BLOCK|2023-01-12,"Block, Inc.",BLOCK,2023-01-12,1512673,5.7309,0.0,True,False
CITRIX SYSTEMS|2018-10-13,Citrix Systems,CITRIX SYSTEMS,2018-10-13,877890,7.1896,0.0,True,True
CITRIX SYSTEMS|2018-10-13,Citrix Systems Inc.,CITRIX SYSTEMS,2018-10-13,877890,7.1896,0.0,True,True
CITRIX SYSTEMS|2018-10-13,"Citrix Systems, Inc.",CITRIX SYSTEMS,2018-10-13,877890,7.1896,0.0,True,True
DISH NETWORK|2023-02-23,DISH Network Corporation,DISH NETWORK,2023-02-23,1001082,-39.3194,0.0,True,True
DISH NETWORK|2023-02-23,"DISH Network, LLC",DISH NETWORK,2023-02-23,1001082,-39.3194,0.0,True,True
GOOGLE|2016-08-10,Google,GOOGLE,2016-08-10,1652044,-0.1033,0.0,True,False
GOOGLE|2016-08-10,Google Inc.,GOOGLE,2016-08-10,1652044,-0.1033,0.0,True,False
HOME BOX OFFICE|2017-05-15,Home Box Office,HOME BOX OFFICE,2017-05-15,1755336,,0.0,False,False
HOME BOX OFFICE|2017-05-15,"Home Box Office, Inc.",HOME BOX OFFICE,2017-05-15,1755336,,0.0,False,False
HONEYWELL INTERNATIONAL|2023-05-27,Honeywell International Inc.,HONEYWELL INTERNATIONAL,2023-05-27,773840,0.2521,0.0,True,True
HONEYWELL INTERNATIONAL|2023-05-27,"Honeywell International, Inc.",HONEYWELL INTERNATIONAL,2023-05-27,773840,0.2521,0.0,True,True
INTUIT|2016-02-24,Intuit,INTUIT,2016-02-24,896878,-0.5662,0.0,True,True
INTUIT|2016-02-24,Intuit Inc.,INTUIT,2016-02-24,896878,-0.5662,0.0,True,True
INTUIT|2017-02-28,Intuit,INTUIT,2017-02-28,896878,-5.068,0.0,True,True
INTUIT|2017-02-28,Intuit Inc.,INTUIT,2017-02-28,896878,-5.068,0.0,True,True
NUANCE COMMUNICATIONS|2023-05-28,Nuance Communications Inc,NUANCE COMMUNICATIONS,2023-05-28,1034054,1.5181,0.0,True,True
NUANCE COMMUNICATIONS|2023-05-28,"Nuance Communications, Inc.",NUANCE COMMUNICATIONS,2023-05-28,1034054,1.5181,0.0,True,True
OKTA|2023-09-23,"Okta, Inc",OKTA,2023-09-23,1660134,-13.4875,0.0,True,True
OKTA|2023-09-23,"Okta, Inc.",OKTA,2023-09-23,1660134,-13.4875,0.0,True,True
ROKU|2023-12-28,Roku Inc,ROKU,2023-12-28,1428439,1.7386,0.0,True,True
ROKU|2023-12-28,"Roku, Inc.",ROKU,2023-12-28,1428439,1.7386,0.0,True,True
SALESFORCE COM|2008-02-07,Salesforce.com,SALESFORCE COM,2008-02-07,1108524,23.1406,0.0,True,True
SALESFORCE COM|2008-02-07,salesforce.com,SALESFORCE COM,2008-02-07,1108524,23.1406,0.0,True,True
SINCLAIR BROADCAST GROUP|2021-06-23,"Sinclair Broadcast Group, Inc",SINCLAIR BROADCAST GROUP,2021-06-23,912752,-10.6636,0.0,True,True
SINCLAIR BROADCAST GROUP|2021-06-23,"Sinclair Broadcast Group, Inc.",SINCLAIR BROADCAST GROUP,2021-06-23,912752,-10.6636,0.0,True,True
SIRIUS XM RADIO|2016-10-31,Sirius XM Radio Inc,SIRIUS XM RADIO,2016-10-31,908937,3.3302,0.0,True,True
SIRIUS XM RADIO|2016-10-31,Sirius XM Radio Inc.,SIRIUS XM RADIO,2016-10-31,908937,3.3302,0.0,True,True
SONY INTERACTIVE ENTERTAINMENT|2023-05-28,Sony Interactive Entertainment,SONY INTERACTIVE ENTERTAINMENT,2023-05-28,313838,-11.8152,0.0,True,True
SONY INTERACTIVE ENTERTAINMENT|2023-05-28,Sony Interactive Entertainment LLC,SONY INTERACTIVE ENTERTAINMENT,2023-05-28,313838,-11.8152,0.0,True,True
