firm_name,ticker,n_breaches,firm_car,treatment_effect,is_sprint_proxy
"Aero Charter, Inc.",CHTR,1,-4.913032513130444,-4.913032513130444,False
Altice USA,ATUS,2,-15.322895561751126,-15.322895561751126,False
"Altice USA, Inc.",ATUS,1,-22.064050082612717,-22.064050082612717,False
AT&T,T,11,-2.7363567935684148,-2.7363567935684148,False
AT&T Inc,T,1,1.5150097627953496,1.5150097627953496,False
AT&T Inc.,T,4,1.188989505861049,1.188989505861049,False
AT&T Services,T,1,-5.425612826736625,-5.425612826736625,False
AT&T Services Inc.,T,1,2.5674296980161326,2.5674296980161326,False
"AT&T Services, Inc.",T,7,-1.2672736073440392,-1.2672736073440392,False
"AT&T, Inc.",T,1,-2.9236692708638934,-2.9236692708638934,False
Boost Mobile,TMUS,1,-2.632226210147526,-2.632226210147526,False
Centurylink Communications,LUMN,1,0.615354504913812,0.615354504913812,False
Charter Communication,CHTR,1,-3.0530203610293793,-3.0530203610293793,False
Charter Communications,CHTR,2,9.965992669732765,9.965992669732765,False
"Charter Communications, Inc.",CHTR,5,3.0691307373746453,3.0691307373746453,False
"Charter Next Generation, Inc.",CHTR,1,1.3125007970347768,1.3125007970347768,False
Comcast,CMCSA,4,1.0349686184884739,1.0349686184884739,False
Comcast Cable Communications LLC,CMCSA,4,-2.7538480357744786,-2.7538480357744786,False
"Comcast Cable Communications, Inc.",CMCSA,2,-5.877579852768767,-5.877579852768767,False
Cricket Wireless LLC,TMUS,2,0.8833079120049492,0.8833079120049492,False
DISH Network Corporation,DISH,1,-29.23648357052836,-29.23648357052836,False
DISH Network L.L.C.,DISH,1,-28.535514032571474,-28.535514032571474,False
"DISH Network, LLC",DISH,3,-21.59288740454207,-21.59288740454207,False
Frontier Communications,FYBR,1,-2.068382734810603,-2.068382734810603,False
"Frontier Communications Parent, Inc.",FYBR,5,0.7583684557606409,0.7583684557606409,False
Sprint,TMUS,6,-3.099137774869154,-3.099137774869154,True
Sprint Business,TMUS,1,-4.723107840423079,-4.723107840423079,True
Sprint Corporation,TMUS,6,0.5430838581147809,0.5430838581147809,True
T-Mobile,TMUS,12,-0.7475238369498212,-0.7475238369498212,False
"T-Mobile US, Inc.",TMUS,2,-4.826233577048311,-4.826233577048311,False
T-Mobile USA,TMUS,7,-6.075875894899369,-6.075875894899369,False
T-Mobile USA Inc,TMUS,2,-5.446192987048998,-5.446192987048998,False
T-Mobile USA Inc.,TMUS,4,-4.807887707724312,-4.807887707724312,False
"T-Mobile USA, Inc.",TMUS,13,-1.9074385517102508,-1.9074385517102508,False
"T-Mobile, USA",TMUS,1,-3.550823128055536,-3.550823128055536,False
Verizon,VZ,7,1.242089102295374,1.242089102295374,False
Verizon Communications,VZ,1,1.6409957746592818,1.6409957746592818,False
Verizon Communications Inc,VZ,1,1.6409957746592818,1.6409957746592818,False
Verizon Communications Inc.,VZ,3,-2.7699256957760063,-2.7699256957760063,False
Verizon Corporate Services Group Inc.,VZ,1,-3.1518561647037036,-3.1518561647037036,False
Verizon Media,VZ,1,-1.8494783365265888,-1.8494783365265888,False
