cik,org_name,mean_effect,n_breaches,std_effect,mean_distance
1166691,NBC Sports Group,20.851699999999997,3,17.598621675290367,0.2177451924139723
732712,Verizon Communications,10.1408,1,,0.17835676407707762
732712,Verizon Communications Inc,10.1408,1,,0.17835676407707762
1091667,"Charter Communications, Inc.",7.67468,5,9.255813374144921,0.4080623610550651
732717,AT&T Services Inc.,6.0679,1,,0.0
732717,"AT&T Services, Inc.",5.5434,5,20.223817922687104,0.3877597646382429
732712,Verizon Communications Inc.,5.216633333333333,3,5.468285812147472,0.3332100515404628
20520,Frontier Communications,3.8320000000000003,1,,0.06900705432622505
18926,Centurylink Communications,3.3188000000000004,1,,0.16339656231228386
1166691,NBCUniversal,3.2868,1,,0.23870522680500292
732712,Verizon,2.5619,7,9.194928436734386,0.20130487599183486
732717,ATT-SecurityBreach2,2.5071,1,,0.044226737537084754
1091667,Charter Communications,2.418050000000001,2,28.82428869625407,0.774781923961199
1632127,"Cable One, Inc.",2.33385,2,2.080520282285179,0.19517229896579663
732717,AT&T Inc.,1.6906500000000002,4,0.21098389354008362,0.2011555902401489
732717,Cricket Wireless LLC,1.12845,2,1.3835958387477174,0.24079054618354662
1283699,T-Mobile,0.7714624999999999,8,4.574307778681617,0.09444394430080288
732712,Verizon Corporate Services Group Inc.,0.6829999999999998,1,,0.08180946575457146
732717,ATT-SecurityBreach,0.0,1,,0.0
20520,"Frontier Communications Parent, Inc.",-0.26714000000000004,5,4.686404944411014,0.3906017970873445
1166691,Comcast,-0.7245499999999998,4,6.122888347014014,0.08682279729553416
732717,AT&T Inc,-0.8823,1,,0.17856539708270563
1283699,Sprint Corporation,-1.0376166666666666,6,8.143191078543268,0.06176407553976465
1283699,"T-Mobile USA, Inc.",-1.3462363636363637,11,11.865174836155827,0.10915703506680595
732717,AT&T,-2.063018181818182,11,5.442703515316296,0.23047804598977348
1283699,T-Mobile USA Inc,-2.1805500000000007,2,8.951476875074862,0.09544835598135226
1001082,Boost Mobile,-2.8971999999999998,1,,0.16807652398587447
732717,"AT&T, Inc.",-3.1567000000000003,1,,0.23789727102043204
1283699,"T-Mobile, USA",-3.2741,1,,0.1317258734550701
732717,AT&T Services,-3.4238,1,,0.338751643043284
1283699,T-Mobile USA Inc.,-3.4332333333333334,3,7.456805321539066,0.12461450119268724
1166691,"Comcast Cable Communications, Inc.",-3.4616500000000006,2,7.770608550493327,0.1564997538183506
1166691,Comcast Cable Communications LLC,-3.9663000000000004,4,5.463376039898163,0.06612684434879279
1283699,"T-Mobile US, Inc.",-5.09245,2,6.223176070544687,0.11155388890195683
732717,ATT-Breach Notification,-5.150499999999999,2,0.8206681302451071,0.027817838444707126
1283699,Sprint,-5.497583333333334,6,2.161487974906793,0.06973010321476665
18926,CenturyLink Communications,-6.338299999999999,1,,0.23958743932764845
1283699,Sprint Business,-8.1112,1,,0.05831321351441901
1283699,T-Mobile USA,-9.301833333333335,6,7.2226863131847745,0.08947700630539707
1091667,Charter Communication,-12.8749,1,,0.24062565148852982
1001082,"DISH Network, LLC",-25.290000000000003,3,23.996864142841662,0.258636922246907
1001082,DISH Network Corporation,-38.4985,1,,0.2734111562543794
1001082,DISH Network L.L.C.,-39.7808,1,,0.2734111562543794
