cik,org_name,mean_effect,n_breaches,std_effect,mean_hhi
732712,Verizon Communications Inc,12.083150703227282,1,,0.003098951482901062
732712,Verizon Communications,12.083150703227282,1,,0.003098951482901062
20520,Frontier Communications,6.964593072313522,1,,0.004290190321893345
732717,AT&T Services Inc.,6.067899950868644,1,,0.999999922564246
1166691,NBC Sports Group,4.06591956738279,3,1.70173651397022,0.00276758941416924
1091667,"Charter Communications, Inc.",3.6969049550482422,5,6.873816669253352,0.0033362925713931167
1283699,Boost Mobile,3.5386608841014784,1,,0.002930147183269777
20520,"Frontier Communications Parent, Inc.",3.3565284732447593,5,3.8963218109492987,0.0024431934072832143
1091667,Charter Communications,3.0085308852357056,2,23.018871350232917,0.003128660551637766
732717,AT&T Inc.,2.7481656871130857,4,0.24277545363680408,0.002966755226105637
1166691,NBCUniversal,2.0018630888617643,1,,0.002793465076665526
1632127,"Cable One, Inc.",1.5783601509581675,2,2.041417802779459,0.004063173283178647
1283699,T-Mobile USA Inc,1.4800918609287677,2,5.814931767751114,0.0034292365649374323
732717,ATT-SecurityBreach2,1.3331969394553012,1,,0.008650400861517877
732712,Verizon,1.2743557418911422,7,5.953327411808022,0.0038360690061856927
1283699,T-Mobile,0.9917544562792764,8,5.2155690781305015,0.1295356898689514
732712,Verizon Communications Inc.,0.5311885781576559,3,10.573668162316348,0.0026906720418105406
732717,AT&T Inc,0.10730328388871518,1,,0.0029905723925869885
732717,ATT-SecurityBreach,-4.9131356538723026e-08,1,,0.999999922564246
732717,Cricket Wireless LLC,-0.14857343459505035,2,1.3835958387477174,0.002775467261853704
1166691,Comcast,-0.660182730267243,4,9.256170128463703,0.00514965337170205
1283699,Sprint,-0.6678364033944963,6,2.9076084577227914,0.16967691505595772
1283699,"T-Mobile USA, Inc.",-1.0046631834491506,10,9.165955513253943,0.004187471257374324
1283699,Sprint Corporation,-1.0552158343249467,6,4.985184779228854,0.3355565268792054
1283699,"T-Mobile, USA",-1.3250283896564277,1,,0.0036565169289131715
732717,AT&T,-1.41339559061755,11,4.975363125683654,0.18505878910148263
732717,"AT&T Services, Inc.",-1.580222494515745,5,5.149629482878617,0.2021535807310244
1283699,T-Mobile USA Inc.,-2.244358865010611,3,7.037632421572589,0.0030880868443391436
1283699,Sprint Business,-2.470052337064355,1,,0.003980419791131838
18926,Centurylink Communications,-2.662270765827836,1,,0.002814943700878363
732717,AT&T Services,-3.1269947113951644,1,,0.0026251132116098777
1283699,"T-Mobile US, Inc.",-3.7110744109601805,2,5.5194305685919485,0.005364489810819209
732712,Verizon Corporate Services Group Inc.,-4.251853826384489,1,,0.003991851050836811
1166691,Comcast Cable Communications LLC,-4.3454745579287835,4,5.212544007105229,0.006862852698348815
732717,"AT&T, Inc.",-4.4123716944196465,1,,0.0028102099596181577
1166691,"Comcast Cable Communications, Inc.",-4.565864252106005,2,7.770608550493327,0.0033073841946723256
732717,ATT-Breach Notification,-4.948398187849733,2,0.5348530340618576,0.5037546341701876
1283699,T-Mobile USA,-7.998327745947355,5,7.1764006331667005,0.00382115253783444
1091667,Charter Communication,-8.029659741906313,1,,0.002655261549514035
18926,CenturyLink Communications,-12.239951470315463,1,,0.0026592244154451826
1001082,"DISH Network, LLC",-27.404010374165054,3,21.698163762636494,0.00280646765680248
1001082,DISH Network Corporation,-39.28483089731211,1,,0.002820487325918087
1001082,DISH Network L.L.C.,-40.56713089731211,1,,0.002820487325918087
