Variable,N,Mean,Std,Min,P25,Median,P75,Max
5-Day CAR (%),926,-0.01,4.06,-26.41,-1.84,-0.12,2.05,14.21
30-Day CAR (%),926,-0.74,8.82,-42.56,-5.54,0.30,3.92,34.05
5-Day BHAR (%),926,-0.02,4.05,-24.28,-1.89,-0.12,2.04,15.05
30-Day BHAR (%),926,-0.75,8.70,-35.09,-5.83,-0.04,3.84,41.78
Post-Breach Volatility,916,26.46,13.98,4.48,17.11,22.84,32.03,127.62
Volatility Change,916,-1.75,13.87,-121.69,-7.84,-1.13,5.00,102.47
Records Affected,1050,2884987.07,36033259.98,0.00,4.00,64.50,2405.00,1000000000.00
Immediate Disclosure (≤7 days),1054,0.19,0.39,0.00,0.00,0.00,0.00,1.00
Delayed Disclosure (>30 days),1054,0.68,0.47,0.00,0.00,1.00,1.00,1.00
Health Data Breach,1054,0.11,0.31,0.00,0.00,0.00,0.00,1.00
Financial Data Breach,1054,0.24,0.43,0.00,0.00,0.00,0.00,1.00
PII Breach,1054,0.98,0.14,0.00,1.00,1.00,1.00,1.00
Breach Severity Score,1054,7.91,2.37,0.00,6.00,8.00,9.00,18.00
Total Prior Breaches,1054,3.36,7.32,0.00,0.00,0.00,3.00,56.00
Prior Breaches (1 year),1054,1.87,5.51,0.00,0.00,0.00,1.00,56.00
Prior Breaches (3 years),1054,2.55,6.22,0.00,0.00,0.00,2.00,56.00
Repeat Offender,1054,0.42,0.49,0.00,0.00,0.00,1.00,1.00
Days Since Last Breach,442,367.09,758.02,1.00,17.00,49.00,343.50,5698.00
Firm Size (log assets),973,10.48,1.23,5.01,9.75,10.49,11.03,14.74
Leverage,976,0.75,0.26,0.12,0.61,0.71,0.89,2.52
ROA (%),976,0.01,0.03,-0.33,0.00,0.01,0.02,0.21
Executive Change (30d),1036,0.43,0.49,0.00,0.00,0.00,1.00,1.00
Executive Change (90d),1036,0.62,0.49,0.00,0.00,1.00,1.00,1.00
Regulatory Enforcement,1054,0.01,0.08,0.00,0.00,0.00,0.00,1.00
Media Articles,1054,7.31,73.86,0.00,0.00,0.00,1.00,1870.00
High Media Coverage,1054,0.06,0.25,0.00,0.00,0.00,0.00,1.00
