Variable,N,Mean,Std,Min,P25,Median,P75,Max
5-Day CAR (%),672,-0.08,4.20,-26.41,-1.84,-0.05,2.01,14.21
30-Day CAR (%),672,-0.40,8.93,-42.56,-4.96,0.18,4.06,34.05
5-Day BHAR (%),672,-0.09,4.19,-24.28,-1.92,-0.11,1.98,15.01
30-Day BHAR (%),672,-0.43,8.82,-35.09,-5.24,-0.10,4.00,41.78
Post-Breach Volatility,665,27.24,14.60,4.48,17.38,23.38,32.78,127.62
Volatility Change,665,-2.02,14.97,-121.69,-7.77,-0.94,4.51,102.47
Records Affected,668,3569954.83,44505774.28,0.00,3.00,25.00,872.50,1000000000.00
Records Affected (log),672,4.62,4.09,0.00,1.39,3.20,6.76,20.72
Immediate Disclosure (≤7 days),672,0.23,0.42,0.00,0.00,0.00,0.00,1.00
Delayed Disclosure (>30 days),672,0.62,0.48,0.00,0.00,1.00,1.00,1.00
Health Data Breach,672,0.06,0.24,0.00,0.00,0.00,0.00,1.00
Financial Data Breach,672,0.25,0.43,0.00,0.00,0.00,0.25,1.00
PII Breach,672,0.97,0.16,0.00,1.00,1.00,1.00,1.00
Breach Severity Score,672,7.68,2.36,0.00,6.00,8.00,9.00,18.00
Total Prior Breaches,672,3.23,6.70,0.00,0.00,0.00,3.00,56.00
Prior Breaches (1 year),672,1.44,3.83,0.00,0.00,0.00,1.00,56.00
Prior Breaches (3 years),672,2.22,5.09,0.00,0.00,0.00,2.00,56.00
Repeat Offender,672,0.43,0.50,0.00,0.00,0.00,1.00,1.00
Days Since Last Breach,287,422.32,835.84,1.00,19.50,70.00,393.00,5698.00
Firm Size (log assets),648,10.53,1.24,5.64,9.83,10.40,11.19,14.74
Leverage,650,0.72,0.24,0.14,0.58,0.69,0.85,2.52
ROA (%),650,0.01,0.04,-0.33,0.00,0.01,0.02,0.21
Executive Change (30d),670,0.20,0.40,0.00,0.00,0.00,0.00,1.00
Executive Change (90d),670,0.46,0.50,0.00,0.00,0.00,1.00,1.00
Regulatory Enforcement,672,0.01,0.09,0.00,0.00,0.00,0.00,1.00
Media Articles,672,5.70,38.27,0.00,0.00,0.00,0.00,593.00
High Media Coverage,672,0.08,0.27,0.00,0.00,0.00,0.00,1.00
