Variable,N,Mean,Std,Min,P25,Median,P75,Max,Group
5-Day CAR (%),139,-0.92,4.50,-16.59,-2.77,-0.89,1.16,9.85,FCC Regulated
30-Day CAR (%),139,-2.40,9.79,-40.60,-6.34,-1.33,2.41,21.88,FCC Regulated
5-Day BHAR (%),139,-0.92,4.51,-15.93,-2.80,-0.92,1.18,10.01,FCC Regulated
30-Day BHAR (%),139,-2.36,9.19,-35.09,-6.39,-1.40,2.45,23.57,FCC Regulated
Post-Breach Volatility,138,25.90,14.53,4.48,16.20,21.49,30.33,89.81,FCC Regulated
Volatility Change,138,-2.03,15.28,-79.76,-7.48,0.03,4.63,38.93,FCC Regulated
Records Affected,151,2436319.65,13225490.92,0.00,2.00,11.00,621.00,109000000.00,FCC Regulated
Immediate Disclosure (≤7 days),151,0.36,0.48,0.00,0.00,0.00,1.00,1.00,FCC Regulated
Delayed Disclosure (>30 days),151,0.52,0.50,0.00,0.00,1.00,1.00,1.00,FCC Regulated
Health Data Breach,151,0.01,0.08,0.00,0.00,0.00,0.00,1.00,FCC Regulated
Financial Data Breach,151,0.26,0.44,0.00,0.00,0.00,1.00,1.00,FCC Regulated
PII Breach,151,0.99,0.11,0.00,1.00,1.00,1.00,1.00,FCC Regulated
Breach Severity Score,151,7.26,1.97,0.00,6.00,6.00,9.00,11.00,FCC Regulated
Total Prior Breaches,151,3.23,4.01,0.00,0.00,2.00,5.00,17.00,FCC Regulated
Prior Breaches (1 year),151,1.17,2.25,0.00,0.00,0.00,1.00,12.00,FCC Regulated
Prior Breaches (3 years),151,1.79,2.59,0.00,0.00,1.00,2.50,12.00,FCC Regulated
Repeat Offender,151,0.64,0.48,0.00,0.00,1.00,1.00,1.00,FCC Regulated
Days Since Last Breach,97,557.53,853.29,1.00,37.00,160.00,756.00,5245.00,FCC Regulated
Firm Size (log assets),140,11.12,1.33,6.06,10.43,11.75,12.09,12.86,FCC Regulated
Leverage,140,0.73,0.14,0.56,0.67,0.68,0.72,1.56,FCC Regulated
ROA (%),140,0.01,0.01,-0.06,0.00,0.01,0.01,0.04,FCC Regulated
Executive Change (30d),151,0.38,0.49,0.00,0.00,0.00,1.00,1.00,FCC Regulated
Executive Change (90d),151,0.55,0.50,0.00,0.00,1.00,1.00,1.00,FCC Regulated
Regulatory Enforcement,151,0.04,0.20,0.00,0.00,0.00,0.00,1.00,FCC Regulated
Media Articles,151,10.12,36.75,0.00,0.00,0.00,2.00,393.00,FCC Regulated
High Media Coverage,151,0.18,0.38,0.00,0.00,0.00,0.00,1.00,FCC Regulated
5-Day CAR (%),538,0.14,4.08,-26.41,-1.70,0.09,2.09,14.21,Non-FCC
30-Day CAR (%),538,0.08,8.61,-42.56,-4.76,0.43,4.60,34.05,Non-FCC
5-Day BHAR (%),538,0.13,4.07,-24.28,-1.74,0.02,2.06,15.01,Non-FCC
30-Day BHAR (%),538,0.02,8.64,-29.86,-5.01,0.22,4.46,41.78,Non-FCC
Post-Breach Volatility,532,27.53,14.57,6.47,17.64,23.92,33.26,127.62,Non-FCC
Volatility Change,532,-2.01,14.86,-121.69,-7.87,-1.21,4.43,102.47,Non-FCC
Records Affected,629,3548591.11,45683554.51,0.00,3.00,25.00,821.00,1000000000.00,Non-FCC
Immediate Disclosure (≤7 days),633,0.22,0.41,0.00,0.00,0.00,0.00,1.00,Non-FCC
Delayed Disclosure (>30 days),633,0.62,0.48,0.00,0.00,1.00,1.00,1.00,Non-FCC
Health Data Breach,633,0.07,0.26,0.00,0.00,0.00,0.00,1.00,Non-FCC
Financial Data Breach,633,0.26,0.44,0.00,0.00,0.00,1.00,1.00,Non-FCC
PII Breach,633,0.97,0.17,0.00,1.00,1.00,1.00,1.00,Non-FCC
Breach Severity Score,633,7.79,2.43,0.00,6.00,8.00,9.00,18.00,Non-FCC
Total Prior Breaches,633,3.06,7.07,0.00,0.00,0.00,2.00,56.00,Non-FCC
Prior Breaches (1 year),633,1.37,3.87,0.00,0.00,0.00,1.00,56.00,Non-FCC
Prior Breaches (3 years),633,2.20,5.31,0.00,0.00,0.00,1.00,56.00,Non-FCC
Repeat Offender,633,0.37,0.48,0.00,0.00,0.00,1.00,1.00,Non-FCC
Days Since Last Breach,235,354.91,777.30,1.00,18.00,49.00,330.00,5698.00,Non-FCC
Firm Size (log assets),578,10.32,1.21,5.01,9.61,10.29,10.84,14.74,Non-FCC
Leverage,581,0.72,0.26,0.12,0.54,0.69,0.86,2.52,Non-FCC
ROA (%),581,0.01,0.04,-0.33,0.00,0.01,0.02,0.21,Non-FCC
Executive Change (30d),618,0.34,0.48,0.00,0.00,0.00,1.00,1.00,Non-FCC
Executive Change (90d),618,0.54,0.50,0.00,0.00,1.00,1.00,1.00,Non-FCC
Regulatory Enforcement,633,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Non-FCC
Media Articles,633,8.91,93.36,0.00,0.00,0.00,0.00,1870.00,Non-FCC
High Media Coverage,633,0.05,0.22,0.00,0.00,0.00,0.00,1.00,Non-FCC
