Variable,N,Mean,Std,Min,P25,Median,P75,Max,Group
5-Day CAR (%),157,-0.30,4.81,-26.41,-1.67,-0.19,1.98,12.75,Immediate (≤7d)
30-Day CAR (%),157,-0.53,9.37,-33.66,-4.24,0.40,3.95,30.95,Immediate (≤7d)
5-Day BHAR (%),157,-0.31,4.78,-24.28,-1.68,-0.22,2.03,13.29,Immediate (≤7d)
30-Day BHAR (%),157,-0.60,9.24,-30.20,-5.61,0.34,3.93,29.73,Immediate (≤7d)
Post-Breach Volatility,155,27.50,16.57,9.15,16.08,21.97,31.61,89.81,Immediate (≤7d)
Volatility Change,155,-2.98,17.07,-79.76,-8.88,-1.51,5.36,41.80,Immediate (≤7d)
Records Affected,190,1847435.15,12916115.14,0.00,5.00,29.00,382.50,128000000.00,Immediate (≤7d)
Immediate Disclosure (≤7 days),192,1.00,0.00,1.00,1.00,1.00,1.00,1.00,Immediate (≤7d)
Delayed Disclosure (>30 days),192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Immediate (≤7d)
Health Data Breach,192,0.02,0.14,0.00,0.00,0.00,0.00,1.00,Immediate (≤7d)
Financial Data Breach,192,0.32,0.47,0.00,0.00,0.00,1.00,1.00,Immediate (≤7d)
PII Breach,192,0.95,0.21,0.00,1.00,1.00,1.00,1.00,Immediate (≤7d)
Breach Severity Score,192,7.01,2.19,0.00,6.00,6.00,9.00,13.00,Immediate (≤7d)
Total Prior Breaches,192,5.60,7.66,0.00,0.00,2.00,9.00,39.00,Immediate (≤7d)
Prior Breaches (1 year),192,2.61,4.13,0.00,0.00,1.00,3.25,19.00,Immediate (≤7d)
Prior Breaches (3 years),192,4.03,5.84,0.00,0.00,1.00,6.00,26.00,Immediate (≤7d)
Repeat Offender,192,0.68,0.47,0.00,0.00,1.00,1.00,1.00,Immediate (≤7d)
Days Since Last Breach,131,316.60,612.81,1.00,17.50,56.00,306.50,3289.00,Immediate (≤7d)
Firm Size (log assets),160,10.46,1.32,5.01,9.84,10.39,11.28,14.49,Immediate (≤7d)
Leverage,161,0.69,0.21,0.16,0.58,0.67,0.76,1.93,Immediate (≤7d)
ROA (%),161,0.01,0.04,-0.13,-0.00,0.01,0.01,0.21,Immediate (≤7d)
Executive Change (30d),187,0.23,0.42,0.00,0.00,0.00,0.00,1.00,Immediate (≤7d)
Executive Change (90d),187,0.36,0.48,0.00,0.00,0.00,1.00,1.00,Immediate (≤7d)
Regulatory Enforcement,192,0.02,0.12,0.00,0.00,0.00,0.00,1.00,Immediate (≤7d)
Media Articles,192,9.04,37.30,0.00,0.00,0.00,1.00,393.00,Immediate (≤7d)
High Media Coverage,192,0.12,0.33,0.00,0.00,0.00,0.00,1.00,Immediate (≤7d)
5-Day CAR (%),520,-0.01,3.99,-18.74,-2.01,0.00,2.01,14.21,Delayed (>7d)
30-Day CAR (%),520,-0.40,8.78,-42.56,-5.08,0.09,4.05,34.05,Delayed (>7d)
5-Day BHAR (%),520,-0.02,3.98,-16.97,-2.06,-0.06,1.96,15.01,Delayed (>7d)
30-Day BHAR (%),520,-0.43,8.67,-35.09,-5.27,-0.22,3.99,41.78,Delayed (>7d)
Post-Breach Volatility,515,27.10,13.92,4.48,17.62,23.87,32.99,127.62,Delayed (>7d)
Volatility Change,515,-1.72,14.23,-121.69,-7.45,-0.92,4.40,102.47,Delayed (>7d)
Records Affected,590,3811754.91,47069124.39,0.00,2.00,17.50,901.75,1000000000.00,Delayed (>7d)
Immediate Disclosure (≤7 days),592,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Delayed (>7d)
Delayed Disclosure (>30 days),592,0.80,0.40,0.00,1.00,1.00,1.00,1.00,Delayed (>7d)
Health Data Breach,592,0.07,0.26,0.00,0.00,0.00,0.00,1.00,Delayed (>7d)
Financial Data Breach,592,0.24,0.43,0.00,0.00,0.00,0.00,1.00,Delayed (>7d)
PII Breach,592,0.98,0.14,0.00,1.00,1.00,1.00,1.00,Delayed (>7d)
Breach Severity Score,592,7.91,2.37,0.00,6.00,8.00,9.00,18.00,Delayed (>7d)
Total Prior Breaches,592,2.28,5.98,0.00,0.00,0.00,1.00,56.00,Delayed (>7d)
Prior Breaches (1 year),592,0.91,3.33,0.00,0.00,0.00,0.00,56.00,Delayed (>7d)
Prior Breaches (3 years),592,1.50,4.39,0.00,0.00,0.00,1.00,56.00,Delayed (>7d)
Repeat Offender,592,0.34,0.47,0.00,0.00,0.00,1.00,1.00,Delayed (>7d)
Days Since Last Breach,201,477.66,903.39,1.00,21.00,91.00,548.00,5698.00,Delayed (>7d)
Firm Size (log assets),558,10.48,1.26,5.64,9.67,10.38,11.12,14.74,Delayed (>7d)
Leverage,560,0.73,0.25,0.12,0.58,0.71,0.86,2.52,Delayed (>7d)
ROA (%),560,0.01,0.03,-0.33,0.00,0.01,0.02,0.21,Delayed (>7d)
Executive Change (30d),582,0.39,0.49,0.00,0.00,0.00,1.00,1.00,Delayed (>7d)
Executive Change (90d),582,0.60,0.49,0.00,0.00,1.00,1.00,1.00,Delayed (>7d)
Regulatory Enforcement,592,0.01,0.07,0.00,0.00,0.00,0.00,1.00,Delayed (>7d)
Media Articles,592,9.18,95.99,0.00,0.00,0.00,0.00,1870.00,Delayed (>7d)
High Media Coverage,592,0.06,0.24,0.00,0.00,0.00,0.00,1.00,Delayed (>7d)
