group,variable,N,mean,sd,median,p25,p75,min,max
full,e2_vol_change,333,-0.0266,1.0975,-0.0327,-0.5581,0.3919,-5.5855,6.4279
full,e2_post_sd,333,1.6872,1.057,1.3962,1.0523,1.9591,0.2611,7.6626
full,e2_pre_sd,333,1.7138,1.1134,1.4836,0.9948,1.9865,0.4214,7.3545
full,delay_w,333,74.1166,133.6925,23.0,0.0,80.0,0.0,784.96
full,firm_size_log,333,10.242,1.6137,10.2304,8.61,11.5448,6.1043,13.2206
full,leverage,333,0.6663,0.2055,0.6688,0.5454,0.7268,0.1513,2.5183
full,roa,333,0.0606,0.1087,0.0633,0.0222,0.0964,-0.2847,0.3006
full,health_breach,333,0.045,0.2077,0.0,0.0,0.0,0.0,1.0
full,prior_events,333,12.6937,18.3134,4.0,1.0,17.0,0.0,75.0
treated,e2_vol_change,104,0.0033,1.094,-0.0027,-0.4946,0.5062,-3.2424,4.1346
treated,e2_post_sd,104,1.7744,1.13,1.5248,1.0457,2.0495,0.2611,6.0967
treated,e2_pre_sd,104,1.7711,1.2375,1.4089,0.9178,2.0386,0.5512,6.216
treated,delay_w,104,82.4604,159.2897,22.0,0.0,83.0,0.0,784.96
treated,firm_size_log,104,11.6093,1.2282,12.0571,10.9714,12.5212,7.7421,13.2206
treated,leverage,104,0.7216,0.1635,0.6829,0.6688,0.7272,0.1513,1.5242
treated,roa,104,0.0243,0.047,0.0281,0.0123,0.0435,-0.1102,0.3006
treated,health_breach,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treated,prior_events,104,10.0288,9.1465,7.5,2.0,16.25,0.0,33.0
control,e2_vol_change,229,-0.0402,1.1012,-0.0498,-0.5581,0.3285,-5.5855,6.4279
control,e2_post_sd,229,1.6476,1.0222,1.3442,1.0523,1.8527,0.527,7.6626
control,e2_pre_sd,229,1.6878,1.0541,1.4836,1.0689,1.9804,0.4214,7.3545
control,delay_w,229,70.3273,120.4904,24.0,0.0,76.0,0.0,784.96
control,firm_size_log,229,9.6211,1.3676,9.0147,8.5108,10.8447,6.1043,12.8096
control,leverage,229,0.6412,0.2176,0.6309,0.5306,0.7268,0.2622,2.5183
control,roa,229,0.0771,0.1238,0.0735,0.0393,0.1564,-0.2847,0.2478
control,health_breach,229,0.0655,0.248,0.0,0.0,0.0,0.0,1.0
control,prior_events,229,13.9039,21.1154,2.0,0.0,18.0,0.0,75.0
