parent_cik,legal_name,FRN,start,end,type,usf,holding,evidence_named,end_before_start,events_in_sample,event_span
1632127,"ComSouth Telecommunications, LLC",0004319257,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Cable One, Inc.",,,2,2019-03-01..2019-08-08
1632127,"ComSouth Teleservices, Inc.",0004357216,1997-01-01,2012-03-31,Toll Reseller,No,ComSouth Corporation,,,2,2019-03-01..2019-08-08
20520,Global Valley Networks,0001550029,1997-01-01,2009-01-01,Incumbent Local Exchange Carrier,No,Frontier Communications Corporation,,,4,2022-02-24..2024-06-10
1632127,"Low Country Carriers, Inc.",0005058177,1997-01-01,2023-06-30,Toll Reseller,No,HARGRAY COMMUNICATIONS GROUP INC,,,2,2019-03-01..2019-08-08
18926,"CenturyTel of Midwest-Kendall, Inc",0004547089,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
732712,Verizon - New York Inc.,0003469442,1997-01-01,2021-09-30,Incumbent Local Exchange Carrier,No,VERIZON COMMUNICATIONS INC,YES,,10,2008-06-27..2024-02-06
1166691,"CIMCO Communications, Inc.",0003735180,1997-01-01,2010-03-16,Toll Reseller,No,Comcast Corporation,,,9,2008-01-29..2024-10-04
732717,Pacific Bell Telephone Company,0001551530,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
1632127,Fidelity Tel. Co.,0002550309,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Cable One, Inc.",,,2,2019-03-01..2019-08-08
18926,Gulf Telephone Company,0004333753,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"MebTel, Inc.",0004333795,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
18926,"Gulf Long Distance, Inc.",0004333761,1997-01-01,2014-04-01,Toll Reseller,No,"CenturyLink, Inc.",,,5,2013-12-27..2022-03-15
101830,Sprint/United Telephone - Northwest,0001566694,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
18926,"CenturyTel of Lake Dallas, Inc.",0001677541,1997-01-01,2022-10-03,Incumbent Local Exchange Carrier,No,Lumen Technologies Inc.,,,5,2013-12-27..2022-03-15
20520,CITIZENS TELECOMMUNICATIONS COMPANY OF CALIFORNIA INC,0003574316,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"Frontier Commnunications Parent, Inc.",,,4,2022-02-24..2024-06-10
732712,St. Joseph CellTelCo,0005005541,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732712,"Topeka Cellular Telephone Company, Inc.",0005757901,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
732717,"BellSouth Public Communications, Inc.",0008709081,1997-01-01,2004-03-31,Payphone Service Provider,No,"Bellsouth Telecommunications, Inc.",,,24,2008-05-23..2024-04-14
732717,"BellSouth Telecommunications, LLC",0001857952,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732717,The Woodbury Telephone Company,0003576550,1997-01-01,2007-05-16,Incumbent Local Exchange Carrier,No,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732712,Railfone - Amtrak Venture,,1997-01-01,1997-01-01,Cellular/PCS/SMR,No,Cellco Partnership,,,10,2008-06-27..2024-02-06
732717,"AT&T Wireless PCS, LLC",,1997-01-01,2001-04-01,Cellular/PCS/SMR,No,,,,24,2008-05-23..2024-04-14
101830,Sprint/United Telephone Company of Ohio,0002938843,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
101830,"Sprint/United Telephone Company of Indiana, Inc",0002901551,1997-01-01,1997-01-01,Incumbent Local Exchange Carrier,No,Sprint Corporation,,,9,2009-02-01..2019-06-22
732717,"Illinois Bell Telephone Company, LLC",0027735927,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732717,"Indiana Bell Telephone Company, LLC",0002904654,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732717,Michigan Bell Telephone Company,0002776771,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732717,"The Ohio Bell Telephone Company, LLC",0002946986,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
732717,"Wisconsin Bell, LLC",0002716561,1997-01-01,open,Incumbent Local Exchange Carrier,Yes,"AT&T, Inc.",,,24,2008-05-23..2024-04-14
18926,LCI International Telecom Corp.,,1997-01-01,2001-12-31,Interexchange Carrier (IXC),No,"Qwest Communications International, Inc.",,,5,2013-12-27..2022-03-15
732712,Wisconsin RSA #4 Limited Partnership,0002703890,1997-01-01,2014-12-01,Cellular/PCS/SMR,No,NORTHEAST COMMUNICATIONS OF WISCONSIN INC,,,10,2008-06-27..2024-02-06
732712,Wisconsin RSA #3 Limited Partnership,0002706372,1997-01-01,2009-07-01,Cellular/PCS/SMR,No,ALLTEL Corporation,,,10,2008-06-27..2024-02-06
732712,Brown County MSA Cellular Ltd. Partnership,0002701019,1997-01-01,2014-12-01,Cellular/PCS/SMR,No,NORTHEAST COMMUNICATIONS OF WISCONSIN INC,,,10,2008-06-27..2024-02-06
732712,Wisconsin RSA #10 Limited Partnership,0002698892,1997-01-01,2014-12-01,Cellular/PCS/SMR,No,NORTHEAST COMMUNICATIONS OF WISCONSIN INC,,,10,2008-06-27..2024-02-06
732712,"NSP, LC dba Cellcom",0004335170,1997-01-01,2003-10-15,Cellular/PCS/SMR,No,,,,10,2008-06-27..2024-02-06
