panel,cell,coef,se,t,p,cellN,treatedN,t_orgs,t_parents
i_prior_indicator,main,1.6121,0.9111,1.7694,0.077178,891.0,183.0,49.0,13.0
i_prior_indicator,Q1,7.6515,2.7583,2.774,0.006013,229.0,34.0,14.0,7.0
i_prior_indicator,Q2,2.8621,1.5857,1.805,0.072474,224.0,17.0,8.0,5.0
i_prior_indicator,Q3,-2.0526,2.2877,-0.8972,0.370659,215.0,23.0,11.0,5.0
i_prior_indicator,Q4,-3.5119,1.5401,-2.2803,0.023576,223.0,109.0,32.0,7.0
i_prior_indicator,Q1_minus_Q4_spread,11.1634,,,,,,,
ii_form499_repaired,main,0.0159,0.919,0.0173,0.986211,891.0,180.0,44.0,14.0
ii_form499_repaired,Q1,0.1346,3.0704,0.0438,0.965083,229.0,35.0,14.0,8.0
ii_form499_repaired,Q2,2.8621,1.5857,1.805,0.072474,224.0,17.0,8.0,5.0
ii_form499_repaired,Q3,-3.1904,2.0069,-1.5897,0.113428,215.0,22.0,10.0,5.0
ii_form499_repaired,Q4,-3.7913,1.5536,-2.4402,0.015491,223.0,106.0,27.0,7.0
ii_form499_repaired,Q1_minus_Q4_spread,3.9258,,,,,,,
iii_dedup_sic,main,2.6137,1.8143,1.4406,0.150639,337.0,103.0,35.0,9.0
iii_dedup_sic,Q1,-13.0841,5.7414,-2.2789,0.025407,86.0,2.0,1.0,1.0
iii_dedup_sic,Q2,8.5722,5.6771,1.51,0.135257,84.0,9.0,5.0,2.0
iii_dedup_sic,Q3,8.9088,6.4207,1.3875,0.169453,83.0,29.0,12.0,3.0
iii_dedup_sic,Q4,5.0235,2.7045,1.8575,0.067172,84.0,63.0,22.0,5.0
iii_dedup_sic,Q1_minus_Q4_spread,-18.1076,,,,,,,
iv_dedup_form499,main,3.2593,1.7446,1.8682,0.062629,337.0,104.0,35.0,11.0
iv_dedup_form499,Q1,-13.0841,5.7414,-2.2789,0.025407,86.0,2.0,1.0,1.0
iv_dedup_form499,Q2,6.3451,5.3076,1.1955,0.235662,84.0,14.0,8.0,4.0
iv_dedup_form499,Q3,8.9088,6.4207,1.3875,0.169453,83.0,29.0,12.0,3.0
iv_dedup_form499,Q4,6.5983,2.1461,3.0746,0.00294,84.0,59.0,19.0,5.0
iv_dedup_form499,Q1_minus_Q4_spread,-19.6824,,,,,,,
ii_unrepaired_sensitivity,main,-1.1668,0.9015,-1.2943,0.195897,891.0,165.0,41.0,12.0
ii_unrepaired_sensitivity,Q1,0.1346,3.0704,0.0438,0.965083,229.0,35.0,14.0,8.0
ii_unrepaired_sensitivity,Q2,2.8621,1.5857,1.805,0.072474,224.0,17.0,8.0,5.0
ii_unrepaired_sensitivity,Q3,-3.8349,2.0832,-1.8408,0.067085,215.0,20.0,9.0,4.0
ii_unrepaired_sensitivity,Q4,-6.5684,1.4384,-4.5663,8e-06,223.0,93.0,25.0,5.0
ii_unrepaired_sensitivity,Q1_minus_Q4_spread,6.703,,,,,,,
