organization,source_sic,parent_cik,prior_spec_quartile_mktcap,ln_mktcap_as_found,volatility_change,breach_date
DISH Network Corporation,4841,1001082,1,8.9169,4.3868,2023-02-23
DISH Network L.L.C.,4841,1001082,1,8.9169,3.0151,2023-02-22
"DISH Network, LLC",4841,1001082,1,8.9169,3.0151,2023-02-22
"DISH Network, LLC",4841,1001082,1,8.9169,3.0151,2023-02-22
"DISH Network, LLC",4841,1001082,1,8.9169,4.3868,2023-02-23
"DISH Network, LLC",4841,1001082,1,8.9169,4.3868,2023-02-23
"DISH Network, LLC",4841,1001082,1,8.9169,4.3868,2023-02-23
"DISH Network, LLC",4841,1001082,1,8.5091,18.1023,2023-05-17
Suddenlink Communications,6500,unresolved,1,7.6054,23.3137,2006-05-01
Impact Mobile Home Communities,4833,unresolved,3,10.9944,19.0783,2018-10-03
ATT-SecurityBreach,4813,unresolved,4,12.1127,5.788,2014-04-09
ATT-SecurityBreach2,4813,unresolved,4,12.0928,3.3111,2013-10-01
"Aero Charter, Inc.",4833,unresolved,4,11.7344,-9.0303,2020-12-06
"Charter Next Generation, Inc.",4833,unresolved,4,11.6649,4.7406,2021-05-01
Impact Mobile Home Communities,4833,unresolved,4,11.0564,7.7275,2019-07-01
"Johnson Matthey, Inc.",2834,unresolved,4,12.8584,-0.4379,2020-01-01
WillScot Mobile Mini Holdings Corp.,4833,1647088,4,11.8626,-13.1551,2020-11-10
