cluster,size,leverage,partial_leverage_share,jackknife_coef
1283699,26,0.0536,0.0998,0.1274
1136893,12,0.0573,0.0718,0.0983
1632127,2,0.0112,0.0614,0.1831
1166691,12,0.0215,0.0534,0.1062
20520,4,0.0116,0.052,0.1361
732717,24,0.0712,0.046,0.2583
320193,7,0.0273,0.0459,0.1334
101830,9,0.0167,0.0411,0.0004
1447669,2,0.0127,0.0405,0.1752
1609711,3,0.0218,0.0401,0.1449
1091667,8,0.0384,0.0391,0.1429
18926,5,0.0083,0.0372,0.1536
789019,5,0.0242,0.0354,0.2153
732712,11,0.0209,0.0334,0.1691
47217,5,0.0177,0.0323,0.1247
896878,76,0.1877,0.0218,0.21
1543151,4,0.0143,0.0215,0.1881
1326160,3,0.0056,0.0195,0.1356
908937,15,0.0317,0.0188,0.1305
51143,2,0.0038,0.0115,0.1412
318154,2,0.0057,0.011,0.1399
1140859,3,0.0187,0.0093,0.1419
27904,2,0.0033,0.0089,0.1433
4904,2,0.0026,0.0088,0.1446
815097,2,0.0152,0.0079,0.184
77476,1,0.0068,0.0078,0.1481
12927,1,0.0021,0.0078,0.1418
773840,3,0.0104,0.0078,0.1492
789570,2,0.0023,0.0072,0.1573
1060391,5,0.0143,0.0065,0.1395
858877,2,0.0037,0.0057,0.1704
1808065,2,0.0128,0.0054,0.1445
1590895,1,0.0017,0.005,0.1651
1001250,3,0.003,0.0047,0.1966
924613,1,0.0017,0.0044,0.1428
78003,1,0.0023,0.0042,0.1449
91440,1,0.01,0.0042,0.1434
764180,1,0.0019,0.0042,0.1436
1051470,2,0.0023,0.0035,0.14
315293,1,0.0014,0.0035,0.1493
1041061,1,0.0332,0.0033,0.1528
96021,1,0.0015,0.003,0.144
92380,2,0.0027,0.0027,0.1445
8670,1,0.0011,0.0027,0.1442
1510295,1,0.0011,0.0026,0.1545
1713683,1,0.0051,0.0023,0.1456
926480,1,0.0015,0.0023,0.149
1341439,1,0.0021,0.0023,0.1463
831259,1,0.0012,0.0022,0.1495
1000228,1,0.0087,0.0021,0.1541
860731,1,0.0035,0.0021,0.147
354950,1,0.0014,0.0021,0.1456
1660134,3,0.0164,0.0018,0.1493
40704,1,0.0009,0.0018,0.1466
872589,1,0.004,0.0016,0.1494
1123360,2,0.0042,0.0016,0.1517
75362,1,0.0009,0.0015,0.1493
1428439,3,0.0204,0.0014,0.1254
47111,1,0.0082,0.0013,0.149
1108524,1,0.0027,0.001,0.1393
1137789,1,0.0014,0.0008,0.1593
1535527,2,0.0057,0.0007,0.157
1048911,1,0.0012,0.0007,0.1476
354190,2,0.003,0.0007,0.1468
33185,4,0.0124,0.0006,0.1522
943452,1,0.0019,0.0006,0.1463
1373715,1,0.0012,0.0006,0.1542
73309,1,0.0035,0.0005,0.1482
1564408,1,0.0101,0.0005,0.1462
1501585,1,0.0092,0.0005,0.1488
43196,3,0.0068,0.0004,0.1502
76334,1,0.008,0.0003,0.1478
796343,3,0.0052,0.0003,0.1476
1640147,2,0.005,0.0003,0.1473
91419,1,0.0023,0.0001,0.1487
1058290,1,0.0022,0.0001,0.1486
1553023,1,0.0016,0.0001,0.1482
920522,1,0.0066,0.0,0.1482
823768,1,0.0077,0.0,0.1488
277135,2,0.0028,0.0,0.1483
723254,1,0.0013,0.0,0.1489
