anchor,basis,L,gap,returns,winsor,estimator,n,coef,se,p
notification,trading,21,5,log,raw,"GARCH(1,1)",328,0.0476,0.0681,0.4873
notification,trading,31,1,simple,w199,SD,331,0.0861,0.1664,0.6062
notification,trading,31,1,simple,raw,SD,331,0.0875,0.1701,0.6082
notification,trading,31,1,log,w199,SD,331,0.0883,0.1649,0.5939
notification,trading,42,3,simple,raw,SD,331,0.0908,0.1622,0.5771
notification,trading,31,5,simple,w199,SD,331,0.0922,0.1819,0.6136
notification,calendar,42,3,simple,w199,SD,331,0.0932,0.1721,0.5897
notification,trading,31,5,simple,raw,SD,331,0.0938,0.1855,0.6146
notification,calendar,42,3,log,w199,SD,331,0.0939,0.1699,0.5821
notification,trading,31,0,log,w199,SD,331,0.0945,0.1647,0.5676
notification,trading,31,5,log,w199,SD,331,0.0947,0.1833,0.6067
notification,trading,31,0,simple,w199,SD,331,0.0951,0.1656,0.5674
notification,trading,42,3,log,raw,SD,331,0.0956,0.1631,0.5593
notification,calendar,42,3,simple,raw,SD,331,0.0974,0.1774,0.5845
notification,trading,31,0,simple,raw,SD,331,0.0981,0.1702,0.5659
notification,trading,42,1,simple,raw,SD,331,0.0992,0.1583,0.5327
notification,trading,31,5,log,raw,SD,331,0.0996,0.1853,0.5925
notification,trading,31,1,log,raw,SD,331,0.0998,0.1691,0.5567
notification,trading,31,3,simple,raw,SD,331,0.1005,0.1904,0.5991
notification,trading,31,3,log,w199,SD,331,0.1009,0.1871,0.5911
notification,trading,31,3,simple,w199,SD,331,0.1011,0.1879,0.5921
notification,trading,42,3,simple,w199,SD,331,0.1011,0.1483,0.4977
notification,trading,42,3,log,w199,SD,331,0.1058,0.1517,0.4875
notification,trading,31,3,log,raw,SD,331,0.1061,0.1903,0.5789
notification,trading,31,0,log,raw,SD,331,0.1068,0.1696,0.5306
notification,calendar,42,3,log,raw,SD,331,0.1073,0.176,0.5438
notification,trading,42,5,simple,raw,SD,331,0.1079,0.1618,0.5068
notification,trading,42,1,log,raw,SD,331,0.1079,0.1586,0.4985
notification,trading,42,0,simple,raw,SD,331,0.1097,0.1581,0.4898
notification,trading,42,1,simple,w199,SD,331,0.1118,0.1445,0.4413
notification,trading,42,5,log,raw,SD,331,0.1143,0.1621,0.4827
notification,trading,42,5,simple,w199,SD,331,0.1176,0.1459,0.4225
notification,trading,42,0,log,raw,SD,331,0.1177,0.1586,0.4602
notification,trading,42,1,log,w199,SD,331,0.1192,0.1484,0.4241
notification,calendar,42,5,log,w199,SD,331,0.1206,0.1761,0.4955
notification,calendar,31,3,log,w199,SD,331,0.1214,0.1847,0.5129
notification,calendar,42,5,simple,w199,SD,331,0.1218,0.1778,0.4953
notification,trading,42,0,simple,w199,SD,331,0.1219,0.144,0.3998
notification,calendar,42,5,simple,raw,SD,331,0.1233,0.182,0.4998
notification,trading,42,5,log,w199,SD,331,0.1246,0.1491,0.4059
notification,trading,21,5,log,w199,SD,331,0.1265,0.1913,0.5103
notification,trading,42,0,log,w199,SD,331,0.1283,0.1481,0.3888
notification,calendar,31,3,simple,w199,SD,331,0.1283,0.1873,0.4952
breach,calendar,31,3,log,w199,SD,331,0.1308,0.1431,0.3635
notification,calendar,42,5,log,raw,SD,331,0.132,0.181,0.4681
breach,trading,42,3,log,w199,SD,331,0.133,0.1147,0.2495
breach,trading,42,3,simple,w199,SD,331,0.1341,0.1134,0.2407
notification,trading,21,3,log,w199,SD,331,0.1341,0.1891,0.4804
notification,calendar,31,3,log,raw,SD,331,0.1345,0.1968,0.4962
notification,trading,21,5,simple,w199,SD,331,0.1355,0.1931,0.485
breach,trading,42,0,log,w199,SD,331,0.1371,0.1216,0.263
notification,calendar,31,3,simple,raw,SD,331,0.1388,0.1977,0.4847
breach,calendar,31,3,simple,w199,SD,331,0.1399,0.1404,0.3221
breach,trading,42,0,simple,w199,SD,331,0.14,0.1207,0.2495
notification,calendar,42,1,simple,w199,SD,331,0.1422,0.1673,0.3981
notification,trading,21,3,simple,w199,SD,331,0.1425,0.1906,0.4568
notification,calendar,42,1,log,w199,SD,331,0.1426,0.1663,0.3935
notification,trading,21,3,log,raw,SD,331,0.1465,0.2007,0.4677
notification,trading,21,5,log,raw,SD,331,0.1486,0.2021,0.4643
breach,trading,42,1,log,w199,SD,331,0.1513,0.1237,0.2249
notification,trading,21,3,simple,raw,SD,331,0.1526,0.2019,0.452
notification,calendar,42,1,simple,raw,SD,331,0.1528,0.1728,0.3794
breach,trading,42,3,log,raw,SD,331,0.153,0.1265,0.23
breach,calendar,31,3,log,raw,SD,331,0.1532,0.157,0.3322
breach,trading,42,1,simple,w199,SD,331,0.155,0.1235,0.2133
breach,trading,31,5,simple,w199,SD,331,0.1558,0.1422,0.2766
notification,calendar,42,1,log,raw,SD,331,0.1561,0.1735,0.371
notification,trading,21,1,log,w199,SD,331,0.1561,0.1787,0.3851
notification,trading,21,5,simple,raw,SD,331,0.1575,0.2041,0.4424
breach,trading,42,0,log,raw,SD,331,0.1576,0.1324,0.2372
notification,trading,21,1,simple,w199,SD,331,0.158,0.1792,0.3807
breach,trading,21,3,simple,w199,SD,331,0.1607,0.1363,0.2417
notification,calendar,42,0,simple,w199,SD,331,0.162,0.1646,0.3279
notification,calendar,42,0,log,w199,SD,331,0.1626,0.1646,0.3263
breach,trading,31,3,simple,w199,SD,331,0.1628,0.1244,0.1946
breach,trading,21,3,log,w199,SD,331,0.1628,0.141,0.2518
breach,trading,42,3,simple,raw,SD,331,0.1635,0.1334,0.224
breach,trading,31,5,log,w199,SD,331,0.1659,0.1444,0.254
breach,trading,42,0,simple,raw,SD,331,0.1661,0.138,0.2322
notification,calendar,31,5,log,w199,SD,331,0.167,0.1848,0.3689
notification,trading,21,1,log,raw,SD,331,0.1686,0.1882,0.3732
breach,calendar,31,3,simple,raw,SD,331,0.1686,0.1604,0.2966
breach,trading,42,1,log,raw,SD,331,0.1688,0.1342,0.2122
breach,trading,31,1,log,w199,SD,331,0.1688,0.1321,0.2049
breach,calendar,42,3,log,w199,SD,331,0.1701,0.1303,0.1955
breach,trading,21,1,log,w199,SD,331,0.1702,0.1423,0.2353
notification,trading,21,1,simple,raw,SD,331,0.1703,0.1889,0.3699
breach,calendar,42,3,log,raw,SD,331,0.1706,0.146,0.2461
breach,trading,31,3,log,w199,SD,331,0.1723,0.1295,0.187
breach,calendar,21,1,log,w199,SD,331,0.1725,0.1656,0.3009
breach,trading,31,1,log,raw,SD,331,0.1727,0.1463,0.2414
notification,calendar,31,5,simple,w199,SD,331,0.174,0.1855,0.3512
notification,calendar,31,1,log,w199,SD,331,0.1741,0.1803,0.3372
notification,calendar,42,0,simple,raw,SD,331,0.1751,0.1711,0.3093
breach,trading,31,5,log,raw,SD,331,0.1757,0.1568,0.2656
breach,calendar,21,1,simple,w199,SD,331,0.1763,0.1622,0.2805
breach,trading,21,5,simple,w199,SD,331,0.1774,0.1446,0.2235
notification,calendar,42,0,log,raw,SD,331,0.1774,0.1721,0.3055
breach,trading,31,1,simple,w199,SD,331,0.1775,0.1324,0.1838
breach,trading,31,0,log,w199,SD,331,0.1776,0.1314,0.1802
breach,trading,42,5,log,w199,SD,331,0.1781,0.1306,0.1766
breach,trading,21,1,simple,w199,SD,331,0.1785,0.1426,0.2145
breach,trading,42,1,simple,raw,SD,331,0.1786,0.1406,0.2077
breach,trading,31,1,simple,raw,SD,331,0.1789,0.1521,0.2427
breach,trading,42,5,simple,w199,SD,331,0.1791,0.1309,0.1749
notification,calendar,31,1,simple,w199,SD,331,0.1792,0.1808,0.3245
breach,calendar,42,3,simple,raw,SD,331,0.1796,0.1538,0.2465
breach,calendar,42,3,simple,w199,SD,331,0.1811,0.1301,0.1676
breach,trading,31,0,log,raw,SD,331,0.1824,0.1459,0.2149
breach,trading,21,5,log,w199,SD,331,0.1842,0.1507,0.2252
breach,trading,31,5,simple,raw,SD,331,0.1842,0.1646,0.2666
breach,trading,21,3,log,raw,SD,331,0.1851,0.1544,0.2341
notification,calendar,31,5,log,raw,SD,331,0.1856,0.1962,0.3472
breach,trading,31,0,simple,w199,SD,331,0.1873,0.132,0.1597
breach,calendar,42,5,simple,w199,SD,331,0.1877,0.1366,0.1733
breach,trading,31,3,log,raw,SD,331,0.1877,0.1433,0.1942
breach,trading,21,1,log,raw,SD,331,0.1887,0.1594,0.24
breach,trading,31,0,simple,raw,SD,331,0.1893,0.1516,0.2153
notification,calendar,31,1,log,raw,SD,331,0.1901,0.192,0.3251
notification,calendar,31,5,simple,raw,SD,331,0.1913,0.1965,0.3331
notification,calendar,31,0,log,w199,SD,331,0.1914,0.1647,0.2486
breach,calendar,42,5,log,w199,SD,331,0.1936,0.1407,0.1727
breach,calendar,31,5,log,w199,SD,331,0.1936,0.144,0.1825
breach,calendar,31,5,simple,w199,SD,331,0.1939,0.1401,0.17
notification,calendar,31,1,simple,raw,SD,331,0.1949,0.1928,0.3153
breach,calendar,21,0,log,w199,SD,331,0.195,0.1662,0.2441
breach,calendar,21,0,simple,w199,SD,331,0.1962,0.1607,0.2257
breach,calendar,42,1,log,w199,SD,331,0.1971,0.1309,0.1361
breach,trading,21,1,simple,raw,SD,331,0.199,0.1624,0.2239
breach,trading,21,3,simple,raw,SD,331,0.1992,0.1586,0.2128
notification,calendar,31,0,log,raw,SD,331,0.1994,0.1748,0.2576
breach,trading,42,5,log,raw,SD,331,0.1996,0.1389,0.1545
breach,trading,31,3,simple,raw,SD,331,0.2002,0.1524,0.1928
breach,calendar,42,0,log,w199,SD,331,0.2003,0.13,0.1274
notification,calendar,31,0,simple,w199,SD,331,0.2006,0.1696,0.2405
breach,calendar,31,0,log,w199,SD,331,0.2032,0.1304,0.1231
breach,calendar,21,1,log,raw,SD,331,0.2038,0.1841,0.2716
breach,calendar,31,1,log,w199,SD,331,0.204,0.136,0.1376
notification,calendar,31,0,simple,raw,SD,331,0.2063,0.1769,0.247
breach,trading,42,5,simple,raw,SD,331,0.2077,0.1455,0.1571
breach,calendar,42,5,log,raw,SD,331,0.2079,0.1555,0.1851
breach,calendar,31,0,simple,w199,SD,331,0.2093,0.1284,0.107
