variable,mean_treated,sd_treated,mean_control,sd_control,mean_pooled,sd_pooled,n_treated,n_control
e2_vol_change,0.006,1.0884,-0.0402,1.1012,-0.026,1.0958,102,229
e2_pre_sd,1.708,1.1625,1.6878,1.0541,1.694,1.0869,102,229
e2_post_sd,1.7139,1.0427,1.6476,1.0222,1.668,1.0274,102,229
disclosure_delay_days,100.049,254.4334,71.0961,125.5262,80.0181,175.7243,102,229
delay_w,83.3745,161.0944,70.3424,120.5801,74.3583,134.2555,102,229
firm_size_log,11.6238,1.2359,9.6211,1.3676,10.2382,1.6178,102,229
leverage,0.723,0.1648,0.6412,0.2176,0.6664,0.2061,102,229
roa,0.0239,0.0474,0.0771,0.1238,0.0607,0.109,102,229
health_breach,0.0,0.0,0.0655,0.248,0.0453,0.2083,102,229
prior_events,10.2157,9.1366,13.9039,21.1154,12.7674,18.3441,102,229
