anchor,basis,L,gap,q1,q2,q3,q4,q1_gt_q4,monotone_down
notification,trading,21,0,-0.815,0.324,0.709,0.394,False,False
notification,trading,21,1,-1.108,0.339,0.718,0.352,False,False
notification,trading,21,3,-0.947,0.37,0.738,0.301,False,False
notification,trading,21,5,-1.0,0.322,0.703,0.301,False,False
notification,trading,31,0,-0.746,0.339,0.506,0.252,False,False
notification,trading,31,1,-1.007,0.254,0.48,0.25,False,False
notification,trading,31,3,-0.991,0.257,0.58,0.211,False,False
notification,trading,31,5,-1.0,0.335,0.456,0.13,False,False
notification,trading,42,0,-0.675,0.322,0.413,0.142,False,False
notification,trading,42,1,-0.861,0.359,0.408,0.131,False,False
notification,trading,42,3,-0.776,0.304,0.459,0.105,False,False
notification,trading,42,5,-0.845,0.286,0.478,0.111,False,False
notification,calendar,21,0,-0.604,0.311,0.898,0.458,False,False
notification,calendar,21,1,-1.164,0.415,0.907,0.42,False,False
notification,calendar,21,3,-1.158,0.36,0.839,0.418,False,False
notification,calendar,21,5,-1.129,0.502,0.882,0.339,False,False
notification,calendar,31,0,-0.792,0.279,0.687,0.379,False,False
notification,calendar,31,1,-1.172,0.352,0.717,0.379,False,False
notification,calendar,31,3,-1.004,0.272,0.683,0.315,False,False
notification,calendar,31,5,-0.907,0.393,0.759,0.308,False,False
notification,calendar,42,0,-0.771,0.37,0.671,0.277,False,False
notification,calendar,42,1,-1.024,0.428,0.648,0.269,False,False
notification,calendar,42,3,-1.008,0.251,0.504,0.236,False,False
notification,calendar,42,5,-0.985,0.281,0.562,0.215,False,False
breach,trading,21,0,-0.923,0.472,0.435,0.347,False,False
breach,trading,21,1,-1.077,0.458,0.411,0.338,False,False
breach,trading,21,3,-0.97,0.431,0.426,0.351,False,False
breach,trading,21,5,-0.947,0.397,0.526,0.37,False,False
breach,trading,31,0,-0.846,0.428,0.466,0.359,False,False
breach,trading,31,1,-1.002,0.413,0.499,0.325,False,False
breach,trading,31,3,-0.983,0.383,0.483,0.328,False,False
breach,trading,31,5,-1.018,0.368,0.426,0.231,False,False
breach,trading,42,0,-0.695,0.345,0.316,0.278,False,False
breach,trading,42,1,-0.77,0.44,0.309,0.274,False,False
breach,trading,42,3,-0.757,0.412,0.219,0.278,False,False
breach,trading,42,5,-0.856,0.488,0.33,0.282,False,False
breach,calendar,21,0,-0.916,0.305,0.661,0.302,False,False
breach,calendar,21,1,-1.228,0.273,0.632,0.25,False,False
breach,calendar,21,3,-1.236,0.464,0.542,0.286,False,False
breach,calendar,21,5,-1.1,0.654,0.566,0.364,False,False
breach,calendar,31,0,-0.897,0.437,0.444,0.343,False,False
breach,calendar,31,1,-1.077,0.47,0.445,0.374,False,False
breach,calendar,31,3,-0.984,0.342,0.388,0.334,False,False
breach,calendar,31,5,-0.925,0.405,0.496,0.37,False,False
breach,calendar,42,0,-0.773,0.475,0.484,0.347,False,False
breach,calendar,42,1,-0.911,0.491,0.489,0.355,False,False
breach,calendar,42,3,-0.979,0.421,0.429,0.321,False,False
breach,calendar,42,5,-0.97,0.444,0.54,0.337,False,False
