year,days,pct_valid,pct_crossed,pct_open
2006,5084,93.3,6.7,100.0
2007,15908,98.0,2.0,100.0
2008,16192,97.2,2.8,100.0
2009,15941,95.2,4.8,100.0
2010,15953,98.7,1.3,100.0
2011,16446,99.2,0.8,100.0
2012,16626,99.4,0.6,100.0
2013,17123,99.5,0.5,100.0
2014,17207,99.6,0.4,100.0
2015,17707,99.8,0.2,100.0
2016,18025,99.9,0.1,100.0
2017,18533,99.9,0.1,100.0
2018,19025,99.8,0.2,100.0
2019,19456,99.8,0.2,100.0
2020,19618,99.9,0.1,100.0
2021,19825,100.0,0.0,100.0
2022,19635,99.9,0.1,100.0
2023,19500,99.9,0.1,100.0
2024,19656,99.8,0.2,100.0
