label,coef,se,t,df,p,n,model,r2,df_model
M1 timing + pre-vol :: delay_w,1.6561559363083917e-05,0.00026769912008692704,0.06186631976117837,330.0,0.9507067417054608,333,M1 timing + pre-vol,0.2948,2
M1 timing + pre-vol :: e2_pre_sd,-0.534955655529296,0.06608193192328987,-8.095339224499225,330.0,1.111044476835722e-14,333,M1 timing + pre-vol,0.2948,2
M2 + financial controls :: delay_w,3.4391925930066706e-06,0.0002713210840246704,0.012675729220859059,327.0,0.9898942320805709,333,M2 + financial controls,0.2996,5
M2 + financial controls :: e2_pre_sd,-0.5580721583529885,0.06591330851803934,-8.466759913898933,327.0,8.639580241845736e-16,333,M2 + financial controls,0.2996,5
M2 + financial controls :: firm_size_log,-0.021750457620348083,0.027461556741556967,-0.7920329435451704,327.0,0.4289156501016905,333,M2 + financial controls,0.2996,5
M2 + financial controls :: leverage,-0.19274122457166343,0.19572195352219884,-0.9847705947294393,327.0,0.32546483424128747,333,M2 + financial controls,0.2996,5
M2 + financial controls :: roa,-0.6257120035398437,0.5276595276501156,-1.185825273214332,327.0,0.23655225382957146,333,M2 + financial controls,0.2996,5
M3 + treatment :: delay_w,5.82550824529525e-06,0.00027851493684693347,0.02091632251844661,326.0,0.9833252020234844,333,M3 + treatment,0.3033,6
M3 + treatment :: e2_pre_sd,-0.5653758025279236,0.06524286809217855,-8.665710430282296,326.0,2.1305712618122078e-16,333,M3 + treatment,0.3033,6
M3 + treatment :: firm_size_log,-0.05078946252188303,0.030396315375966727,-1.6709085260393248,326.0,0.09569941698433371,333,M3 + treatment,0.3033,6
M3 + treatment :: leverage,-0.2542082109255035,0.20512825424072317,-1.2392647315526986,326.0,0.2161389115288326,333,M3 + treatment,0.3033,6
M3 + treatment :: roa,-0.5887258937653063,0.5312953170962366,-1.108095394070012,326.0,0.2686374810481889,333,M3 + treatment,0.3033,6
M3 + treatment :: fcc_form499,0.18085690252830686,0.12762291284200783,1.4171193753601332,326.0,0.1574029878104183,333,M3 + treatment,0.3033,6
M4 + breach controls (HEADLINE) :: delay_w,-8.076020088818243e-06,0.0003045200654339906,-0.02652048585799626,324.0,0.9788585207845543,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: e2_pre_sd,-0.5658046858729531,0.06602882969316418,-8.56905519153143,324.0,4.3214775164338323e-16,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: firm_size_log,-0.053023484107819624,0.0312016351084178,-1.699381584445059,324.0,0.09020712631420781,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: leverage,-0.26723187999986786,0.18985381256272127,-1.4075665713143553,324.0,0.1602181014757772,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: roa,-0.5066172528215157,0.5445884035761832,-0.9302755062257662,324.0,0.35292105419887543,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: fcc_form499,0.186274392533712,0.1345727700326075,1.3841908172699202,324.0,0.16725269026836914,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: health_breach,-0.006179259001906758,0.14218489540452814,-0.043459320937897374,324.0,0.9653621617074107,333,M4 + breach controls (HEADLINE),0.3035,8
M4 + breach controls (HEADLINE) :: prior_events,-0.0010863361034751924,0.004486381328246734,-0.24214083110490514,324.0,0.8088242343880673,333,M4 + breach controls (HEADLINE),0.3035,8
