final_cik,breach_date,org_name,name_variants,n_source_records,breach_type,multi_type,total_affected_max,multi_filing,incident_details,reported_date,end_breach_date,information_affected,organization_type,final_grade,final_evidence,chain_note,fcc_form499,treatment_evidence,car_5d,car_30d,bhar_5d,bhar_30d,return_volatility_pre,return_volatility_post,volume_volatility_pre,volume_volatility_post,volatility_change,permno,matched_ticker,permno_match,has_crsp_data,firm_size_log,leverage,roa,op_margin,prior_breaches_total,prior_breaches_1yr,disclosure_delay_days,delay_invalid,delay_recoded,immediate_disclosure,health_breach,executive_change_30d,executive_change_90d,executive_change_180d,days_to_first_item_5_02,bdt,rdt,e2_pre_sd,e2_post_sd,e2_vol_change,e2_anchor_year,e2_n_pre,e2_n_post,e2_anchor_found,sich,sic2,prior_records_oldstyle,delay_w,prior_events,size_q,year,garch_dv,beta,raw_pre,abn_pre,raw_post,abn_post,raw_d1,abn_d1,raw_d2,abn_d2,raw_ann,abn_ann,mkt_pre,mkt_post,abn_dv,raw_dv,mkt_dv,log_vr,emonth,abn_dv_d1,abn_dv_d2
4904,2018-12-09,American Electric Power,American Electric Power,1,HACK,False,2,False,"The Indiana Office of the Attorney General reported a data breach involving American Electric Power on April 26, 2019. The breach occurred on December 9, 2018, affecting a total of 4,197 individuals, with 1 resident specifically noted as affected.",2019-04-26 00:00:00,2018-12-09 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-A (AEP),,0,,1.0035,-3.0322,0.9479,-2.9428,14.7453,22.7721,615859.28,1023290.21,8.0268,24109.0,AEP,window,1,11.078,0.7169,0.0295,0.3519,0,0,138.0,0,0,0.0,0,0,0,0,,2018-12-09,2019-04-26,0.840681,1.052274,0.2115929999999999,2019.0,21,21,True,4911.0,49,0,138.0,0.0,Q3,2019,0.0301422811959503,0.03637534124733791,0.8398727144491542,0.8447704224805669,1.0545972099743648,1.0615004691529868,1.14623959225242,1.1339959693552693,1.0868374598319797,1.0862757827688732,0.8523128694910103,0.8482383972124375,0.6707005088853352,0.9102210670517145,0.2167300466724199,0.21472449552521056,0.2395205581663793,0.45674764408823776,2019-04,-0.07249550020228246,-0.024775313615886363
4904,2019-02-18,American Electric Power,American Electric Power,1,HACK,False,70000000,False,"The Montana Department of Justice reported a data breach involving American Electric Power on April 26, 2019. The breach occurred on February 18, 2019, when an unauthorized individual accessed an email account belonging to a Coates Field Service employee, potentially exposing personal information of 2 individuals.",2019-04-26 00:00:00,2019-02-18 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-A (AEP),,0,,0.7452,1.811,0.7366,1.8563,14.1913,9.7772,778296.57,1715548.81,-4.4141,24109.0,AEP,window,1,11.139,0.7214,0.028,0.3103,1,1,67.0,0,0,0.0,0,0,0,0,,2019-02-18,2019-04-26,0.840681,1.052274,0.2115929999999999,2019.0,21,21,True,4911.0,49,1,67.0,1.0,Q3,2019,0.0301422811959503,0.03637534124733791,0.8398727144491542,0.8447704224805669,1.0545972099743648,1.0615004691529868,1.14623959225242,1.1339959693552693,1.0868374598319797,1.0862757827688732,0.8523128694910103,0.8482383972124375,0.6707005088853352,0.9102210670517145,0.2167300466724199,0.21472449552521056,0.2395205581663793,0.45674764408823776,2019-04,-0.07249550020228246,-0.024775313615886363
8670,2013-04-29,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",1,DISC,False,680,False,"The New Hampshire Office of the Attorney General reported a data breach involving Automatic Data Processing (ADP) on June 4, 2013. The breach, discovered on April 29, 2013, affected the personal information of 680 New Hampshire residents, including names and Social Security numbers, due to a coding error in payroll tax PDF files. ADP has initiated notification to affected individuals and is offering credit monitoring services.",2013-06-04 00:00:00,2013-05-04 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: AUTOMATIC DATA PROCESSING INC,,0,,0.8128,-0.2057,0.8035,-0.3089,14.9991,17.1529,432373.76,507433.11,2.1538,44644.0,ADP,window,1,10.3358,0.8016,0.0451,0.214,0,0,36.0,0,0,0.0,0,0,0,1,100.0,2013-04-29,2013-06-04,1.064501,0.790806,-0.2736949999999999,2013.0,21,21,True,7374.0,73,0,36.0,0.0,Q3,2013,-0.0584382556521072,0.9464401003569031,1.0702756649129055,0.8548014363180907,0.7916633952213108,0.5326419945745083,0.9056894239353882,0.6069359836889734,0.9443432440559045,0.5997736483100596,1.0996872552887227,0.44633281227006205,0.6017441288613025,1.0041722370286121,-0.32215944174358235,-0.2786122696915947,0.4024281081673097,-0.9460393704516439,2013-06,-0.07429398911446505,-0.0671316537355513
12927,2016-11-21,The Boeing Company,The Boeing Company,1,INSD,False,36000,False,"The New Hampshire Attorney General reported a data breach involving The Boeing Company on February 9, 2017. The breach, discovered on January 9, 2017, involved an employee inadvertently sending personal information of approximately 36,000 employees to his non-Boeing spouse on November 21, 2016. Four residents of New Hampshire were specifically affected, with the compromised data including names, social security numbers, and dates of birth.",2017-02-09 00:00:00,2017-01-09 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""First name"""",""""Last name"""",""""Place of birth"""",""""Employee ID (BEMSID)""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Employee ID (BEMSID)"""",""""Accounting department codes""""]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social security number"""",""""Date of birth""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: BOEING CO,,0,,2.5333,3.8354,2.5742,4.037,20.8137,11.6641,2305636.87,1131075.5,-9.1496,19561.0,BA,window,1,11.4554,0.9322,0.0548,0.0917,0,0,80.0,0,0,0.0,0,0,0,0,,2016-11-21,2017-02-09,1.232809,0.816777,-0.416032,2017.0,21,21,True,3721.0,37,0,80.0,0.0,Q3,2017,-0.0598274167876999,1.0544059875062965,1.2465268050142553,0.9836337407754211,0.8204300747024029,0.741881875534571,1.1817007768697814,0.8767432888875079,1.258140486559193,0.9591710593364741,0.700398522271428,0.8737373670284798,0.41822339661500346,0.48209047505925395,-0.24175186524085013,-0.42609673031185236,0.06386707844425049,-0.5641271600053784,2017-02,-0.1348614133529369,-0.2172891838019031
18926,2013-12-27,CenturyLink,CenturyLink,1,HACK,False,605,False,"The Indiana Office of the Attorney General reported that CenturyLink experienced a data breach on December 27, 2013, affecting a total of 75 individuals. The breach was reported on May 28, 2014.",2014-05-28 00:00:00,2013-12-27 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC,,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),0.151,-6.101,0.151,-5.925,16.5426,8.7974,2013965.21,1967793.57,-7.7452,60599.0,CTL,window,1,10.8971,0.6429,0.0144,0.4166,0,0,152.0,0,0,0.0,0,0,0,1,157.0,2013-12-27,2014-05-28,1.488804,0.876635,-0.612169,2014.0,21,21,True,4813.0,48,0,152.0,0.0,Q3,2014,-2.7395419266440516e-11,0.8415938869487302,1.5269102904698941,1.6117356420184858,0.87586022835784,0.8740798470572471,1.0656805076846516,0.8691771135682458,1.1776062405254049,1.013345534238232,0.7180935560759322,0.9284214697895289,0.5367689993088718,0.37573102961965704,-0.7376557949612388,-0.6510500621120541,-0.16103796968921474,-1.223790372322728,2014-05,0.004902733489001276,-0.13926568718098498
18926,2017-01-30,CenturyLink,CenturyLink,2,HACK,False,890,True,"The New Hampshire Department of Justice reported on February 24, 2017, that CenturyLink experienced a data breach involving the potential exposure of personal information of two New Hampshire residents. The breach was detected on February 1, 2017, and was linked to a phishing attack that compromised an employee's email account, potentially exposing names, addresses, Social Security Numbers, and dates of birth.",2017-02-20 00:00:00,2017-02-01 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Name"""",""""Address"""",""""Social Security Number"""",""""Date of birth""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security Number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC,,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-3.5148,-10.5819,-3.4746,-10.4291,23.3201,14.0415,2689540.97,3019392.04,-9.2786,60599.0,CTL,window,1,10.7583,0.715,0.0133,0.3736,1,0,21.0,0,0,0.0,0,1,1,1,24.0,2017-01-30,2017-02-20,0.858893,1.396222,0.5373290000000001,2017.0,21,21,True,4813.0,48,1,21.0,1.0,Q3,2017,0.1936759093904922,1.033713446840536,0.8567439176767994,0.9191672990177424,1.392217236144937,1.1628157764263327,2.6172054729217966,2.5428871888062825,1.914339472056909,1.7602774958393834,0.7244830032129425,0.6841983177121808,0.42410021799659803,0.5746862044794947,0.2436484774085903,0.5354733184681376,0.15058598648289667,0.4702631715803928,2017-02,-1.3800714123799498,-0.5974617194130507
18926,2017-02-28,CenturyLink,CenturyLink,1,HACK,False,12,False,"The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving CenturyLink on February 28, 2017. The breach affected 27 residents and involved the compromise of electronic records containing Social Security Numbers (SSN).",2017-02-28 00:00:00,2017-02-28 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Social Security number""""]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC,,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-6.2067,4.1043,-6.0613,3.917,13.171,23.6414,2170844.54,4074202.53,10.4704,60599.0,CTL,window,1,10.7583,0.715,0.0133,0.3736,2,1,0.0,0,0,1.0,0,0,0,1,93.0,2017-02-28,2017-02-28,0.915345,1.419512,0.5041670000000001,2017.0,21,21,True,4813.0,48,3,0.0,2.0,Q3,2017,0.2008696582501126,1.0529408915158298,0.914543627978562,0.9023330441368691,1.4185510008120124,1.2792903701100078,2.6511795178358537,2.5789488089458343,1.9086732562594886,1.7525683283750741,1.1082000733170885,0.6768166657943915,0.40929618673546236,0.45793762472945715,0.3769573259731387,0.5040073728334503,0.048641437993994785,0.6981542487577196,2017-02,-1.2996584388358265,-0.47327795826506636
18926,2020-08-20,CenturyLink Communications,CenturyLink Communications,2,HACK,False,1942,True,"The Maine Office of the Attorney General reported a data breach involving CenturyLink Communications, with the breach occurring between August 20 and August 31, 2020. Approximately 1,942 accounts were affected due to a sophisticated password guessing attack on the MyCenturyLink customer account website, potentially exposing usernames, email addresses, first and last names, service and billing addresses, and other related information. Written notifications were sent to customers starting September 21, 2020, with all letters mailed by September 25, 2020.",2020-09-25 00:00:00,2020-08-31 00:00:00,"{""""Encryption Status"""":""""Unencrypted"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Username"""",""""Password"""",""""Email address"""",""""First name"""",""""Last name"""",""""Service Address"""",""""Billing Address"""",""""Security Question (answer masked and not visible)""""]},""""Protected Classification Characteristics"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""Yes"""",""""Examples"""":[""""Services subscribed to"""",""""Billing records (up to 12-18 months)"""",""""Billing preferences (paper or paperless)"""",""""Current products / services"""",""""Qualified upgrades"""",""""Recent Order activity"""",""""Payment History"""",""""Payment preference (autopay or one-time)"""",""""Last 4-digits of payment instrument on file"""",""""List of accounts associated to the username"""",""""Voice mail""""]},""""Biometric Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""No"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""No"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-G rescue: CenturyLink/Lumen parent (Form 499 relevant carrier) (ticker LUMN -> CIK 18926),,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-2.1486,-9.9072,-2.2989,-9.2095,36.7055,28.3509,6088911.66,1750736.89,-8.3546,60599.0,CTL,window,1,11.0782,0.7919,-0.0814,0.3843,3,0,36.0,0,0,0.0,0,0,0,1,153.0,2020-08-20,2020-09-25,2.027438,1.136526,-0.8909120000000001,2020.0,21,21,True,4813.0,48,4,36.0,3.0,Q3,2020,-0.4026189311038828,1.0971372131561805,2.0042530751237124,1.5846455748478667,1.1360249770896012,1.177570634368782,2.926729939161012,1.8165706191664768,3.540635903821986,2.5011193478092313,1.235639487382051,0.8579361747651637,1.310717031809761,1.2560984291125625,-0.40707494047908477,-0.8682280980341113,-0.054618602697198426,-0.5938144768131703,2020-09,-0.6389999847976948,-1.3235487134404493
18926,2022-03-15,Centurylink Communications,Centurylink Communications,1,HACK,False,7,False,"The Indiana Office of the Attorney General reported a data breach involving Centurylink Communications on April 21, 2022. The breach occurred on March 15, 2022, and affected a total of 119 individuals, with 3 residents specifically noted as affected.",2022-04-21 00:00:00,2022-03-15 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED-GATE1,Gate1-G rescue: CenturyLink/Lumen parent (Form 499 relevant carrier) (ticker LUMN -> CIK 18926),,1,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),-5.7311,-2.7318,-6.0024,-2.9871,60.0704,23.2535,12549999.88,3819109.87,-36.8169,60599.0,LUMN,window,1,10.9681,0.7958,0.0351,0.422,4,0,37.0,0,0,0.0,0,1,1,1,13.0,2022-03-15,2022-04-21,1.498708,2.920143,1.421435,2022.0,21,21,True,4813.0,48,6,37.0,4.0,Q3,2022,2.8711300004147233e-10,1.1299295524574122,1.5145769551264143,1.6072558941069663,2.941804261438726,2.971478988189818,2.623337286237917,2.4916806401070883,2.1718287075237717,2.032023573272969,2.5496137065794455,2.024928154129584,1.1659058608979502,2.109763445383437,1.3642230940828515,1.4272273063123118,0.9438575844854866,1.2290629869089884,2022-04,0.4797983480827295,0.939455414916849
20520,2022-02-24,Frontier Communications,Frontier Communications,1,HACK,False,9,False,"The Indiana Office of the Attorney General reported on May 4, 2022, that Frontier Communications experienced a data breach on February 24, 2022, affecting 297 individuals in total, including 35 residents.",2022-05-04 00:00:00,2022-02-24 00:00:00,"{""""Encryption Status"""":""""UNKN"""",""""Categories Affected"""":{""""Personal Identifiers"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Protected Classification Characteristics"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Commercial Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Biometric Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Internet or Network Activity"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Geolocation Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensory Data"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Professional or Employment-Related Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Education Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Inferences Drawn from Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Sensitive Personal Information"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]},""""Customer Records"""":{""""Affected"""":""""UNKN"""",""""Examples"""":[]}}}",BSO,VERIFIED,EDGAR name: CITIZENS COMMUNICATIONS CO,,1,Clause (b): parent of regional Form 499 filer subsidiaries (7/28),0.6943,6.9442,0.6097,6.8017,39.2977,44.9762,282832.61,403491.23,5.6785,21297.0,FYBR,window,1,9.71,0.7209,0.3006,0.3708,0,0,69.0,0,0,0.0,0,0,0,1,120.0,2022-02-24,2022-05-04,1.790875,3.046546,1.2556710000000002,2022.0,21,21,True,4813.0,48,0,69.0,0.0,Q2,2022,0.3943959522259459,0.8266090926054602,1.7912105265115306,1.2584841140088117,3.075177777238098,2.29626448969573,2.529699501138447,2.396568791523467,2.177046729736575,2.0586673176157273,3.0690548765051435,2.369510964551328,1.2607452576041793,1.7154062784491775,1.0377803756869184,1.2839672507265674,0.45466102084499815,1.2027515102531536,2022-05,-0.10030430182773697,0.23759717208000275
