reported,eightk_within_10d
2014-01-02,"2014-01-06 [1.01,7.01,9.01]; 2014-01-08 [7.01,9.01]"
2015-10-01,none
2015-10-01,none
2015-11-04,"2015-10-27 [2.02,9.01]; 2015-10-29 [8.01]; 2015-11-05 [1.01,2.03,8.01,9.01]; 2015-11-12 [1.01,2.03,9.01]"
2017-06-09,2017-06-13 [5.07]
2017-09-14,"2017-09-19 [2.03,9.01]"
2017-10-02,none
2018-08-23,none
2020-03-02,"2020-03-12 [5.02,7.01,9.01]"
2020-04-02,"2020-03-25 [5.02,9.01]; 2020-04-01 [1.01,1.02,2.01,2.03,3.03,5.02,5.03,7.01,9.01]; 2020-04-01 [7.01,8.01,9.01]"
2020-04-15,"2020-04-13 [1.01,1.02,2.03,9.01]; 2020-04-16 [5.02]; 2020-04-17 [9.01]; 2020-04-24 [5.02]"
2020-12-08,none
2020-10-09,"2020-10-06 [1.01,2.03,9.01]"
2021-02-09,"2021-02-02 [7.01]; 2021-02-04 [2.02,9.01]"
2021-03-16,"2021-03-10 [5.02]; 2021-03-11 [7.01,9.01]; 2021-03-16 [8.01,9.01]; 2021-03-23 [1.01,2.03,8.01,9.01]"
2021-03-31,"2021-03-23 [1.01,2.03,8.01,9.01]"
2021-08-16,"2021-08-13 [1.01,2.03,8.01,9.01]; 2021-08-16 [7.01]; 2021-08-18 [7.01,9.01]; 2021-08-20 [7.01]"
2021-03-31,"2021-03-23 [1.01,2.03,8.01,9.01]"
2021-08-16,"2021-08-13 [1.01,2.03,8.01,9.01]; 2021-08-16 [7.01]; 2021-08-18 [7.01,9.01]; 2021-08-20 [7.01]"
2021-08-19,"2021-08-13 [1.01,2.03,8.01,9.01]; 2021-08-16 [7.01]; 2021-08-18 [7.01,9.01]; 2021-08-20 [7.01]; 2021-08-27 [7.01]"
2021-08-26,"2021-08-16 [7.01]; 2021-08-18 [7.01,9.01]; 2021-08-20 [7.01]; 2021-08-27 [7.01]"
2022-03-08,none
2023-01-19,2023-01-19 [8.01]
2023-04-28,"2023-04-27 [2.02,9.01]; 2023-05-01 [8.01,9.01]"
2023-04-28,"2023-04-27 [2.02,9.01]; 2023-05-01 [8.01,9.01]"
2023-04-28,"2023-04-27 [2.02,9.01]; 2023-05-01 [8.01,9.01]"
