window,quartile,n,baseline_rate_pct,fcc_logit_coef,fcc_logit_se,fcc_logit_p,fcc_ame_pp,pseudo_r2
30d,Q1 (Smallest),162,42.592592592592595,0.13002911426411526,0.5379727790989041,0.8090110543639251,3.050579615523027,0.03676429032383688
30d,Q2,162,19.753086419753085,-90.27611781081163,1.9579426450992124e+19,1.0,-21.443933348838755,0.24563786780556407
30d,Q3,160,53.125,-0.6424594710045692,0.4967388715949214,0.19588846796474668,-13.61290689017603,0.12343991874734905
30d,Q4 (Largest),162,35.80246913580247,0.07141819182436158,0.37877965162114946,0.8504469962980851,1.4994316450152214,0.0684626702627179
90d,Q1 (Smallest),162,77.1604938271605,-0.20039789892421597,0.6216499295156311,0.7471765379832072,-3.513175270182555,0.03892307592138722
90d,Q3,160,66.875,-0.2420639757203051,0.5055964010579765,0.6321028425503219,-4.509943373746125,0.1440641332981396
90d,Q4 (Largest),162,54.93827160493827,-0.91227833262905,0.45864339608321864,0.0466923912168126,-17.05421219170366,0.17875832496808353
180d,Q1 (Smallest),162,77.1604938271605,-0.20039789892421597,0.6216499295156311,0.7471765379832072,-3.513175270182555,0.03892307592138722
180d,Q3,160,70.0,-0.5737977406132373,0.5113378452172984,0.2617986862961549,-10.665057702340405,0.13771988614694097
180d,Q4 (Largest),162,55.55555555555556,-0.901065742947644,0.4599792378549468,0.050121337916577066,-16.83457738332506,0.18270980860490826
